mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.25	0	0	4/4	2	1	1/16			1/16	1		-3	63	Eb4	4	1
1	1	0	0	4.0	0	0	4/4	1	1	1			1	1		-3	75	Eb5	5	0
1	1	1/4	1/4	0.25	1/16	1/16	4/4	2	1	1/16			1/16	1		-2	70	Bb4	4	2
1	1	1/2	1/2	0.25	1/8	1/8	4/4	2	1	1/16			1/16	1		1	67	G4	4	3
1	1	3/4	3/4	0.25	3/16	3/16	4/4	2	1	1/16			1/16	1		-2	70	Bb4	4	4
1	1	1	1	0.25	1/4	1/4	4/4	2	1	1/16			1/16	1		-3	63	Eb4	4	5
1	1	5/4	5/4	0.25	5/16	5/16	4/4	2	1	1/16			1/16	1		-2	70	Bb4	4	6
1	1	3/2	3/2	0.25	3/8	3/8	4/4	2	1	1/16			1/16	1		1	67	G4	4	7
1	1	7/4	7/4	0.25	7/16	7/16	4/4	2	1	1/16			1/16	1		-2	70	Bb4	4	8
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2		1/2_r16_0	1/2	1		-3	63	Eb4	4	9
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2		1/2_r16_0	1/2	1		1	67	G4	4	9
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2		1/2_r16_0	1/2	1		-2	70	Bb4	4	9
2	2	4	4	2.0	0	0	4/4	2	1	1/2		1/2_r16_0	1/2	1		2	62	D4	4	15
2	2	4	4	2.0	0	0	4/4	2	1	1/2		1/2_r16_0	1/2	1		-1	65	F4	4	15
2	2	4	4	2.0	0	0	4/4	2	1	1/2		1/2_r16_0	1/2	1		-2	70	Bb4	4	15
2	2	4	4	3.0	0	0	4/4	1	1	3/4			1/2	3/2		-2	82	Bb5	5	10
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2		1/2_r16_0	1/2	1		2	62	D4	4	16
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2		1/2_r16_0	1/2	1		-1	65	F4	4	16
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2		1/2_r16_0	1/2	1		-2	70	Bb4	4	16
2	2	7	7	0.25	3/4	3/4	4/4	1	1	1/16			1/16	1		-2	82	Bb5	5	11
2	2	29/4	29/4	0.25	13/16	13/16	4/4	1	1	1/16			1/16	1		-4	80	Ab5	5	12
2	2	15/2	15/2	0.25	7/8	7/8	4/4	1	1	1/16			1/16	1		1	79	G5	5	13
2	2	31/4	31/4	0.25	15/16	15/16	4/4	1	1	1/16			1/16	1		-1	77	F5	5	14
3	3	8	8	2.0	0	0	4/4	2	1	1/2		1/2_r16_0	1/2	1		0	60	C4	4	23
3	3	8	8	2.0	0	0	4/4	2	1	1/2		1/2_r16_0	1/2	1		-3	63	Eb4	4	23
3	3	8	8	2.0	0	0	4/4	2	1	1/2		1/2_r16_0	1/2	1		1	67	G4	4	23
3	3	8	8	1.5	0	0	4/4	1	1	3/8			1/4	3/2		-3	75	Eb5	5	17
3	3	19/2	19/2	0.25	3/8	3/8	4/4	1	1	1/16			1/16	1		2	74	D5	5	18
3	3	39/4	39/4	0.25	7/16	7/16	4/4	1	1	1/16			1/16	1		0	72	C5	5	19
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2		1/2_r16_0	1/2	1		1	55	G3	3	24
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2		1/2_r16_0	1/2	1		-2	58	Bb3	3	24
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2		1/2_r16_0	1/2	1		-3	63	Eb4	4	24
3	3	10	10	1.5	1/2	1/2	4/4	1	1	3/8			1/4	3/2		-2	70	Bb4	4	20
3	3	23/2	23/2	0.25	7/8	7/8	4/4	1	1	1/16			1/16	1		-4	68	Ab4	4	21
3	3	47/4	47/4	0.25	15/16	15/16	4/4	1	1	1/16			1/16	1		1	67	G4	4	22
4	4	12	12	2.0	0	0	4/4	2	1	1/2		1/2_r16_0	1/2	1		-4	56	Ab3	3	31
4	4	12	12	2.0	0	0	4/4	2	1	1/2		1/2_r16_0	1/2	1		0	60	C4	4	31
4	4	12	12	1.0	0	0	4/4	1	1	1/4			1/4	1		-1	65	F4	4	25
4	4	12	12	2.0	0	0	4/4	2	1	1/2		1/2_r16_0	1/2	1		-1	65	F4	4	31
