mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5	0	0	3/8	2	1	1/8		1/8	1		3	69	A4	4	6
1	1	1/6	0.16666666666666666	1/24	1/24	3/8	1	1	1/24		1/16	2/3		7	73	C#5	5	0
1	1	1/3	0.16666666666666666	1/12	1/12	3/8	1	1	1/24		1/16	2/3		4	76	E5	5	1
1	1	1/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		8	68	G#4	4	7
1	1	2/3	0.16666666666666666	1/6	1/6	3/8	1	1	1/24		1/16	2/3		5	71	B4	4	2
1	1	5/6	0.16666666666666666	5/24	5/24	3/8	1	1	1/24		1/16	2/3		4	76	E5	5	3
1	1	1	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		6	66	F#4	4	8
1	1	7/6	0.16666666666666666	7/24	7/24	3/8	1	1	1/24		1/16	2/3		3	69	A4	4	4
1	1	4/3	0.16666666666666666	1/3	1/3	3/8	1	1	1/24		1/16	2/3		4	76	E5	5	5
2	2	3/2	0.5	0	0	3/8	2	1	1/8		1/8	1		4	64	E4	4	15
2	2	5/3	0.16666666666666666	1/24	1/24	3/8	1	1	1/24		1/16	2/3		8	68	G#4	4	9
2	2	11/6	0.16666666666666666	1/12	1/12	3/8	1	1	1/24		1/16	2/3		4	76	E5	5	10
2	2	2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		2	62	D4	4	16
2	2	13/6	0.16666666666666666	1/6	1/6	3/8	1	1	1/24		1/16	2/3		6	66	F#4	4	11
2	2	7/3	0.16666666666666666	5/24	5/24	3/8	1	1	1/24		1/16	2/3		4	76	E5	5	12
2	2	5/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		7	61	C#4	4	17
2	2	8/3	0.16666666666666666	7/24	7/24	3/8	1	1	1/24		1/16	2/3		4	64	E4	4	13
2	2	17/6	0.16666666666666666	1/3	1/3	3/8	1	1	1/24		1/16	2/3		4	76	E5	5	14
3	3	3	0.5	0	0	3/8	2	1	1/8		1/8	1		6	66	F#4	4	24
3	3	19/6	0.16666666666666666	1/24	1/24	3/8	1	1	1/24		1/16	2/3		3	69	A4	4	18
3	3	10/3	0.16666666666666666	1/12	1/12	3/8	1	1	1/24		1/16	2/3		3	81	A5	5	19
3	3	7/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		4	64	E4	4	25
3	3	11/3	0.16666666666666666	1/6	1/6	3/8	1	1	1/24		1/16	2/3		3	69	A4	4	20
3	3	23/6	0.16666666666666666	5/24	5/24	3/8	1	1	1/24		1/16	2/3		8	80	G#5	5	21
3	3	4	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		2	62	D4	4	26
3	3	25/6	0.16666666666666666	7/24	7/24	3/8	1	1	1/24		1/16	2/3		3	69	A4	4	22
3	3	13/3	0.16666666666666666	1/3	1/3	3/8	1	1	1/24		1/16	2/3		6	78	F#5	5	23
