mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	3/4	2	1	1/8		1/8	1		2	50		4
1	1	0	0	3/4	1	2	1/4		1/4	1		-1	77		2
1	1	0	0	3/4	1	1	1/4		1/4	1		3	81		0
1	1	1/8	1/8	3/4	2	1	1/8		1/8	1		2	62		5
1	1	1/4	1/4	3/4	2	1	1/8		1/8	1		7	61		6
1	1	3/8	3/8	3/4	2	1	1/8		1/8	1		2	62		7
1	1	1/2	1/2	3/4	2	1	1/4		1/4	1		2	50		8
1	1	5/8	5/8	3/4	1	2	1/8		1/8	1		-1	77		3
1	1	5/8	5/8	3/4	1	1	1/8		1/8	1		3	81		1
2	2	0	0	3/4	1	2	1/8		1/8	1		1	79		15
2	2	0	0	3/4	1	1	1/8		1/8	1		-2	82		9
2	2	1/8	1/8	3/4	1	2	1/8		1/8	1		-1	77		16
2	2	1/8	1/8	3/4	1	1	1/8		1/8	1		3	81		10
2	2	1/4	1/4	3/4	1	2	1/8		1/8	1		4	76		17
2	2	1/4	1/4	3/4	1	1	1/8		1/8	1		1	79		11
2	2	3/8	3/8	3/4	1	2	1/8		1/8	1		2	74		18
2	2	3/8	3/8	3/4	1	1	1/8		1/8	1		-1	77		12
2	2	1/2	1/2	3/4	1	2	1/8		1/8	1		7	73		19
2	2	1/2	1/2	3/4	1	1	1/8		1/8	1		4	76		13
2	2	5/8	5/8	3/4	1	2	1/8		1/8	1		2	74		20
2	2	5/8	5/8	3/4	1	1	1/8		1/8	1		-1	77		14
3	3	0	0	3/4	2	1	1/8		1/8	1		3	45		25
3	3	0	0	3/4	1	2	1/4		1/4	1		4	76		23
3	3	0	0	3/4	1	1	1/4		1/4	1		1	79		21
3	3	1/8	1/8	3/4	2	1	1/8		1/8	1		3	57		26
3	3	1/4	1/4	3/4	2	1	1/8		1/8	1		8	56		27
3	3	3/8	3/8	3/4	2	1	1/8		1/8	1		3	57		28
3	3	1/2	1/2	3/4	2	1	1/4		1/4	1		3	45		29
3	3	5/8	5/8	3/4	1	2	1/8		1/8	1		4	76		24
3	3	5/8	5/8	3/4	1	1	1/8		1/8	1		1	79		22
4	4	0	0	3/4	1	2	1/8		1/8	1		-1	77		36
4	4	0	0	3/4	1	1	1/8		1/8	1		3	81		30
4	4	1/8	1/8	3/4	1	2	1/8		1/8	1		4	76		37
4	4	1/8	1/8	3/4	1	1	1/8		1/8	1		1	79		31
4	4	1/4	1/4	3/4	1	2	1/8		1/8	1		2	74		38
4	4	1/4	1/4	3/4	1	1	1/8		1/8	1		-1	77		32
4	4	3/8	3/8	3/4	1	2	1/8		1/8	1		7	73		39
4	4	3/8	3/8	3/4	1	1	1/8		1/8	1		4	76		33
4	4	1/2	1/2	3/4	1	2	1/8		1/8	1		5	71		40
4	4	1/2	1/2	3/4	1	1	1/8		1/8	1		2	74		34
4	4	5/8	5/8	3/4	1	2	1/8		1/8	1		7	73		41
4	4	5/8	5/8	3/4	1	1	1/8		1/8	1		4	76		35
5	5	0	0	3/4	2	1	1/4		1/4	1		2	62		51
5	5	0	0	3/4	1	1	1/12		1/8	2/3		-1	77		42
5	5	1/12	1/12	3/4	1	1	1/12		1/8	2/3		1	79		43
5	5	1/6	1/6	3/4	1	1	1/12		1/8	2/3		3	81		44
5	5	1/4	1/4	3/4	2	2	1/4		1/4	1		-2	58		54
5	5	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62		52
5	5	1/4	1/4	3/4	1	1	1/12		1/8	2/3		1	79		45
5	5	1/3	1/3	3/4	1	1	1/12		1/8	2/3		3	81		46
5	5	5/12	5/12	3/4	1	1	1/12		1/8	2/3		-2	82		47
5	5	1/2	1/2	3/4	2	2	1/4		1/4	1		1	55		55
5	5	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58		53
5	5	1/2	1/2	3/4	1	1	1/12		1/8	2/3		2	74		48
5	5	7/12	7/12	3/4	1	1	1/12		1/8	2/3		4	76		49
5	5	2/3	2/3	3/4	1	1	1/12		1/8	2/3		-1	77		50
6	6	0	0	3/4	2	2	1/4		1/4	1		0	48		68
6	6	0	0	3/4	2	1	1/4		1/4	1		0	60		65
6	6	0	0	3/4	1	1	1/12		1/8	2/3		4	76		56
6	6	1/12	1/12	3/4	1	1	1/12		1/8	2/3		2	74		57
6	6	1/6	1/6	3/4	1	1	1/12		1/8	2/3		0	72		58
6	6	1/4	1/4	3/4	2	2	1/4		1/4	1		4	52		69
6	6	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60		66
6	6	1/4	1/4	3/4	1	1	1/12		1/8	2/3		-2	70		59
6	6	1/3	1/3	3/4	1	1	1/12		1/8	2/3		1	79		60
6	6	5/12	5/12	3/4	1	1	1/12		1/8	2/3		-2	70		61
6	6	1/2	1/2	3/4	2	2	1/4		1/4	1		-1	53		70
6	6	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60		67
6	6	1/2	1/2	3/4	1	1	1/12		1/8	2/3		3	69		62
6	6	7/12	7/12	3/4	1	1	1/12		1/8	2/3		-2	70		63
6	6	2/3	2/3	3/4	1	1	1/12		1/8	2/3		0	72		64
7	7	0	0	3/4	2	1	1/4		1/4	1		-2	46		78
7	7	0	0	3/4	1	1	1/8		1/8	1		2	74		71
7	7	1/8	1/8	3/4	1	1	1/16		1/16	1		0	72		72
7	7	3/16	3/16	3/4	1	1	1/16		1/16	1		-2	70		73
7	7	1/4	1/4	3/4	2	1	1/4		1/4	1		0	48		79
7	7	1/4	1/4	3/4	1	2	1/4		1/4	1		-1	65		76
7	7	1/4	1/4	3/4	1	1	1/4		1/4	1		3	69		74
7	7	1/2	1/2	3/4	2	1	1/4		1/4	1		0	48		80
7	7	1/2	1/2	3/4	1	2	1/4		1/4	1		4	64		77
7	7	1/2	1/2	3/4	1	1	1/4		1/4	1		1	67		75
8	8	0	0	3/4	2	1	1/4		1/4	1		-1	41		82
8	8	0	0	3/4	1	1	1/2		1/2	1		-1	65		81
8	8	1/4	1/4	3/4	2	1	1/8		1/8	1		3	57		83
8	8	3/8	3/8	3/4	2	1	1/8		1/8	1		1	55		84
8	8	1/2	1/2	3/4	2	1	1/8		1/8	1		-1	53		85
8	8	5/8	5/8	3/4	2	1	1/8		1/8	1		4	52		86
9	9	0	0	3/4	2	1	1/8		1/8	1		-1	53		93
9	9	0	0	3/4	1	2	1/4		1/4	1		3	69		90
9	9	0	0	3/4	1	1	1/4		1/4	1		0	72		87
9	9	1/8	1/8	3/4	2	1	1/8		1/8	1		4	52		94
9	9	1/4	1/4	3/4	2	1	1/8		1/8	1		-1	53		95
9	9	1/4	1/4	3/4	1	2	1/4		1/4	1		3	69		91
9	9	1/4	1/4	3/4	1	1	1/4		1/4	1		-1	77		88
9	9	3/8	3/8	3/4	2	1	1/8		1/8	1		1	55		96
9	9	1/2	1/2	3/4	2	1	1/8		1/8	1		3	57		97
9	9	1/2	1/2	3/4	1	2	1/4		1/4	1		3	69		92
9	9	1/2	1/2	3/4	1	1	1/4		1/4	1		-1	77		89
9	9	5/8	5/8	3/4	2	1	1/8		1/8	1		-1	53		98
10	10	0	0	3/4	2	1	1/8		1/8	1		0	48		103
10	10	0	0	3/4	1	2	1/4		1/4	1		3	69		101
10	10	0	0	3/4	1	1	1/4		1/4	1		-1	77		99
10	10	1/8	1/8	3/4	2	1	1/8		1/8	1		0	60		104
10	10	1/4	1/4	3/4	2	1	1/8		1/8	1		-2	58		105
10	10	1/4	1/4	3/4	1	2	1/4		1/4	1		1	67		102
10	10	1/4	1/4	3/4	1	1	1/4		1/4	1		4	76		100
10	10	3/8	3/8	3/4	2	1	1/8		1/8	1		3	57		106
10	10	1/2	1/2	3/4	2	1	1/8		1/8	1		1	55		107
10	10	5/8	5/8	3/4	2	1	1/8		1/8	1		-1	53		108
11	11	0	0	3/4	2	1	1/8		1/8	1		4	52		114
11	11	0	0	3/4	1	1	1/4		1/4	1		0	72		109
11	11	1/8	1/8	3/4	2	1	1/8		1/8	1		2	50		115
11	11	1/4	1/4	3/4	2	1	1/8		1/8	1		0	48		116
11	11	1/4	1/4	3/4	1	1	1/4		1/4	1		-2	70		110
11	11	1/4	1/4	3/4	1	2	1/4		1/4	1		1	79		112
11	11	3/8	3/8	3/4	2	1	1/8		1/8	1		2	50		117
11	11	1/2	1/2	3/4	2	1	1/8		1/8	1		4	52		118
11	11	1/2	1/2	3/4	1	1	1/4		1/4	1		-2	70		111
11	11	1/2	1/2	3/4	1	2	1/4		1/4	1		1	79		113
11	11	5/8	5/8	3/4	2	1	1/8		1/8	1		0	48		119
12	12	0	0	3/4	2	1	1/8		1/8	1		-1	41		124
12	12	0	0	3/4	1	1	1/4		1/4	1		-2	70		120
12	12	0	0	3/4	1	2	1/4		1/4	1		1	79		122
12	12	1/8	1/8	3/4	2	1	1/8		1/8	1		-1	53		125
12	12	1/4	1/4	3/4	2	1	1/8		1/8	1		4	52		126
12	12	1/4	1/4	3/4	1	1	1/4		1/4	1		3	69		121
12	12	1/4	1/4	3/4	1	2	1/4		1/4	1		-1	77		123
12	12	3/8	3/8	3/4	2	1	1/8		1/8	1		2	50		127
12	12	1/2	1/2	3/4	2	1	1/8		1/8	1		0	48		128
12	12	5/8	5/8	3/4	2	1	1/8		1/8	1		-2	46		129
13	13	0	0	3/4	2	1	1/4		1/4	1		3	45		137
13	13	0	0	3/4	1	1	1/4		1/4	1	1	0	72		130
13	13	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57		138
13	13	1/4	1/4	3/4	1	1	1/12		1/8	2/3	-1	0	72		131
13	13	1/3	1/3	3/4	1	1	1/12		1/8	2/3		0	84		132
13	13	5/12	5/12	3/4	1	1	1/12		1/8	2/3		-2	82		133
13	13	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60		139
13	13	1/2	1/2	3/4	1	1	1/12		1/8	2/3		3	81		134
13	13	7/12	7/12	3/4	1	1	1/12		1/8	2/3		-2	82		135
13	13	2/3	2/3	3/4	1	1	1/12		1/8	2/3		1	79		136
14	14	0	0	3/4	1	1	0	grace4	1/4	1		1	79		140
14	14	0	0	3/4	2	1	1/4		1/4	1		2	62		143
14	14	0	0	3/4	1	1	1/2		1/2	1		6	78		141
14	14	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60		144
14	14	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58		145
14	14	1/2	1/2	3/4	1	1	1/4		1/4	1		1	79		142
15	15	0	0	3/4	2	1	1/4		1/4	1		1	55		155
15	15	0	0	3/4	1	1	1/12		1/8	2/3		-2	82		146
15	15	1/12	1/12	3/4	1	1	1/12		1/8	2/3		0	84		147
15	15	1/6	1/6	3/4	1	1	1/12		1/8	2/3		3	81		148
15	15	1/4	1/4	3/4	1	1	1/12		1/8	2/3		1	79		149
15	15	1/3	1/3	3/4	1	1	1/12		1/8	2/3		3	81		150
15	15	5/12	5/12	3/4	1	1	1/12		1/8	2/3		-1	77		151
15	15	1/2	1/2	3/4	2	1	1/4		1/4	1		1	55		156
15	15	1/2	1/2	3/4	2	2	1/4		1/4	1		-2	58		157
15	15	1/2	1/2	3/4	1	1	1/12		1/8	2/3		4	76		152
15	15	7/12	7/12	3/4	1	1	1/12		1/8	2/3		-1	77		153
15	15	2/3	2/3	3/4	1	1	1/12		1/8	2/3		2	74		154
16	16	0	0	3/4	2	1	1/4		1/4	1	1	3	57		162
16	16	0	0	3/4	1	1	1/12		1/8	2/3		7	73		158
