mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	0	1/4		1/4	1		-2	58	2	1	
1	1	0	1/4		1/4	1		2	74	1	2	
1	1	0	1/4		1/4	1		-1	77	1	1	
1	1	1/4	1/4		1/4	1		-2	46	2	1	
1	1	1/4	1/12		1/8	2/3		-1	77	1	1	
1	1	1/3	1/12		1/8	2/3		2	74	1	1	
1	1	5/12	1/12		1/8	2/3		-1	77	1	1	
1	1	1/2	1/12		1/8	2/3		-2	82	1	1	
1	1	7/12	1/12		1/8	2/3		2	86	1	1	
1	1	2/3	1/12		1/8	2/3		-2	82	1	1	
2	2	0	1/4		1/4	1		-2	58	2	1	
2	2	0	1/4		1/4	1		2	74	1	2	
2	2	0	1/4		1/4	1		-1	77	1	1	
2	2	1/4	1/4		1/4	1		-2	46	2	1	
2	2	1/4	1/12		1/8	2/3		-1	77	1	1	
2	2	1/3	1/12		1/8	2/3		2	74	1	1	
2	2	5/12	1/12		1/8	2/3		-1	77	1	1	
2	2	1/2	1/12		1/8	2/3		-2	82	1	1	
2	2	7/12	1/12		1/8	2/3		2	86	1	1	
2	2	2/3	1/12		1/8	2/3		-2	82	1	1	
3	3	0	1/4		1/4	1		-2	58	2	1	
3	3	0	1/4		1/4	1		-1	77	1	1	
3	3	1/4	1/4		1/4	1		-3	51	2	1	
3	3	1/4	1/12		1/8	2/3		1	79	1	1	
3	3	1/3	1/12		1/8	2/3		-1	77	1	1	
3	3	5/12	1/12		1/8	2/3		-3	75	1	1	
3	3	1/2	1/4		1/4	1		4	52	2	1	
3	3	1/2	1/12		1/8	2/3		2	74	1	1	
3	3	7/12	1/12		1/8	2/3		0	72	1	1	
3	3	2/3	1/12		1/8	2/3		-2	70	1	1	
4	4	0	1/4		1/4	1		-1	53	2	1	
4	4	0	3/16		1/8	3/2		3	69	1	1	
4	4	3/16	1/32		1/32	1		-2	70	1	1	
4	4	7/32	1/32		1/32	1		0	72	1	1	
4	4	1/4	1/4		1/4	1		-2	46	2	1	
4	4	1/4	1/4		1/4	1		-2	70	1	1	
5	5	0	1/4		1/4	1		-1	53	2	1	
5	5	0	1/4		1/4	1		-1	65	1	2	
5	5	0	1/4		1/4	1		3	69	1	1	
5	5	0	1/4		1/4	1		0	72	1	1	
