mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	4/4	2	1	1/4	1/4	1		0	48		1
1	1	0	0	4/4	1	1	1/4	1/4	1		0	72		0
1	1	1/4	1/4	4/4	2	1	1/4	1/4	1		-3	51		2
1	1	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55		3
1	1	7/8	7/8	4/4	2	1	1/8	1/8	1		0	48		4
2	2	0	0	4/4	2	1	1/8	1/8	1		-4	56		10
2	2	1/8	1/8	4/4	2	1	1/8	1/8	1		-4	56		11
2	2	1/4	1/4	4/4	2	1	1/8	1/8	1		-4	56		12
2	2	3/8	3/8	4/4	2	1	1/16	1/16	1		1	55		13
2	2	7/16	7/16	4/4	2	1	1/16	1/16	1		-1	53		14
2	2	1/2	1/2	4/4	2	1	1/8	1/8	1		1	55		15
2	2	5/8	5/8	4/4	2	1	1/8	1/8	1		0	48		16
2	2	5/8	5/8	4/4	1	1	1/16	1/16	1		0	60		5
2	2	11/16	11/16	4/4	1	1	1/16	1/16	1		2	62		6
2	2	3/4	3/4	4/4	2	1	1/4	1/4	1	1	0	60		17
2	2	3/4	3/4	4/4	1	1	1/8	1/8	1		-3	63		7
2	2	7/8	7/8	4/4	1	1	1/16	1/16	1		2	62		8
2	2	15/16	15/16	4/4	1	1	1/16	1/16	1		-3	63		9
3	3	0	0	4/4	2	1	1/4	1/4	1	-1	0	60		32
3	3	0	0	4/4	1	1	1/8	1/8	1		-1	65		18
3	3	1/8	1/8	4/4	1	1	1/16	1/16	1		-3	63		19
3	3	3/16	3/16	4/4	1	1	1/16	1/16	1		-1	65		20
3	3	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59		33
3	3	1/4	1/4	4/4	1	1	1/16	1/16	1		1	67		21
3	3	5/16	5/16	4/4	1	1	1/16	1/16	1		-4	68		22
3	3	3/8	3/8	4/4	1	1	1/16	1/16	1		1	67		23
3	3	7/16	7/16	4/4	1	1	1/16	1/16	1		-1	65		24
3	3	1/2	1/2	4/4	2	1	1/8	1/8	1		0	60		34
3	3	1/2	1/2	4/4	1	1	1/8	1/8	1		-3	63		25
3	3	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67		30
3	3	5/8	5/8	4/4	2	1	1/16	1/16	1		2	62		35
3	3	5/8	5/8	4/4	1	1	1/16	1/16	1		-1	65		26
3	3	11/16	11/16	4/4	2	1	1/16	1/16	1		0	60		36
3	3	11/16	11/16	4/4	1	1	1/16	1/16	1		-3	63		27
3	3	3/4	3/4	4/4	2	1	1/8	1/8	1		-2	58		37
3	3	3/4	3/4	4/4	1	1	1/8	1/8	1		2	62		28
3	3	3/4	3/4	4/4	1	2	1/4	1/4	1		-2	70		31
3	3	7/8	7/8	4/4	2	1	1/8	1/8	1		-4	56		38
3	3	7/8	7/8	4/4	1	1	1/8	1/8	1		0	60		29
4	4	0	0	4/4	2	1	3/8	1/4	3/2		1	55		53
4	4	0	0	4/4	1	1	1/8	1/8	1		-2	58		39
4	4	0	0	4/4	1	2	1/4	1/4	1		2	74		46
4	4	1/8	1/8	4/4	1	1	1/8	1/8	1		2	62		40
4	4	1/4	1/4	4/4	1	1	1/4	1/4	1	1	1	67		41
4	4	3/8	3/8	4/4	2	1	1/16	1/16	1		3	57		54
4	4	3/8	3/8	4/4	1	2	1/8	1/8	1		1	67		47
4	4	7/16	7/16	4/4	2	1	1/16	1/16	1		-2	58		55
4	4	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60		56
4	4	1/2	1/2	4/4	1	1	1/8	1/8	1	-1	1	67		42
4	4	1/2	1/2	4/4	1	2	1/8	1/8	1		-3	75		48
4	4	5/8	5/8	4/4	1	1	1/16	1/16	1		3	69		43
4	4	5/8	5/8	4/4	1	2	1/8	1/8	1		-3	75		49
4	4	11/16	11/16	4/4	1	1	1/16	1/16	1		5	71		44
4	4	3/4	3/4	4/4	2	1	1/4	1/4	1		0	48		57
4	4	3/4	3/4	4/4	1	1	1/4	1/4	1	1	0	72		45
4	4	3/4	3/4	4/4	1	2	1/8	1/8	1		-3	75		50
4	4	7/8	7/8	4/4	1	2	1/16	1/16	1		2	74		51
4	4	15/16	15/16	4/4	1	2	1/16	1/16	1		0	72		52
5	5	0	0	4/4	2	1	1/8	1/8	1		1	55		68
5	5	0	0	4/4	1	1	1/8	1/8	1	-1	0	72		58
5	5	0	0	4/4	1	2	1/8	1/8	1		2	74		64
5	5	1/8	1/8	4/4	2	1	1/16	1/16	1		1	55		69
5	5	1/8	1/8	4/4	1	2	1/8	1/8	1		1	67		65
5	5	1/8	1/8	4/4	1	1	1/16	1/16	1		-2	70		59
5	5	3/16	3/16	4/4	2	1	1/16	1/16	1		3	57		70
5	5	3/16	3/16	4/4	1	1	1/16	1/16	1		0	72		60
5	5	1/4	1/4	4/4	2	1	1/8	1/8	1		-2	58		71
5	5	1/4	1/4	4/4	1	1	1/8	1/8	1		2	74		61
5	5	1/4	1/4	4/4	1	2	1/2	1/2	1		1	79		66
5	5	3/8	3/8	4/4	2	1	1/16	1/16	1		3	57		72
5	5	3/8	3/8	4/4	1	1	1/8	1/8	1		-2	70		62
5	5	7/16	7/16	4/4	2	1	1/16	1/16	1		-2	58		73
5	5	1/2	1/2	4/4	2	1	1/8	1/8	1		0	60		74
5	5	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69		63
5	5	5/8	5/8	4/4	2	1	1/16	1/16	1		-2	58		75
5	5	11/16	11/16	4/4	2	1	1/16	1/16	1		0	60		76
5	5	3/4	3/4	4/4	2	1	1/16	1/16	1		2	62		77
5	5	3/4	3/4	4/4	1	2	1/4	1/4	1		6	78		67
5	5	13/16	13/16	4/4	2	1	1/16	1/16	1		-3	63		78
5	5	7/8	7/8	4/4	2	1	1/16	1/16	1		2	62		79
5	5	15/16	15/16	4/4	2	1	1/16	1/16	1		0	60		80
6	6	0	0	4/4	2	1	1/4	1/4	1		-2	58		98
6	6	0	0	4/4	1	1	1/4	1/4	1		1	67		81
6	6	0	0	4/4	1	2	1/8	1/8	1		1	79		85
6	6	1/8	1/8	4/4	1	2	1/16	1/16	1		1	67		86
6	6	3/16	3/16	4/4	1	2	1/16	1/16	1		3	69		87
6	6	1/4	1/4	4/4	2	1	1/2	1/2	1		1	55		99
6	6	1/4	1/4	4/4	1	2	1/8	1/8	1		-2	70		88
6	6	3/8	3/8	4/4	1	1	1/8	1/8	1		2	62		82
6	6	3/8	3/8	4/4	1	2	1/16	1/16	1		3	69		89
6	6	7/16	7/16	4/4	1	2	1/16	1/16	1		-2	70		90
6	6	1/2	1/2	4/4	1	1	1/4	1/4	1		-3	63		83
6	6	1/2	1/2	4/4	1	2	1/8	1/8	1		0	72		91
6	6	5/8	5/8	4/4	1	2	1/16	1/16	1		-2	70		92
6	6	11/16	11/16	4/4	1	2	1/16	1/16	1		0	72		93
