mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	0	1/4		1/4	1		1	43	2	1	
1	1	0	1/4		1/4	1		1	55	2	1	
1	1	0	1/4		1/4	1		1	67	1	1	
1	1	0	1/4		1/4	1		5	71	1	1	
1	1	0	1/4		1/4	1		2	74	1	1	
1	1	0	1/4		1/4	1		1	79	1	1	
1	1	1/2	0	grace16	1/16	1		3	81	1	1	
1	1	1/2	1/8		1/8	1		1	79	1	1	
1	1	5/8	1/16		1/16	1		6	78	1	1	
1	1	11/16	1/16		1/16	1		4	76	1	1	
2	2	0	1/4		1/4	1		5	59	2	1	
2	2	0	1/4		1/4	1		2	62	2	1	
2	2	0	3/16		1/8	3/2		2	74	1	1	
2	2	3/16	1/16		1/16	1		4	76	1	1	
2	2	1/4	1/4		1/4	1		3	57	2	1	
2	2	1/4	1/4		1/4	1		2	62	2	1	
2	2	1/4	3/16		1/8	3/2		0	72	1	1	
2	2	7/16	1/16		1/16	1		2	74	1	1	
2	2	1/2	1/4		1/4	1		1	55	2	1	
2	2	1/2	1/4		1/4	1		2	62	2	1	
2	2	1/2	1/4		1/4	1		5	71	1	1	
3	3	0	1/4		1/4	1		0	48	2	1	
3	3	0	3/16		1/8	3/2		3	69	1	1	
3	3	3/16	1/16		1/16	1		0	72	1	1	
3	3	1/4	1/4		1/4	1		2	50	2	1	
3	3	1/4	3/16		1/8	3/2		5	71	1	1	
3	3	7/16	1/16		1/16	1		2	74	1	1	
3	3	1/2	1/4		1/4	1		2	50	2	1	
3	3	1/2	1/4		1/4	1		0	60	2	1	
3	3	1/2	3/16		1/8	3/2		6	66	1	1	
3	3	11/16	1/16		1/16	1		3	69	1	1	
4	4	0	0	grace16	1/16	1		3	69	1	1	
4	4	0	1/4		1/4	1		1	55	2	1	
4	4	0	1/4		1/4	1		5	59	2	1	
4	4	0	3/16		1/8	3/2		1	67	1	1	
4	4	3/16	1/16		1/16	1		6	66	1	1	
4	4	1/4	0	grace4	1/4	1		6	66	1	1	
4	4	1/4	1/4		1/4	1		5	59	2	1	
4	4	1/4	1/2		1/2	1		1	67	1	1	
4	4	1/2	1/4		1/4	1		1	55	2	1	
5	5	0	1/4		1/4	1		0	60	2	1	
5	5	0	3/8		1/4	3/2		4	76	1	1	
5	5	1/4	1/4		1/4	1		0	48	2	1	
5	5	3/8	1/16		1/16	1		1	79	1	1	
5	5	7/16	1/16		1/16	1		6	78	1	1	
5	5	1/2	0	grace16	1/16	1		3	81	1	1	
5	5	1/2	1/4		1/4	1		0	60	2	1	
5	5	1/2	1/8		1/8	1		1	79	1	1	
5	5	5/8	1/16		1/16	1		6	78	1	1	
5	5	11/16	1/16		1/16	1		4	76	1	1	
6	6	0	0	grace4	1/4	1		2	74	1	1	
6	6	0	1/2		1/2	1		6	54	2	1	
6	6	0	1/2		1/2	1		2	62	2	1	
6	6	0	1/2		1/2	1		0	72	1	1	
6	6	1/2	1/4		1/4	1		1	55	2	1	
6	6	1/2	1/4		1/4	1		5	71	1	1	
7	7	0	1/2		1/2	1		0	48	2	1	
7	7	0	1/16		1/16	1		3	69	1	1	
7	7	1/16	1/16		1/16	1		5	71	1	1	
7	7	1/8	1/16		1/16	1		0	72	1	1	
7	7	3/16	1/16		1/16	1		2	74	1	1	
7	7	1/4	1/8		1/8	1		4	76	1	1	
7	7	3/8	1/8		1/8	1		4	64	1	1	
7	7	1/2	1/4		1/4	1		7	49	2	1	
7	7	1/2	1/8		1/8	1		6	66	1	1	
7	7	5/8	1/8		1/8	1		1	67	1	1	
8	8	0	0	grace16	1/16	1		1	67	1	1	
8	8	0	3/8		1/4	3/2		2	50	2	1	
8	8	0	3/16		1/8	3/2		6	66	1	1	
8	8	3/16	1/16		1/16	1		4	64	1	1	
8	8	1/4	1/4		1/4	1		2	62	1	1	
8	8	3/8	1/8		1/8	1		0	60	2	1	
8	8	1/2	1/8		1/8	1		5	59	2	1	
8	8	5/8	1/8		1/8	1		3	57	2	1	
9	9	0	1/4		1/4	1		5	59	2	1	
9	9	0	1/16		1/16	1		2	74	1	1	
9	9	1/16	1/16		1/16	1		4	76	1	1	
9	9	1/8	1/16		1/16	1		-1	77	1	1	
9	9	3/16	1/16		1/16	1		4	76	1	1	
9	9	1/4	1/4		1/4	1		5	59	2	1	
9	9	1/4	1/4		1/4	1		2	62	2	1	
9	9	1/4	1/8		1/8	1		2	74	1	1	
9	9	3/8	1/8		1/8	1		2	74	1	1	
9	9	1/2	1/4		1/4	1		3	57	2	1	
9	9	1/2	1/4		1/4	1		0	60	2	1	
9	9	1/2	1/8		1/8	1		2	74	1	1	
9	9	5/8	1/8		1/8	1		2	74	1	1	
10	10	0	1/4		1/4	1		8	56	2	1	
10	10	0	1/4		1/4	1		5	59	2	1	
10	10	0	1/16		1/16	1		2	74	1	1	
10	10	1/16	3/16		1/8	3/2		8	80	1	1	
10	10	1/4	1/16		1/16	1		5	83	1	1	
10	10	5/16	3/16		1/8	3/2		-1	77	1	1	
10	10	1/2	1/16		1/16	1		4	76	1	1	
10	10	9/16	3/16		1/8	3/2		2	74	1	1	
11	11	0	1/4		1/4	1		3	45	2	1	
11	11	0	1/16		1/16	1		0	72	1	1	
11	11	1/16	1/16		1/16	1		2	74	1	1	
11	11	1/8	1/16		1/16	1		4	76	1	1	
11	11	3/16	1/16		1/16	1		2	74	1	1	
11	11	1/4	1/4		1/4	1		3	57	2	1	
11	11	1/4	1/4		1/4	1		0	60	2	1	
11	11	1/4	1/8		1/8	1		0	72	1	1	
11	11	3/8	1/8		1/8	1		0	72	1	1	
11	11	1/2	1/4		1/4	1		1	55	2	1	
11	11	1/2	1/4		1/4	1		5	59	2	1	
11	11	1/2	1/8		1/8	1		0	72	1	1	
11	11	5/8	1/8		1/8	1		0	72	1	1	
12	12	0	1/4		1/4	1		6	54	2	1	
12	12	0	1/4		1/4	1		3	57	2	1	
12	12	0	1/16		1/16	1		0	72	1	1	
12	12	1/16	3/16		1/8	3/2		6	78	1	1	
12	12	1/4	1/16		1/16	1		3	81	1	1	
12	12	5/16	3/16		1/8	3/2		6	78	1	1	
12	12	1/2	1/16		1/16	1		2	74	1	1	
12	12	9/16	3/16		1/8	3/2		0	72	1	1	
13	13	0	3/8		1/4	3/2		1	43	2	1	
13	13	0	3/8		1/4	3/2		1	55	2	1	
13	13	0	3/16		1/8	3/2		5	71	1	1	
13	13	0	3/16		1/8	3/2		2	74	1	1	
13	13	0	3/16		1/8	3/2		1	79	1	1	
13	13	3/16	1/32		1/32	1		5	83	1	1	
13	13	7/32	1/32		1/32	1		1	79	1	1	
13	13	1/4	1/2		1/2	1		2	74	1	1	
13	13	3/8	1/8		1/8	1		1	55	2	1	
13	13	1/2	1/8		1/8	1		5	59	2	1	
13	13	5/8	1/8		1/8	1		1	55	2	1	
14	14	0	1/4		1/4	1		3	57	2	1	
14	14	0	1/4		1/4	1		2	62	2	1	
14	14	0	3/16		1/8	3/2		0	72	1	1	
14	14	3/16	1/16		1/16	1		2	74	1	1	
14	14	1/4	1/4		1/4	1		1	55	2	1	
14	14	1/4	1/4		1/4	1		2	62	2	1	
14	14	1/4	3/16		1/8	3/2		5	71	1	1	
