mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	Eb.I{						Eb	I		I	I						{	M	0	0	-3, 1, -2		-3	-3	0	12	0.0	0.0	3.0	0.0
2	2	0	0	4/4	2	1	V6						Eb	I		V6	V		6					M	0	0	2, -1, -2		-2	2	2	9	0.18181818181818182	0.125	3.875	0.03125
3	3	0	0	4/4	2	1	vi						Eb	I		vi	vi							m	0	0	0, -3, 1		0	0	1	5	0.16666666666666666	0.0625	1.9375	0.03125
3	3	1/2	1/2	4/4	2	1	I6						Eb	I		I6	I		6					M	0	0	1, -2, -3		-3	1	1	5	0.16666666666666666	0.0625	1.9375	0.03125
4	4	0	0	4/4	2	1	ii6						Eb	I		ii6	ii		6					m	0	0	-4, 0, -1		-1	-4	0	6	0.0	0.0	2.0	0.0
4	4	1/2	1/2	4/4	2	1	V7						Eb	I		V7	V		7					Mm7	0	0	-2, 2, -1, -4		-2	-2	0	6	0.0	0.0	2.0	0.0
5	5	0	0	4/4	2	1	vi|DC						Eb	I		vi	vi					DC		m	0	0	0, -3, 1		0	0	1	5	0.16666666666666666	0.0625	1.9375	0.03125
5	5	1/2	1/2	4/4	2	1	I6						Eb	I		I6	I		6					M	0	0	1, -2, -3		-3	1	1	5	0.16666666666666666	0.0625	1.9375	0.03125
6	6	0	0	4/4	2	1	ii6						Eb	I		ii6	ii		6					m	0	0	-4, 0, -1		-1	-4	0	6	0.0	0.0	2.0	0.0
6	6	1/2	1/2	4/4	2	1	V7						Eb	I		V7	V		7					Mm7	0	0	-2, 2, -1, -4		-2	-2	0	6	0.0	0.0	2.0	0.0
7	7	0	0	4/4	2	1	I|PAC}{						Eb	I		I	I					PAC	}{	M	0	0	-3, 1, -2		-3	-3	2	6	0.25	0.125	0.75	0.14285714285714285
7	7	3/8	3/8	4/4	2	1	V65						Eb	I		V65	V		65					Mm7	0	0	2, -1, -4, -2		-2	2	0	4	0.0	0.0	0.375	0.0
7	7	1/2	1/2	4/4	2	1	I						Eb	I		I	I							M	0	0	-3, 1, -2		-3	-3	2	6	0.25	0.125	0.75	0.14285714285714285
7	7	7/8	7/8	4/4	2	1	V65						Eb	I		V65	V		65					Mm7	0	0	2, -1, -4, -2		-2	2	0	4	0.0	0.0	0.375	0.0
8	8	0	0	4/4	2	1	I						Eb	I		I	I							M	0	0	-3, 1, -2		-3	-3	3	8	0.2727272727272727	0.25	0.75	0.25
8	8	3/8	3/8	4/4	2	1	V6						Eb	I		V6	V		6					M	0	0	2, -1, -2		-2	2	0	4	0.0	0.0	0.375	0.0
8	8	1/2	1/2	4/4	2	1	I						Eb	I		I	I							M	0	0	-3, 1, -2		-3	-3	3	9	0.25	0.25	0.875	0.2222222222222222
8	8	7/8	7/8	4/4	2	1	V6						Eb	I		V6	V		6					M	0	0	2, -1, -2		-2	2	0	4	0.0	0.0	0.375	0.0
9	9	0	0	4/4	2	1	I						Eb	I		I	I							M	0	0	-3, 1, -2		-3	-3	4	6	0.4	0.25	0.5	0.3333333333333333
9	9	3/8	3/8	4/4	2	1	IV						Eb	I		IV	IV							M	0	0	-4, 0, -3		-4	-4	0	4	0.0	0.0	0.25	0.0
9	9	1/2	1/2	4/4	2	1	V						Eb	I		V	V							M	0	0	-2, 2, -1		-2	-2	4	6	0.4	0.25	0.5	0.3333333333333333
9	9	7/8	7/8	4/4	2	1	I						Eb	I		I	I							M	0	0	-3, 1, -2		-3	-3	0	4	0.0	0.0	0.25	0.0
10	10	0	0	4/4	2	1	ii						Eb	I		ii	ii							m	0	0	-1, -4, 0		-1	-1	4	6	0.4	0.25	0.5	0.3333333333333333
10	10	3/8	3/8	4/4	2	1	V						Eb	I		V	V							M	0	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	0.25	0.0
10	10	1/2	1/2	4/4	2	1	I6						Eb	I		I6	I		6					M	0	0	1, -2, -3		-3	1	3	4	0.42857142857142855	0.1875	0.4375	0.3
10	10	7/8	7/8	4/4	2	1	ii						Eb	I		ii	ii							m	0	0	-1, -4, 0		-1	-1	1	2	0.3333333333333333	0.0625	0.1875	0.25
11	11	0	0	4/4	2	1	V						Eb	I		V	V							M	0	0	-2, 2, -1		-2	-2	3	4	0.42857142857142855	0.1875	0.4375	0.3
11	11	3/8	3/8	4/4	2	1	V2						Eb	I		V2	V		2					Mm7	0	0	-4, -2, 2, -1		-2	-4	1	2	0.3333333333333333	0.0625	0.1875	0.25
11	11	1/2	1/2	4/4	2	1	I6						Eb	I		I6	I		6					M	0	0	1, -2, -3		-3	1	2	3	0.4	0.125	0.375	0.25
11	11	3/4	3/4	4/4	2	1	I						Eb	I		I	I							M	0	0	-3, 1, -2		-3	-3	2	3	0.4	0.125	0.375	0.25
12	12	0	0	4/4	2	1	V						Eb	I		V	V							M	0	0	-2, 2, -1		-2	-2	4	8	0.3333333333333333	0.25	1.25	0.16666666666666666
12	12	1/2	1/2	4/4	2	1	I						Eb	I		I	I							M	0	0	-3, 1, -2		-3	-3	4	10	0.2857142857142857	0.25	1.75	0.125
13	13	0	0	4/4	2	1	V|HC}						Eb	I		V	V					HC	}	M	0	0	-2, 2, -1		-2	-2	0	12	0.0	0.0	1.25	0.0
14	14	0	0	4/4	2	1	V.I{						Eb	V		I	I						{	M	0	0	-2, 2, -1		-2	-2	2	4	0.3333333333333333	0.0625	1.4375	0.041666666666666664
14	14	1/2	1/2	4/4	2	1	V6						Eb	V		V6	V		6					M	0	0	3, 0, -1		-1	3	0	5	0.0	0.0	1.375	0.0
15	15	0	0	4/4	2	1	vi(6)						Eb	V		vi(6)	vi			6				m	0	0	1, -2, -3		1	1	2	3	0.4	0.21875	1.03125	0.175
