mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	D.I{	D	I		I	I						{	M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.5	0.0
1	1	1/4	1/4	3/4	2	1	V6	D	I		V6	V		6					M	0	0	7, 4, 3		3	7	0	2	0.0	0.0	0.625	0.0
1	1	1/2	1/2	3/4	2	1	V	D	I		V	V							M	0	0	3, 7, 4		3	3	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
2	2	0	0	3/4	2	1	I[I	D	I	I	I	I							M	0	0	2, 6, 3		2	2	2	6	0.25	0.25	2.25	0.1
2	2	1/2	1/2	3/4	2	1	V]	D	I	I	V	V							M	0	0	3, 7, 4		3	3	2	2	0.5	0.25	0.25	0.5
3	3	0	0	3/4	2	1	IV	D	I		IV	IV							M	0	0	1, 5, 2		1	1	3	4	0.42857142857142855	0.25	0.75	0.25
3	3	1/2	1/2	3/4	2	1	I	D	I		I	I							M	0	0	2, 6, 3		2	2	2	3	0.4	0.25	0.5	0.3333333333333333
4	4	0	0	3/4	2	1	ii(94)	D	I		ii(94)	ii			94				m	0	0	4, 3, 5	6	4	4	0	3	0.0	0.0	0.75	0.0
4	4	1/4	1/4	3/4	2	1	V7	D	I		V7	V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.75	0.0
4	4	1/2	1/2	3/4	2	1	I	D	I		I	I							M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.75	0.0
5	5	0	0	3/4	2	1	IV	D	I		IV	IV							M	0	0	1, 5, 2		1	1	0	5	0.0	0.0	1.0	0.0
5	5	1/2	1/2	3/4	2	1	ii6	D	I		ii6	ii		6					m	0	0	1, 5, 4		4	1	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
6	6	0	0	3/4	2	1	V	D	I		V	V							M	0	0	3, 7, 4		3	3	1	2	0.3333333333333333	0.0	0.75	0.0
6	6	1/4	1/4	3/4	2	1	V2	D	I		V2	V		2					Mm7	0	0	1, 3, 7, 4		3	1	0	1	0.0	0.0	0.25	0.0
6	6	1/2	1/2	3/4	2	1	I6	D	I		I6	I		6					M	0	0	6, 3, 2		2	6	0	6	0.0	0.0	1.0625	0.0
7	7	1/4	1/4	3/4	2	1	IV	D	I		IV	IV							M	0	0	1, 5, 2		1	1	2	3	0.4	0.25	0.5	0.3333333333333333
7	7	1/2	1/2	3/4	2	1	I	D	I		I	I							M	0	0	2, 6, 3		2	2	2	3	0.4	0.25	0.5	0.3333333333333333
8	8	0	0	3/4	2	1	V(64)	D	I		V(64)	V			64				M	0	0	3, 2, 6		3	3	0	3	0.0	0.0	0.75	0.0
8	8	1/4	1/4	3/4	2	1	V|HC}	D	I		V	V					HC	}	M	0	0	3, 7, 4		3	3	2	4	0.3333333333333333	0.25	0.75	0.25
