mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
2	1	0	0	12/8	2	1	c.i{	c	i		i		i						{	m	1	1	0, -3, 1		0	0	2	19	0.09523809523809523	0.25	3.625	0.06451612903225806
3	2	0	0	12/8	2	1	V43	c	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2	2	21	0.08695652173913043	0.25	4.375	0.05405405405405406
4	3	0	0	12/8	2	1	i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3	2	9	0.18181818181818182	0.125	1.375	0.08333333333333333
4	3	3/4	3/4	12/8	2	1	iio6	c	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1	0	4	0.0	0.0	0.625	0.0
4	3	9/8	9/8	12/8	2	1	V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	0	4	0.0	0.0	0.625	0.0
5	4	0	0	12/8	2	1	i[i|PAC}	c	i	i	i		i					PAC	}	m	1	1	0, -3, 1		0	0	2	15	0.11764705882352941	0.125	2.125	0.05555555555555555
6	5	0	0	12/8	2	1	iv	c	i	i	iv		iv							m	1	1	-1, -4, 0		-1	-1	0	11	0.0	0.0	1.625	0.0
6	5	9/8	9/8	12/8	2	1	#viio	c	i	i	#viio		#vii	o						o	1	1	5, 2, -1		5	5	4	3	0.5714285714285714	0.375	0.375	0.5
7	6	0	0	12/8	2	1	i	c	i	i	i		i							m	1	1	0, -3, 1		0	0	2	16	0.1111111111111111	0.125	2.25	0.05263157894736842
8	7	0	0	12/8	2	1	iv	c	i	i	iv		iv							m	1	1	-1, -4, 0		-1	-1	0	11	0.0	0.0	1.625	0.0
8	7	9/8	9/8	12/8	2	1	#viio	c	i	i	#viio		#vii	o						o	1	1	5, 2, -1		5	5	3	3	0.5	0.375	0.375	0.5
9	8	0	0	12/8	2	1	i]}	c	i	i	i		i						}	m	1	1	0, -3, 1		0	0	0	14	0.0	0.0	2.625	0.0
10	9	0	0	12/8	2	1	V6	c	i		V6		V		6					M	1	1	5, 2, 1		1	5	0	5	0.0	0.0	1.125	0.0
10	9	3/8	3/8	12/8	2	1	v6	c	i		v6		v		6					m	1	1	-2, 2, 1		1	-2	0	5	0.0	0.0	1.125	0.0
10	9	3/4	3/4	12/8	2	1	IV6	c	i		IV6		IV		6					M	1	1	3, 0, -1		-1	3	0	5	0.0	0.0	1.125	0.0
10	9	9/8	9/8	12/8	2	1	It6	c	i		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4	0	5	0.0	0.0	1.125	0.0
11	10	0	0	12/8	2	1	V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	0	8	0.0	0.0	1.25	0.0
11	10	3/4	3/4	12/8	2	1	i	c	i		i		i							m	1	1	0, -3, 1		0	0	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
12	11	0	0	12/8	2	1	V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	1	9	0.1	0.125	1.375	0.08333333333333333
12	11	3/4	3/4	12/8	2	1	i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3	2	5	0.2857142857142857	0.25	0.75	0.25
13	12	0	0	12/8	2	1	V65	c	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5	3	11	0.21428571428571427	0.625	1.625	0.2777777777777778
13	12	9/8	9/8	12/8	2	1	viio7/V	c	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6	1	3	0.25	0.125	0.625	0.16666666666666666
14	13	0	0	12/8	2	1	V|HC}	c	i		V		V					HC	}	M	1	1	1, 5, 2		1	1	3	12	0.2	0.375	2.0	0.15789473684210525
15	14	0	0	12/8	2	1	III.I{	c	III		I		I						{	M	1	0	-3, 1, -2		-3	-3	5	38	0.11627906976744186	0.625	6.375	0.08928571428571429
17	16	0	0	12/8	2	1	V7	c	III		V7		V		7					Mm7	1	0	-2, 2, -1, -4		-2	-2	5	39	0.11363636363636363	0.625	6.5	0.08771929824561403
19	18	0	0	12/8	2	1	I	c	III		I		I							M	1	0	-3, 1, -2		-3	-3	2	10	0.16666666666666666	0.125	1.5	0.07692307692307693
19	18	3/4	3/4	12/8	2	1	viio6	c	III		viio6		vii	o	6					o	1	0	-1, -4, 2		2	-1	0	8	0.0	0.0	1.25	0.0
20	19	0	0	12/8	2	1	I6	c	III		I6		I		6					M	1	0	1, -2, -3		-3	1	0	9	0.0	0.0	1.375	0.0
20	19	3/4	3/4	12/8	2	1	V65	c	III		V65		V		65					Mm7	1	0	2, -1, -4, -2		-2	2	0	7	0.0	0.0	1.0	0.0
21	20	0	0	12/8	2	1	I	c	III		I		I							M	1	0	-3, 1, -2		-3	-3	2	9	0.18181818181818182	0.125	1.25	0.09090909090909091
21	20	3/4	3/4	12/8	2	1	viio6	c	III		viio6		vii	o	6					o	1	0	-1, -4, 2		2	-1	0	8	0.0	0.0	1.25	0.0
22	21	0	0	12/8	2	1	I6	c	III		I6		I		6					M	1	0	1, -2, -3		-3	1	0	9	0.0	0.0	1.375	0.0
22	21	3/4	3/4	12/8	2	1	V65	c	III		V65		V		65					Mm7	1	0	2, -1, -4, -2		-2	2	0	7	0.0	0.0	1.0	0.0
23	22	0	0	12/8	2	1	I	c	III		I		I							M	1	0	-3, 1, -2		-3	-3	0	2	0.0	0.0	0.5	0.0
23	22	3/8	3/8	12/8	2	1	V65/IV	c	III		V65/IV		V		65		IV			Mm7	1	0	1, -2, -5, -3		-3	1	1	3	0.25	0.125	0.625	0.16666666666666666
23	22	3/4	3/4	12/8	2	1	IV	c	III		IV		IV							M	1	0	-4, 0, -3		-4	-4	1	3	0.25	0.125	0.625	0.16666666666666666
23	22	9/8	9/8	12/8	2	1	vii%7/V	c	III		vii%7/V		vii	%	7		V			%7	1	0	3, 0, -3, 1		3	3	1	3	0.25	0.125	0.625	0.16666666666666666
24	23	0	0	12/8	2	1	V[V|HC}	c	III	V	V		V					HC	}	M	1	0	-2, 2, -1		-2	-2	0	5	0.0	0.0	1.625	0.0
24	23	3/8	3/8	12/8	2	1	I	c	III	V	I		I							M	1	0	-3, 1, -2		-3	-3	0	3	0.0	0.0	0.375	0.0
24	23	3/4	3/4	12/8	2	1	ii6	c	III	V	ii6		ii		6					m	1	0	-4, 0, -1		-1	-4	0	3	0.0	0.0	0.375	0.0
24	23	9/8	9/8	12/8	2	1	I6	c	III	V	I6		I		6					M	1	0	1, -2, -3		-3	1	0	3	0.0	0.0	0.375	0.0
25	24	0	0	12/8	2	1	viio6	c	III	V	viio6		vii	o	6					o	1	0	-1, -4, 2		2	-1	0	3	0.0	0.0	0.375	0.0
25	24	3/8	3/8	12/8	2	1	vi6	c	III	V	vi6		vi		6					m	1	0	-3, 1, 0		0	-3	0	3	0.0	0.0	0.375	0.0
25	24	3/4	3/4	12/8	2	1	V6	c	III	V	V6		V		6					M	1	0	2, -1, -2		-2	2	0	3	0.0	0.0	0.375	0.0
25	24	9/8	9/8	12/8	2	1	viio6/V	c	III	V	viio6/V		vii	o	6		V			o	1	0	0, -3, 3		3	0	0	3	0.0	0.0	0.375	0.0
26	25	0	0	12/8	2	1	V	c	III	V	V		V							M	1	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.5	0.0
26	25	3/8	3/8	12/8	2	1	I	c	III	V	I		I							M	1	0	-3, 1, -2		-3	-3	0	3	0.0	0.0	0.375	0.0
26	25	3/4	3/4	12/8	2	1	ii6	c	III	V	ii6		ii		6					m	1	0	-4, 0, -1		-1	-4	0	3	0.0	0.0	0.375	0.0
26	25	9/8	9/8	12/8	2	1	I6	c	III	V	I6		I		6					M	1	0	1, -2, -3		-3	1	0	3	0.0	0.0	0.375	0.0
27	26	0	0	12/8	2	1	viio6	c	III	V	viio6		vii	o	6					o	1	0	-1, -4, 2		2	-1	0	3	0.0	0.0	0.375	0.0
27	26	3/8	3/8	12/8	2	1	vi6	c	III	V	vi6		vi		6					m	1	0	-3, 1, 0		0	-3	0	3	0.0	0.0	0.375	0.0
27	26	3/4	3/4	12/8	2	1	V6	c	III	V	V6		V		6					M	1	0	2, -1, -2		-2	2	0	3	0.0	0.0	0.375	0.0
27	26	9/8	9/8	12/8	2	1	viio6/V	c	III	V	viio6/V		vii	o	6		V			o	1	0	0, -3, 3		3	0	0	3	0.0	0.0	0.375	0.0
28	27	0	0	12/8	2	1	V]{	c	III	V	V		V						{	M	1	0	-2, 2, -1		-2	-2	0	14	0.0	0.0	4.5	0.0
29	28	0	0	12/8	2	1	V65/V	c	III		V65/V		V		65		V			Mm7	1	0	3, 0, -3, -1		-1	3	0	14	0.0	0.0	4.5	0.0
30	29	0	0	12/8	2	1	V2	c	III		V2		V		2					Mm7	1	0	-4, -2, 2, -1		-2	-4	0	8	0.0	0.0	2.25	0.0
30	29	3/4	3/4	12/8	2	1	I6	c	III		I6		I		6					M	1	0	1, -2, -3		-3	1	0	8	0.0	0.0	2.25	0.0
31	30	0	0	12/8	2	1	V65	c	III		V65		V		65					Mm7	1	0	2, -1, -4, -2		-2	2	0	8	0.0	0.0	2.25	0.0
31	30	3/4	3/4	12/8	2	1	I}	c	III		I		I						}	M	1	0	-3, 1, -2		-3	-3	0	8	0.0	0.0	2.25	0.0
32	31	0	0	12/8	2	1	IV{	c	III		IV		IV						{	M	1	0	-4, 0, -3		-4	-4	2	9	0.18181818181818182	0.125	1.25	0.09090909090909091
32	31	3/4	3/4	12/8	2	1	viio64	c	III		viio64		vii	o	64					o	1	0	-4, 2, -1		2	-4	0	8	0.0	0.0	1.25	0.0
33	32	0	0	12/8	2	1	I6	c	III		I6		I		6					M	1	0	1, -2, -3		-3	1	2	17	0.10526315789473684	0.125	2.375	0.05
34	33	0	0	12/8	2	1	IV	c	III		IV		IV							M	1	0	-4, 0, -3		-4	-4	2	9	0.18181818181818182	0.125	1.25	0.09090909090909091
34	33	3/4	3/4	12/8	2	1	viio64	c	III		viio64		vii	o	64					o	1	0	-4, 2, -1		2	-4	0	8	0.0	0.0	1.25	0.0
35	34	0	0	12/8	2	1	I6	c	III		I6		I		6					M	1	0	1, -2, -3		-3	1	0	8	0.0	0.0	1.25	0.0
35	34	3/4	3/4	12/8	2	1	IV	c	III		IV		IV							M	1	0	-4, 0, -3		-4	-4	0	8	0.0	0.0	1.25	0.0
36	35	0	0	12/8	2	1	V64	c	III		V64		V		64					M	1	0	-1, -2, 2		-2	-1	4	3	0.5714285714285714	0.5	1.0	0.3333333333333333
36	35	3/4	3/4	12/8	2	1	V	c	III		V		V							M	1	0	-2, 2, -1		-2	-2	0	7	0.0	0.0	1.5	0.0
37	36	0	0	12/8	2	1	I|PAC}{	c	III		I		I					PAC	}{	M	1	0	-3, 1, -2		-3	-3	0	8	0.0	0.0	1.125	0.0
37	36	3/4	3/4	12/8	2	1	V6	c	III		V6		V		6					M	1	0	2, -1, -2		-2	2	0	10	0.0	0.0	1.5	0.0
38	37	0	0	12/8	2	1	vi	c	III		vi		vi							m	1	0	0, -3, 1		0	0	0	8	0.0	0.0	1.125	0.0
38	37	3/4	3/4	12/8	2	1	iii6	c	III		iii6		iii		6					m	1	0	-2, 2, 1		1	-2	0	10	0.0	0.0	1.5	0.0
39	38	0	0	12/8	2	1	viio7/V	c	III		viio7/V		vii	o	7		V			o7	1	0	3, 0, -3, -6		3	3	4	18	0.18181818181818182	0.25	2.5	0.09090909090909091
40	39	0	0	12/8	2	1	V64	c	III		V64		V		64					M	1	0	-1, -2, 2		-2	-1	4	3	0.5714285714285714	0.5	1.0	0.3333333333333333
40	39	3/4	3/4	12/8	2	1	V	c	III		V		V							M	1	0	-2, 2, -1		-2	-2	0	7	0.0	0.0	1.5	0.0
41	40	0	0	12/8	2	1	I|PAC}{	c	III		I		I					PAC	}{	M	1	0	-3, 1, -2		-3	-3	0	8	0.0	0.0	1.125	0.0
41	40	3/4	3/4	12/8	2	1	V6	c	III		V6		V		6					M	1	0	2, -1, -2		-2	2	0	10	0.0	0.0	1.5	0.0
42	41	0	0	12/8	2	1	vi	c	III		vi		vi							m	1	0	0, -3, 1		0	0	0	8	0.0	0.0	1.125	0.0
42	41	3/4	3/4	12/8	2	1	iii6	c	III		iii6		iii		6					m	1	0	-2, 2, 1		1	-2	0	10	0.0	0.0	1.5	0.0
43	42	0	0	12/8	2	1	viio7/V	c	III		viio7/V		vii	o	7		V			o7	1	0	3, 0, -3, -6		3	3	4	18	0.18181818181818182	0.25	2.5	0.09090909090909091
44	43	0	0	12/8	2	1	V64	c	III		V64		V		64					M	1	0	-1, -2, 2		-2	-1	4	3	0.5714285714285714	0.5	1.0	0.3333333333333333
44	43	3/4	3/4	12/8	2	1	V	c	III		V		V							M	1	0	-2, 2, -1		-2	-2	0	7	0.0	0.0	1.5	0.0
45	44	0	0	12/8	2	1	I|PAC}{	c	III		I		I					PAC	}{	M	1	0	-3, 1, -2		-3	-3	0	2	0.0	0.0	0.5	0.0
45	44	3/8	3/8	12/8	2	1	I6	c	III		I6		I		6					M	1	0	1, -2, -3		-3	1	0	3	0.0	0.0	0.5	0.0
45	44	3/4	3/4	12/8	2	1	ii6	c	III		ii6		ii		6					m	1	0	-4, 0, -1		-1	-4	0	4	0.0	0.0	0.625	0.0
45	44	9/8	9/8	12/8	2	1	V	c	III		V		V							M	1	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	0.625	0.0
46	45	0	0	12/8	2	1	vi|DC	c	III		vi		vi					DC		m	1	0	0, -3, 1		0	0	0	2	0.0	0.0	0.5	0.0
46	45	3/8	3/8	12/8	2	1	I6	c	III		I6		I		6					M	1	0	1, -2, -3		-3	1	0	3	0.0	0.0	0.5	0.0
46	45	3/4	3/4	12/8	2	1	ii6	c	III		ii6		ii		6					m	1	0	-4, 0, -1		-1	-4	0	4	0.0	0.0	0.625	0.0
46	45	9/8	9/8	12/8	2	1	V	c	III		V		V							M	1	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	0.625	0.0
47	46	0	0	12/8	2	1	vi|DC	c	III		vi		vi					DC		m	1	0	0, -3, 1		0	0	0	2	0.0	0.0	0.5	0.0
47	46	3/8	3/8	12/8	2	1	I6	c	III		I6		I		6					M	1	0	1, -2, -3		-3	1	0	5	0.0	0.0	0.875	0.0
47	46	3/4	3/4	12/8	2	1	ii6	c	III		ii6		ii		6					m	1	0	-4, 0, -1		-1	-4	0	5	0.0	0.0	0.875	0.0
47	46	9/8	9/8	12/8	2	1	V7	c	III		V7		V		7					Mm7	1	0	-2, 2, -1, -4		-2	-2	0	5	0.0	0.0	0.875	0.0
48	47	0	0	12/8	2	1	I(^74)}	c	III		I(^74)		I			^74			}	M	1	0	-3, -4, -2	2	-3	-3	0	4	0.0	0.0	3.0	0.0
48	47	3/4	3/4	12/8	2	1	I|PAC	c	III		I		I					PAC		M	1	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	1.125	0.0
50	48	0	0	12/8	2	1	I{	c	III		I		I						{	M	1	0	-3, 1, -2		-3	-3	2	19	0.09523809523809523	0.25	3.625	0.06451612903225806
51	49	0	0	12/8	2	1	V43	c	III		V43		V		43					Mm7	1	0	-1, -4, -2, 2		-2	-1	2	21	0.08695652173913043	0.25	4.375	0.05405405405405406
52	50	0	0	12/8	2	1	I6	c	III		I6		I		6					M	1	0	1, -2, -3		-3	1	2	9	0.18181818181818182	0.125	1.25	0.09090909090909091
52	50	3/4	3/4	12/8	2	1	ii6	c	III		ii6		ii		6					m	1	0	-4, 0, -1		-1	-4	0	4	0.0	0.0	0.625	0.0
