mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/8	2/4	2	1	G.I{		G	I		I		I						{	M	0	0	1, 5, 2		1	1	1	6	0.14285714285714285	0.0625	0.5625	0.1
2	1	1/4	1/4	2/4	2	1	V6		G	I		V6		V		6					M	0	0	6, 3, 2		2	6	0	6	0.0	0.0	0.5	0.0
3	2	0	0	2/4	2	1	vi		G	I		vi		vi							m	0	0	4, 1, 5		4	4	1	5	0.16666666666666666	0.0625	0.4375	0.125
3	2	1/4	1/4	2/4	2	1	IV		G	I		IV		IV							M	0	0	0, 4, 1		0	0	0	6	0.0	0.0	0.4375	0.0
4	3	0	0	2/4	2	1	I6		G	I		I6		I		6					M	0	0	5, 2, 1		1	5	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	3	1/8	1/8	2/4	2	1	vi		G	I		vi		vi							m	0	0	4, 1, 5		4	4	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	3	1/4	1/4	2/4	2	1	ii6		G	I		ii6		ii		6					m	0	0	0, 4, 3		3	0	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	3	3/8	3/8	2/4	2	1	V		G	I		V		V							M	0	0	2, 6, 3		2	2	1	2	0.3333333333333333	0.0625	0.1875	0.25
5	4	0	0	2/4	2	1	I|PAC}		G	I		I		I					PAC	}	M	0	0	1, 5, 2		1	1	1	7	0.125	0.0	0.875	0.0
6	5	0	0	2/4	2	1	IV64	I(64)	G	I		IV64		IV		64					M	0	0	1, 0, 4		0	1	1	17	0.05555555555555555	0.041666666666666664	1.4583333333333333	0.027777777777777776
7	6	0	0	2/4	2	1	I		G	I		I		I							M	0	0	1, 5, 2		1	1	2	11	0.15384615384615385	0.0625	1.375	0.043478260869565216
8	7	0	0	2/4	2	1	V65		G	I		V65		V		65					Mm7	0	0	6, 3, 0, 2		2	6	0	10	0.0	0.0	1.0	0.0
8	7	3/8	3/8	2/4	2	1	I		G	I		I		I							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.375	0.0
9	8	0	0	2/4	2	1	V(64)		G	I		V(64)		V			64				M	0	0	2, 1, 5		2	2	0	3	0.0	0.0	0.4375	0.0
9	8	1/8	1/8	2/4	2	1	V|HC}		G	I		V		V					HC	}	M	0	0	2, 6, 3		2	2	3	4	0.42857142857142855	0.1875	0.375	0.3333333333333333
10	9	0	0	2/4	2	1	V.I{		G	V		I		I						{	M	0	0	2, 6, 3		2	2	1	6	0.14285714285714285	0.03125	0.46875	0.0625
10	9	1/4	1/4	2/4	2	1	V		G	V		V		V							M	0	0	3, 7, 4		3	3	0	6	0.0	0.0	0.5	0.0
11	10	0	0	2/4	2	1	I		G	V		I		I							M	0	0	2, 6, 3		2	2	1	5	0.16666666666666666	0.0	0.5	0.0
11	10	1/4	1/4	2/4	2	1	V		G	V		V		V							M	0	0	3, 7, 4		3	3	1	5	0.16666666666666666	0.0625	0.375	0.14285714285714285
12	11	0	0	2/4	2	1	IV6		G	V		IV6		IV		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.25	0.0
12	11	1/8	1/8	2/4	2	1	iii6		G	V		iii6		iii		6					m	0	0	3, 7, 6		6	3	0	3	0.0	0.0	0.25	0.0
12	11	1/4	1/4	2/4	2	1	ii6		G	V		ii6		ii		6					m	0	0	1, 5, 4		4	1	0	3	0.0	0.0	0.25	0.0
12	11	3/8	3/8	2/4	2	1	I6		G	V		I6		I		6					M	0	0	6, 3, 2		2	6	0	3	0.0	0.0	0.25	0.0
13	12	0	0	2/4	2	1	viio6		G	V		viio6		vii	o	6					o	0	0	4, 1, 7		7	4	0	3	0.0	0.0	0.25	0.0
13	12	1/8	1/8	2/4	2	1	I		G	V		I		I							M	0	0	2, 6, 3		2	2	2	4	0.3333333333333333	0.03125	0.21875	0.125
13	12	1/4	1/4	2/4	2	1	V}		G	V		V		V						}	M	0	0	3, 7, 4		3	3	2	3	0.4	0.125	0.25	0.3333333333333333
14	13	0	0	2/4	2	1	I{		G	V		I		I						{	M	0	0	2, 6, 3		2	2	1	6	0.14285714285714285	0.03125	0.46875	0.0625
14	13	1/4	1/4	2/4	2	1	V		G	V		V		V							M	0	0	3, 7, 4		3	3	0	6	0.0	0.0	0.5	0.0
15	14	0	0	2/4	2	1	I		G	V		I		I							M	0	0	2, 6, 3		2	2	1	5	0.16666666666666666	0.0	0.5	0.0
15	14	1/4	1/4	2/4	2	1	V		G	V		V		V							M	0	0	3, 7, 4		3	3	1	5	0.16666666666666666	0.0625	0.375	0.14285714285714285
16	15	0	0	2/4	2	1	IV6		G	V		IV6		IV		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.25	0.0
16	15	1/8	1/8	2/4	2	1	I64		G	V		I64		I		64					M	0	0	3, 2, 6		2	3	0	3	0.0	0.0	0.25	0.0
16	15	1/4	1/4	2/4	2	1	IV		G	V		IV		IV							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.25	0.0
16	15	3/8	3/8	2/4	2	1	I6		G	V		I6		I		6					M	0	0	6, 3, 2		2	6	0	3	0.0	0.0	0.25	0.0
17	16	0	0	2/4	2	1	viio6		G	V		viio6		vii	o	6					o	0	0	4, 1, 7		7	4	1	3	0.25	0.0625	0.1875	0.25
17	16	1/8	1/8	2/4	2	1	I		G	V		I		I							M	0	0	2, 6, 3		2	2	2	4	0.3333333333333333	0.03125	0.21875	0.125
17	16	1/4	1/4	2/4	2	1	V6}		G	V		V6		V		6				}	M	0	0	7, 4, 3		3	7	1	2	0.3333333333333333	0.0625	0.1875	0.25
17	16	3/8	3/8	2/4	2	1	V7		G	V		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.1875	0.0
18	17	0	0	2/4	2	1	I		G	V		I		I							M	0	0	2, 6, 3		2	2	4	18	0.18181818181818182	0.20833333333333334	2.0416666666666665	0.0925925925925926
19	18	3/8	3/8	2/4	2	1	I6		G	V		I6		I		6					M	0	0	6, 3, 2		2	6	0	4	0.0	0.0	0.25	0.0
20	19	0	0	2/4	2	1	IV		G	V		IV		IV							M	0	0	1, 5, 2		1	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
20	19	1/8	1/8	2/4	2	1	ii		G	V		ii		ii							m	0	0	4, 1, 5		4	4	2	3	0.4	0.03125	0.21875	0.125
20	19	1/4	1/4	2/4	2	1	V(64)		G	V		V(64)		V			64				M	0	0	3, 2, 6		3	3	0	2	0.0	0.0	0.25	0.0
20	19	3/8	3/8	2/4	2	1	V		G	V		V		V							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
21	20	0	0	2/4	2	1	I|IAC		G	V		I		I					IAC		M	0	0	2, 6, 3		2	2	4	20	0.16666666666666666	0.20833333333333334	2.4791666666666665	0.07751937984496124
22	21	3/8	3/8	2/4	2	1	I6		G	V		I6		I		6					M	0	0	6, 3, 2		2	6	0	4	0.0	0.0	0.25	0.0
23	22	0	0	2/4	2	1	IV		G	V		IV		IV							M	0	0	1, 5, 2		1	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
