mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/4	2/4	2	1	E.I{				E	I		I	I						{	M	0	0	4, 8, 5		4	4	0	24	0.0	0.0	2.25	0.0
3	2	1/4	1/4	2/4	2	1	viio6				E	I		viio6	vii	o	6					o	0	0	6, 3, 9		9	6	1	7	0.125	0.0625	0.4375	0.125
4	3	0	0	2/4	2	1	I6				E	I		I6	I		6					M	0	0	8, 5, 4		4	8	1	7	0.125	0.0625	0.4375	0.125
4	3	1/4	1/4	2/4	2	1	ii65				E	I		ii65	ii		65					mm7	0	0	3, 7, 4, 6		6	3	0	8	0.0	0.0	0.5	0.0
5	4	0	0	2/4	2	1	V|HC}				E	I		V	V					HC	}	M	0	0	5, 9, 6		5	5	2	3	0.4	0.125	0.375	0.25
5	4	1/4	1/4	2/4	2	1	I{				E	I		I	I						{	M	0	0	4, 8, 5		4	4	0	24	0.0	0.0	2.25	0.0
7	6	1/4	1/4	2/4	2	1	viio6				E	I		viio6	vii	o	6					o	0	0	6, 3, 9		9	6	1	7	0.125	0.0625	0.4375	0.125
8	7	0	0	2/4	2	1	I6				E	I		I6	I		6					M	0	0	8, 5, 4		4	8	0	4	0.0	0.0	0.25	0.0
8	7	1/8	1/8	2/4	2	1	ii6				E	I		ii6	ii		6					m	0	0	3, 7, 6		6	3	0	4	0.0	0.0	0.25	0.0
8	7	1/4	1/4	2/4	2	1	V(64)				E	I		V(64)	V			64				M	0	0	5, 4, 8		5	5	0	3	0.0	0.0	0.25	0.0
8	7	3/8	3/8	2/4	2	1	V				E	I		V	V							M	0	0	5, 9, 6		5	5	0	3	0.0	0.0	0.25	0.0
9	8	0	0	2/4	2	1	I|PAC}				E	I		I	I					PAC	}	M	0	0	4, 8, 5		4	4	0	3	0.0	0.0	0.5	0.0
10	8	0	1/4	2/4	2	1	V.IV{				E	V		IV	IV						{	M	0	0	4, 8, 5		4	4	2	6	0.25	0.125	0.625	0.16666666666666666
11	9	0	0	2/4	2	1	I				E	V		I	I							M	0	0	5, 9, 6		5	5	2	6	0.25	0.125	0.625	0.16666666666666666
11	9	1/4	1/4	2/4	2	1	V7				E	V		V7	V		7					Mm7	0	0	6, 10, 7, 4		6	6	1	7	0.125	0.0625	0.6875	0.08333333333333333
12	10	0	0	2/4	2	1	I(94)				E	V		I(94)	I			94				M	0	0	5, 4, 6	7	5	5	0	3	0.0	0.0	0.375	0.0
12	10	1/8	1/8	2/4	2	1	I				E	V		I	I							M	0	0	5, 9, 6		5	5	0	3	0.0	0.0	0.375	0.0
12	10	1/4	1/4	2/4	2	1	IV				E	V		IV	IV							M	0	0	4, 8, 5		4	4	2	6	0.25	0.125	0.625	0.16666666666666666
13	11	0	0	2/4	2	1	I				E	V		I	I							M	0	0	5, 9, 6		5	5	2	6	0.25	0.125	0.625	0.16666666666666666
13	11	1/4	1/4	2/4	2	1	V7				E	V		V7	V		7					Mm7	0	0	6, 10, 7, 4		6	6	1	7	0.125	0.0625	0.6875	0.08333333333333333
14	12	0	0	2/4	2	1	I(94)}				E	V		I(94)	I			94			}	M	0	0	5, 4, 6	7	5	5	0	3	0.0	0.0	0.375	0.0
14	12	1/8	1/8	2/4	2	1	I				E	V		I	I							M	0	0	5, 9, 6		5	5	0	3	0.0	0.0	0.375	0.0
14	12	1/4	1/4	2/4	2	1	vi{				E	V		vi	vi						{	m	0	0	8, 5, 9		8	8	4	4	0.5	0.25	0.25	0.5
15	13	0	0	2/4	2	1	IV				E	V		IV	IV							M	0	0	4, 8, 5		4	4	4	4	0.5	0.25	0.25	0.5
15	13	1/4	1/4	2/4	2	1	ii				E	V		ii	ii							m	0	0	7, 4, 8		7	7	4	4	0.5	0.25	0.25	0.5
16	14	0	0	2/4	2	1	V|HC}				E	V		V	V					HC	}	M	0	0	6, 10, 7		6	6	2	4	0.3333333333333333	0.125	0.375	0.25
16	14	1/4	1/4	2/4	2	1	V6{				E	V		V6	V		6				{	M	0	0	10, 7, 6		6	10	4	4	0.5	0.25	0.25	0.5
17	15	0	0	2/4	2	1	V43				E	V		V43	V		43					Mm7	0	0	7, 4, 6, 10		6	7	3	5	0.375	0.1875	0.3125	0.375
17	15	1/4	1/4	2/4	2	1	V6				E	V		V6	V		6					M	0	0	10, 7, 6		6	10	4	5	0.4444444444444444	0.25	0.5	0.3333333333333333
