mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/4	2/4	2	1	Bb.I{				Bb	I		I	I						{	M	0	0	-2, 2, -1		-2	-2	1	10	0.09090909090909091	0.0625	1.125	0.05263157894736842
3	2	0	0	2/4	2	1	I(64)				Bb	I		I(64)	I			64				M	0	0	-2, -3, 1		-2	-2	0	9	0.0	0.0	0.9375	0.0
4	3	0	0	2/4	2	1	I6				Bb	I		I6	I		6					M	0	0	2, -1, -2		-2	2	1	4	0.2	0.0625	0.3125	0.16666666666666666
4	3	1/4	1/4	2/4	2	1	ii6				Bb	I		ii6	ii		6					m	0	0	-3, 1, 0		0	-3	0	3	0.0	0.0	0.25	0.0
4	3	3/8	3/8	2/4	2	1	V				Bb	I		V	V							M	0	0	-1, 3, 0		-1	-1	1	2	0.3333333333333333	0.0625	0.1875	0.25
5	4	0	0	2/4	2	1	I				Bb	I		I	I							M	0	0	-2, 2, -1		-2	-2	5	14	0.2631578947368421	0.25	1.4375	0.14814814814814814
7	6	0	0	2/4	2	1	I(64)				Bb	I		I(64)	I			64				M	0	0	-2, -3, 1		-2	-2	0	9	0.0	0.0	0.9375	0.0
8	7	0	0	2/4	2	1	I6				Bb	I		I6	I		6					M	0	0	2, -1, -2		-2	2	1	4	0.2	0.0625	0.3125	0.16666666666666666
8	7	1/4	1/4	2/4	2	1	ii6				Bb	I		ii6	ii		6					m	0	0	-3, 1, 0		0	-3	0	3	0.0	0.0	0.25	0.0
8	7	3/8	3/8	2/4	2	1	V				Bb	I		V	V							M	0	0	-1, 3, 0		-1	-1	1	2	0.3333333333333333	0.0625	0.1875	0.25
9	8	0	0	2/4	2	1	I|PAC}				Bb	I		I	I					PAC	}	M	0	0	-2, 2, -1		-2	-2	0	7	0.0	0.0	0.625	0.0
9	8	3/8	3/8	2/4	2	1	I6				Bb	I		I6	I		6					M	0	0	2, -1, -2		-2	2	0	3	0.0	0.0	0.25	0.0
10	9	0	0	2/4	2	1	V(64)				Bb	I		V(64)	V			64				M	0	0	-1, -2, 2		-1	-1	0	5	0.0	0.0	0.5	0.0
10	9	1/4	1/4	2/4	2	1	V7				Bb	I		V7	V		7					Mm7	0	0	-1, 3, 0, -3		-1	-1	1	6	0.14285714285714285	0.03125	0.46875	0.0625
11	10	0	0	2/4	2	1	I|IAC				Bb	I		I	I					IAC		M	0	0	-2, 2, -1		-2	-2	0	8	0.0	0.0	0.6875	0.0
12	11	0	0	2/4	2	1	V(64)				Bb	I		V(64)	V			64				M	0	0	-1, -2, 2		-1	-1	0	5	0.0	0.0	0.5	0.0
12	11	1/4	1/4	2/4	2	1	V7				Bb	I		V7	V		7					Mm7	0	0	-1, 3, 0, -3		-1	-1	1	6	0.14285714285714285	0.03125	0.46875	0.0625
13	12	0	0	2/4	2	1	I|IAC				Bb	I		I	I					IAC		M	0	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	0.4375	0.0
13	12	1/4	1/4	2/4	2	1	I6				Bb	I		I6	I		6					M	0	0	2, -1, -2		-2	2	0	4	0.0	0.0	0.25	0.0
14	13	0	0	2/4	2	1	IV				Bb	I		IV	IV							M	0	0	-3, 1, -2		-3	-3	5	8	0.38461538461538464	0.1875	0.6875	0.21428571428571427
15	14	0	0	2/4	2	1	V(64)				Bb	I		V(64)	V			64				M	0	0	-1, -2, 2		-1	-1	0	2	0.0	0.0	0.3125	0.0
15	14	1/8	1/8	2/4	2	1	V|HC}				Bb	I		V	V					HC	}	M	0	0	-1, 3, 0		-1	-1	5	14	0.2631578947368421	0.1875	1.25	0.13043478260869565
17	16	0	0	2/4	2	1	V.IV64				Bb	V		IV64	IV		64					M	0	0	-1, -2, 2		-2	-1	1	10	0.09090909090909091	0.0625	0.8125	0.07142857142857142
18	17	0	0	2/4	2	1	V6				Bb	V		V6	V		6					M	0	0	4, 1, 0		0	4	2	11	0.15384615384615385	0.0	1.0	0.0
19	18	0	0	2/4	2	1	I				Bb	V		I	I							M	0	0	-1, 3, 0		-1	-1	1	10	0.09090909090909091	0.0625	0.8125	0.07142857142857142
20	19	0	0	2/4	2	1	I6	0	-7	/	Bb	V		I6	I		6					M	0	0	3, 0, -1		-1	3	0	16	0.0	0.0	1.5	0.0
21	20	0	0	2/4	2	1	ii6	0	-8	/	Bb	V		ii6	ii		6					m	0	0	-2, 2, 1		1	-2	0	14	0.0	0.0	1.1875	0.0
22	21	0	0	2/4	2	1	V(64)	0	-7	/	Bb	V		V(64)	V			64				M	0	0	0, -1, 3		0	0	0	7	0.0	0.0	0.5	0.0
22	21	1/4	1/4	2/4	2	1	V	0	-7	/	Bb	V		V	V							M	0	0	0, 4, 1		0	0	1	6	0.14285714285714285	0.03125	0.46875	0.0625
23	22	0	0	2/4	2	1	I6				Bb	V		I6	I		6					M	0	0	3, 0, -1		-1	3	0	5	0.0	0.0	0.5	0.0
23	22	1/4	1/4	2/4	2	1	I|PAC}				Bb	V		I	I					PAC	}	M	0	0	-1, 3, 0		-1	-1	2	15	0.11764705882352941	0.0	1.4375	0.0
25	24	0	0	2/4	2	1	IV64				Bb	V		IV64	IV		64					M	0	0	-1, -2, 2		-2	-1	1	10	0.09090909090909091	0.0625	0.8125	0.07142857142857142
26	25	0	0	2/4	2	1	V6				Bb	V		V6	V		6					M	0	0	4, 1, 0		0	4	2	11	0.15384615384615385	0.0	1.0	0.0
27	26	0	0	2/4	2	1	I				Bb	V		I	I							M	0	0	-1, 3, 0		-1	-1	1	10	0.09090909090909091	0.0625	0.8125	0.07142857142857142
28	27	0	0	2/4	2	1	I6				Bb	V		I6	I		6					M	0	0	3, 0, -1		-1	3	0	16	0.0	0.0	1.5	0.0
29	28	0	0	2/4	2	1	ii6				Bb	V		ii6	ii		6					m	0	0	-2, 2, 1		1	-2	0	14	0.0	0.0	1.1875	0.0
30	29	0	0	2/4	2	1	V(64)				Bb	V		V(64)	V			64				M	0	0	0, -1, 3		0	0	0	7	0.0	0.0	0.5	0.0
30	29	1/4	1/4	2/4	2	1	V				Bb	V		V	V							M	0	0	0, 4, 1		0	0	1	6	0.14285714285714285	0.03125	0.46875	0.0625
