mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/8	2	1	Eb.I{					Eb	I		I	I						{	M	0	0	-3, 1, -2		-3	-3	2	5	0.2857142857142857	0.08333333333333333	0.5416666666666666	0.13333333333333333
1	1	1/8	1/8	3/8	2	1	ii(^4)					Eb	I		ii(^4)	ii			^4				m	0	0	-1, -4, -2		-1	-1	0	2	0.0	0.0	0.25	0.0
1	1	1/4	1/4	3/8	2	1	V6					Eb	I		V6	V		6					M	0	0	2, -1, -2		-2	2	0	2	0.0	0.0	0.25	0.0
2	2	0	0	3/8	2	1	I					Eb	I		I	I							M	0	0	-3, 1, -2		-3	-3	2	5	0.2857142857142857	0.08333333333333333	0.5416666666666666	0.13333333333333333
2	2	1/8	1/8	3/8	2	1	ii(^4)					Eb	I		ii(^4)	ii			^4				m	0	0	-1, -4, -2		-1	-1	0	2	0.0	0.0	0.25	0.0
2	2	1/4	1/4	3/8	2	1	V6					Eb	I		V6	V		6					M	0	0	2, -1, -2		-2	2	0	2	0.0	0.0	0.25	0.0
3	3	0	0	3/8	2	1	I					Eb	I		I	I							M	0	0	-3, 1, -2		-3	-3	0	3	0.0	0.0	0.375	0.0
3	3	1/8	1/8	3/8	2	1	viio6/V					Eb	I		viio6/V	vii	o	6		V			o	0	0	0, -3, 3		3	0	0	3	0.0	0.0	0.625	0.0
3	3	1/4	1/4	3/8	2	1	V7/V					Eb	I		V7/V	V		7		V			Mm7	0	0	-1, 3, 0, -3		-1	-1	0	1	0.0	0.0	0.125	0.0
4	4	0	0	3/8	2	1	V					Eb	I		V	V							M	0	0	-2, 2, -1		-2	-2	4	4	0.5	0.25	0.75	0.25
5	5	0	0	3/8	2	1	IV(#2)					Eb	I		IV(#2)	IV			#2				M	0	0	-4, 5, -3		-4	-4	0	2	0.0	0.0	0.5	0.0
5	5	1/8	1/8	3/8	2	1	IV					Eb	I		IV	IV							M	0	0	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.5	0.0
5	5	1/4	1/4	3/8	2	1	vii%43					Eb	I		vii%43	vii	%	43					%7	0	0	-4, 0, 2, -1		2	-4	0	2	0.0	0.0	0.25	0.0
6	6	0	0	3/8	2	1	I6					Eb	I		I6	I		6					M	0	0	1, -2, -3		-3	1	0	5	0.0	0.0	0.5	0.0
6	6	1/8	1/8	3/8	2	1	viio6					Eb	I		viio6	vii	o	6					o	0	0	-1, -4, 2		2	-1	0	3	0.0	0.0	0.25	0.0
6	6	1/4	1/4	3/8	2	1	I6					Eb	I		I6	I		6					M	0	0	1, -2, -3		-3	1	0	3	0.0	0.0	0.25	0.0
7	7	0	0	3/8	2	1	V65(6)					Eb	I		V65(6)	V		65	6				Mm7	0	0	2, 1, -4, -2		-2	2	0	3	0.0	0.0	0.5	0.0
7	7	1/8	1/8	3/8	2	1	V65					Eb	I		V65	V		65					Mm7	0	0	2, -1, -4, -2		-2	2	0	2	0.0	0.0	0.25	0.0
7	7	1/4	1/4	3/8	2	1	I					Eb	I		I	I							M	0	0	-3, 1, -2		-3	-3	0	3	0.0	0.0	0.375	0.0
8	8	0	0	3/8	2	1	V(64)}					Eb	I		V(64)	V			64			}	M	0	0	-2, -3, 1		-2	-2	0	3	0.0	0.0	0.375	0.0
8	8	1/8	1/8	3/8	2	1	V|HC					Eb	I		V	V					HC		M	0	0	-2, 2, -1		-2	-2	2	4	0.3333333333333333	0.125	0.375	0.25
