mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur
6	6	20	20	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	70						
6	6	81/4	81/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	71						
6	6	41/2	41/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	72						
6	6	83/4	83/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	73						
6	6	21	21	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	74						
6	6	85/4	85/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	75						
6	6	43/2	43/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	76						
6	6	87/4	87/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	77						
6	6	22	22	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	78						
6	6	89/4	89/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	79						
6	6	45/2	45/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	80						
6	6	91/4	91/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	81						
6	6	23	23	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	82						
6	6	93/4	93/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	83						
6	6	47/2	47/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	84						
6	6	95/4	95/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	85						
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	86						
6	6	20	20	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	87						
7	7	24	24	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	88						
7	7	99/4	99/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	89						
7	7	25	25	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	90						
7	7	103/4	103/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	91						
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	92						
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	93						
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	94						
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	95						
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	96						
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	97						
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	98						
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	99						
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	100						
8	8	29	29	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	101						6
8	8	117/4	117/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	102						6
8	8	59/2	59/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	103						6
8	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	104						
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	105						
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	106						
8	8	30	30	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	107						
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	108						
8	8	31	31	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	109						
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	110						
9	9	32	32	0.0	0	0	Dynamic	4/4	1	1	0					p					
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	111						
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	112						
9	9	34	34	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	113		ornamentTrill				
9	9	71/2	71/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	114						
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	115						
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	116						
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	117						
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	118						
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	119						
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	120						
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	121						
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	122						
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	123						
10	10	36	36	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	124						
10	10	145/4	145/4	0.75	1/16	1/16	Chord	4/4	1	1	3/16		1/8	3/2	125						
10	10	37	37	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	126						
10	10	149/4	149/4	0.75	5/16	5/16	Chord	4/4	1	1	3/16		1/8	3/2	127						
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	128						
10	10	39	39	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	129						
10	10	157/4	157/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	130						
10	10	79/2	79/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	131						
10	10	159/4	159/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	132						
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	133						
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	134						
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	135						
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	136						
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	137						
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	138						
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	139						
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	140						
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	141						
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	142						
11	11	42	42	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	143						
11	11	169/4	169/4	0.75	9/16	9/16	Chord	4/4	1	1	3/16		1/8	3/2	144						
11	11	43	43	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	145						
11	11	173/4	173/4	0.75	13/16	13/16	Chord	4/4	1	1	3/16		1/8	3/2	146						
11	11	40	40	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	147						
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	148						
11	11	41	41	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	149						
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	150						
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	151						
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	152						
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	153						
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	154						
12	12	44	44	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	155						
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	156		ornamentTrill				
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	157						
12	12	44	44	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	158						
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	159						
12	12	45	45	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	160						
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	161						
12	12	46	46	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	162						
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	163						
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	164						
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	165						
13	13	48	48	0.0	0	0	Dynamic	4/4	1	1	0					f					
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	166						
13	13	49	49	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	167						
13	13	197/4	197/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	168						
13	13	99/2	99/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	169						
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	170						
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	171						
13	13	51	51	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	172						
13	13	205/4	205/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	173						
13	13	103/2	103/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	174						
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	175						
13	13	48	48	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	176						
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	177						
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	178						
13	13	48	48	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	179						
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	180						
14	14	52	52	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	181						
14	14	209/4	209/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	182						
14	14	105/2	105/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	183						
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	184						
14	14	53	53	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	185						
14	14	213/4	213/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	186						
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	187						
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	188						
14	14	54	54	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	189						
14	14	217/4	217/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	190						
14	14	109/2	109/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	191						
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	192						
14	14	55	55	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	193						
14	14	221/4	221/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	194						
14	14	111/2	111/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	195						
14	14	223/4	223/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	196						
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	197						
14	14	52	52	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	198						
15	15	56	56	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	199		ornamentTrill				
15	15	227/4	227/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	200						
15	15	57	57	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	201		ornamentTrill				
15	15	231/4	231/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	202						
15	15	58	58	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	203		ornamentTrill				
15	15	235/4	235/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	204						
15	15	59	59	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	205		ornamentTrill				
15	15	239/4	239/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	206						
15	15	56	56	0.75	0	0	Chord	4/4	2	1	3/16		1/8	3/2	207						
15	15	227/4	227/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	208						
15	15	57	57	0.75	1/4	1/4	Chord	4/4	2	1	3/16		1/8	3/2	209						
15	15	231/4	231/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	210						
15	15	58	58	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	211						
15	15	235/4	235/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	212						
15	15	59	59	0.75	3/4	3/4	Chord	4/4	2	1	3/16		1/8	3/2	213						
15	15	239/4	239/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	214						
16	16	60	60	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	215						
16	16	61	61	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	216						
16	16	61	61	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	217						
16	16	245/4	245/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	218						
16	16	123/2	123/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	219						
16	16	247/4	247/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	220						
16	16	62	62	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	221						
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	222						
16	16	62	62	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	223						
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	224						
16	16	63	63	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	225						
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	226						
17	17	64	64	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	227		ornamentTrill				
17	17	259/4	259/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	228						
17	17	519/8	519/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	229						
17	17	65	65	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	230		ornamentTrill				
17	17	263/4	263/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	231						
17	17	527/8	527/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	232						
17	17	66	66	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	233						
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	234						
17	17	64	64	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	235						
17	17	193/3	193/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	236						
17	17	194/3	194/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	237						
17	17	65	65	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	238						
17	17	196/3	196/3	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	239						
17	17	197/3	197/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	240						
17	17	66	66	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	241						
17	17	199/3	199/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	242						
17	17	200/3	200/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	243						
17	17	67	67	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	244						
17	17	202/3	202/3	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	245						
17	17	203/3	203/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	246						
18	18	68	68	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	247						
18	18	69	69	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	248						
18	18	69	69	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	249						
18	18	139/2	139/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	250						
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	251						
18	18	70	70	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	252						
18	18	68	68	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	253						
18	18	205/3	205/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	254						
18	18	206/3	206/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	255						
18	18	69	69	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	256						
18	18	208/3	208/3	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	257						
18	18	209/3	209/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	258						
18	18	70	70	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	259						
18	18	211/3	211/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	260						
18	18	212/3	212/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	261						
18	18	71	71	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	262						
18	18	214/3	214/3	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	263						
18	18	215/3	215/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	264						
19	19	72	72	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	265		ornamentTrill				
19	19	291/4	291/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	266						
19	19	583/8	583/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	267						
19	19	73	73	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	268		ornamentTrill				
19	19	295/4	295/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	269						
19	19	591/8	591/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	270						
19	19	74	74	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	271						
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	272						
19	19	72	72	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	273						
19	19	217/3	217/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	274						
19	19	218/3	218/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	275						
19	19	73	73	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	276						
19	19	220/3	220/3	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	277						
19	19	221/3	221/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	278						
19	19	74	74	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	279						
19	19	223/3	223/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	280						
19	19	224/3	224/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	281						
19	19	75	75	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	282						
19	19	226/3	226/3	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	283						
