mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible
44	43	515/6	515/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24			1/16	2/3	410						
44	43	86	86	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24			1/16	2/3	411						
44	43	517/6	517/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24			1/16	2/3	412						
44	43	259/3	259/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24			1/16	2/3	413						
45	44	173/2	173/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24			1/16	2/3	414						
45	44	260/3	260/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24			1/16	2/3	415						
45	44	521/6	521/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24			1/16	2/3	416						
45	44	87	87	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24			1/16	2/3	417						
45	44	523/6	523/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24			1/16	2/3	418						
45	44	262/3	262/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24			1/16	2/3	419						
45	44	175/2	175/2	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24			1/16	2/3	420						
45	44	263/3	263/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24			1/16	2/3	421						
45	44	527/6	527/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24			1/16	2/3	422						
45	44	88	88	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24			1/16	2/3	423						
45	44	529/6	529/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24			1/16	2/3	424						
45	44	265/3	265/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24			1/16	2/3	425						
46	45	177/2	177/2	0.75	0	0	Chord	2/4	1	1	3/16			1/8	3/2	426						
46	45	357/4	357/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	427						
46	45	179/2	179/2	0.375	1/4	1/4	Chord	2/4	1	1	3/32			1/16	3/2	428		ornamentTrill				
46	45	719/8	719/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	429						
46	45	90	90	0.375	3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	430		ornamentTrill				
46	45	723/8	723/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	431						
46	45	177/2	177/2	0.75	0	0	Chord	2/4	2	1	3/16			1/8	3/2	432						
46	45	357/4	357/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	433						
46	45	179/2	179/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	434						
46	45	90	90	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	435						
47	46	181/2	181/2	0.375	0	0	Chord	2/4	1	1	3/32			1/16	3/2	436						
47	46	727/8	727/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	437						
47	46	91	91	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	438		ornamentTurn				
47	46	367/4	367/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	439						
47	46	369/4	369/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	440						
47	46	181/2	181/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	441						
47	46	183/2	183/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	442						
47	46	92	92	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	443						
48	47	371/4	371/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	444						
48	47	373/4	373/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	445						
48	47	187/2	187/2	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16		1/16	1	446						
48	47	187/2	187/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	447						
48	47	94	94	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	448						
48	47	377/4	377/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	449						
48	47	185/2	185/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	450						
48	47	93	93	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	451						
48	47	187/2	187/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	452						
49	48	189/2	189/2	0.375	0	0	Chord	2/4	1	1	3/32			1/16	3/2	453						
49	48	759/8	759/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	454						
49	48	95	95	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	455		ornamentTurn				
49	48	383/4	383/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	456						
49	48	385/4	385/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	457						
49	48	189/2	189/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	458						
49	48	191/2	191/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	459						
49	48	96	96	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	460						
50	49	387/4	387/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	461						
50	49	389/4	389/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	462						
50	49	195/2	195/2	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16		1/16	1	463						
50	49	195/2	195/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	464						
50	49	98	98	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	465						
50	49	393/4	393/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	466						
50	49	193/2	193/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	467						
50	49	97	97	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	468						
50	49	195/2	195/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	469						
51	50	197/2	197/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	470						
51	50	395/4	395/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	471						
51	50	99	99	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	472						
51	50	397/4	397/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	473						
51	50	199/2	199/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	474						
51	50	399/4	399/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	475						
51	50	100	100	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	476						
51	50	401/4	401/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	477						
51	50	197/2	197/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	478						
51	50	99	99	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	479						
51	50	199/2	199/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	480						
51	50	100	100	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	481						
52	51	201/2	201/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	482						
52	51	201/2	201/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	483						
53	51	205/2	205/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	484						
54	52	103	103	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	485		ornamentTurn				
54	52	104	104	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	486						
54	52	417/4	417/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	487						
54	52	209/2	209/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	488						
54	52	419/4	419/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	489						
54	52	103	103	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	490						
54	52	207/2	207/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	491						
54	52	104	104	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	492						
54	52	209/2	209/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	493						
55	53	105	105	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	494						
55	53	421/4	421/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	495						
55	53	211/2	211/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	496						
55	53	423/4	423/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	497						
55	53	106	106	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	498						
55	53	425/4	425/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	499						
55	53	213/2	213/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	500						
55	53	427/4	427/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	501						
55	53	105	105	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	502						
56	54	107	107	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	503						
56	54	108	108	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	504						
56	54	433/4	433/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	505						
56	54	217/2	217/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	506						
56	54	435/4	435/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	507						
56	54	107	107	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	508						
56	54	215/2	215/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	509						
56	54	108	108	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	510						
56	54	217/2	217/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	511						
57	55	109	109	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	512						
57	55	437/4	437/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	513						
57	55	219/2	219/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	514						
57	55	439/4	439/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	515						
57	55	110	110	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	516						
57	55	441/4	441/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	517						
57	55	221/2	221/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	518						
57	55	443/4	443/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	519						
57	55	109	109	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	520						
58	56	111	111	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	521						
58	56	445/4	445/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	522						
58	56	223/2	223/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	523						
58	56	447/4	447/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	524						
58	56	112	112	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	525						
58	56	449/4	449/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	526						
58	56	225/2	225/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	527						
58	56	451/4	451/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	528						
58	56	111	111	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	529						
58	56	223/2	223/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	530						
58	56	112	112	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	531						
58	56	225/2	225/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	532						
59	57	113	113	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	533						
59	57	453/4	453/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	534						
59	57	227/2	227/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	535						
59	57	455/4	455/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	536						
59	57	114	114	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	537						
59	57	457/4	457/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	538						
59	57	229/2	229/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	539						
59	57	459/4	459/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	540						
59	57	113	113	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	541						
59	57	227/2	227/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	542						
59	57	114	114	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	543						
59	57	229/2	229/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	544						
60	58	115	115	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	545						
60	58	461/4	461/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	546						
60	58	231/2	231/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	547						
60	58	463/4	463/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	548						
60	58	116	116	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	549						
60	58	465/4	465/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	550						
60	58	233/2	233/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	551						
60	58	467/4	467/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	552						
60	58	115	115	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	553						
60	58	231/2	231/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	554						
60	58	116	116	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	555						
60	58	233/2	233/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	556						
61	59	117	117	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	557						
61	59	469/4	469/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	558						
61	59	235/2	235/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	559						
61	59	471/4	471/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	560						
61	59	118	118	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	561						
61	59	473/4	473/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	562						
61	59	237/2	237/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	563						
61	59	475/4	475/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	564						
61	59	117	117	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	565						
61	59	235/2	235/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	566						
61	59	118	118	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	567						
61	59	237/2	237/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	568						
62	60	119	119	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	569						
62	60	477/4	477/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	570						
62	60	239/2	239/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	571						
62	60	479/4	479/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	572						
62	60	120	120	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	573						
62	60	481/4	481/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	574						
62	60	241/2	241/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	575						
62	60	483/4	483/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	576						
62	60	119	119	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	577						
63	61	121	121	0.0	0	0	Chord	2/4	1	1	0	grace4		1/4	1	578						
63	61	121	121	2.0	0	0	Chord	2/4	1	1	1/2			1/2	1	579		ornamentTrill				
63	61	243/2	243/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	580						
63	61	122	122	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	581						
63	61	245/2	245/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	582						
64	62	123	123	0.75	0	0	Chord	2/4	1	1	3/16			1/8	3/2	583		ornamentTrill				
64	62	495/4	495/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	584						
64	62	991/8	991/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	585						
64	62	124	124	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	586						
64	62	497/4	497/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	587						
64	62	249/2	249/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	588						
64	62	499/4	499/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	589						
64	62	123	123	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	590						
64	62	247/2	247/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	591						
64	62	124	124	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	592						
64	62	249/2	249/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	593						
65	63	125	125	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	594						
65	63	501/4	501/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	595						
65	63	251/2	251/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	596						
65	63	125	125	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	597						
65	63	501/4	501/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	598						
65	63	251/2	251/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	599						
65	63	503/4	503/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	600						
65	63	126	126	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	601						
65	63	505/4	505/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	602						
65	63	253/2	253/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	603						
65	63	507/4	507/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	604						
66	64	127	127	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	605						
66	64	509/4	509/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	606						
66	64	255/2	255/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	607						
66	64	511/4	511/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	608						
66	64	128	128	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	609						
66	64	513/4	513/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	610						
66	64	257/2	257/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	611						
66	64	515/4	515/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	612						
66	64	127	127	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	613						
67	65	129	129	0.0	0	0	Chord	2/4	1	1	0	appoggiatura		1/8	1	614						
67	65	129	129	2.0	0	0	Chord	2/4	1	1	1/2			1/2	1	615		ornamentTrill				
67	65	259/2	259/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	616						
67	65	130	130	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	617						
67	65	261/2	261/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	618						
68	66	131	131	0.75	0	0	Chord	2/4	1	1	3/16			1/8	3/2	619		ornamentTrill				
68	66	527/4	527/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	620						
68	66	1055/8	1055/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	621						
68	66	132	132	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	622						
68	66	529/4	529/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	623						
68	66	265/2	265/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	624						
68	66	531/4	531/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	625						
68	66	131	131	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	626						
68	66	263/2	263/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	627						
68	66	132	132	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	628						
68	66	265/2	265/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	629						
69	67	133	133	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	630						
69	67	533/4	533/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	631						
69	67	267/2	267/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	632		ornamentTurn				
69	67	134	134	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	633						
69	67	537/4	537/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	634						
69	67	269/2	269/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	635						
69	67	539/4	539/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	636						
69	67	133	133	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	637						
70	68	135	135	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	638						
70	68	541/4	541/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	639						
70	68	271/2	271/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	640		ornamentTurn				
70	68	543/4	543/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	641						
70	68	136	136	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	642						
70	68	545/4	545/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	643						
70	68	273/2	273/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	644						
70	68	547/4	547/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	645						
70	68	135	135	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	646						
71	69	549/4	549/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	647						
71	69	275/2	275/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	648		ornamentTurn				
71	69	551/4	551/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	649						
71	69	138	138	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	650						
71	69	553/4	553/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	651						
71	69	277/2	277/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	652		ornamentTurn				
71	69	555/4	555/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	653						
71	69	137	137	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	654						
72	70	139	139	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	655						
72	70	557/4	557/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	656						
72	70	279/2	279/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	657		ornamentTurn				
72	70	140	140	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	658						
72	70	561/4	561/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	659						
72	70	281/2	281/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	660						
72	70	563/4	563/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	661						
72	70	139	139	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	662						
73	71	565/4	565/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	663						
73	71	283/2	283/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	664		ornamentTurn				
73	71	567/4	567/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	665						
73	71	142	142	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	666						
73	71	569/4	569/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	667						
73	71	285/2	285/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	668		ornamentTurn				
73	71	571/4	571/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	669						
73	71	141	141	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	670						
74	72	143	143	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	671						
74	72	573/4	573/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	672						
74	72	287/2	287/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	673		ornamentTurn				
74	72	577/4	577/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	674						
74	72	579/4	579/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	675						
74	72	143	143	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	676						
74	72	144	144	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	677						
74	72	289/2	289/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	678						
75	73	581/4	581/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	679						
75	73	583/4	583/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	680						
75	73	585/4	585/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	681						
75	73	587/4	587/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	682						
75	73	145	145	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	683						
75	73	291/2	291/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	684						
75	73	146	146	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	685						
75	73	293/2	293/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	686						
76	74	589/4	589/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	687		ornamentTurn				
76	74	295/2	295/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	688						
76	74	148	148	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	689						
76	74	593/4	593/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	690						
76	74	297/2	297/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	691						
76	74	595/4	595/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	692						
76	74	147	147	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	693						
76	74	148	148	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	694						
76	74	297/2	297/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	695						
77	75	149	149	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	696						
77	75	597/4	597/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	697						
77	75	299/2	299/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	698						
