mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								AllegroAssai	120.0	1.0	
1	1	0	0	4.0	0	0	Chord	4/4	1	1	1			1	1	0	ornamentTrill					
1	1	0	0	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	1						
1	1	1/4	1/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	2						
1	1	1/2	1/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	3						
1	1	3/4	3/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	4						
1	1	1	1	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	5						
1	1	5/4	5/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	6						
1	1	3/2	3/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	7						
1	1	7/4	7/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	8						
1	1	2	2	0.0	1/2	1/2	StaffText	4/4	2	1	0							Segue				
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2		r16	1/2	1	9						
2	2	4	4	3.0	0	0	Chord	4/4	1	1	3/4			1/2	3/2	10	ornamentTrill					
2	2	7	7	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	11						
2	2	29/4	29/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	12						
2	2	15/2	15/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	13						
2	2	31/4	31/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	14						
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2		r16	1/2	1	15						
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2		r16	1/2	1	16						
3	3	8	8	1.5	0	0	Chord	4/4	1	1	3/8			1/4	3/2	17	ornamentTrill					
3	3	19/2	19/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	18						
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	19						
3	3	10	10	1.5	1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	20	ornamentTrill					
