mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	Trill:trill
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0						𝅘𝅥.=66	99.0	𝅘𝅥.	66.0	0.0	
1	1	0	0	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	0							
1	1	0	0	0.16666666666666666	0	0	Chord	3/8	1	2	1/24		1/16	2/3	1							
1	1	1/6	1/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	2	1/24		1/16	2/3	2							
1	1	1/3	1/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	2	1/24		1/16	2/3	3							
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	4							
1	1	1	1	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	5							
1	1	0	0	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	6							
1	1	1/6	1/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	7							
1	1	1/3	1/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	8							
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	9							
1	1	1	1	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	10							
2	2	3/2	3/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	11							
2	2	3/2	3/2	0.16666666666666666	0	0	Chord	3/8	1	2	1/24		1/16	2/3	12							
2	2	5/3	5/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	2	1/24		1/16	2/3	13							
2	2	11/6	11/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	2	1/24		1/16	2/3	14							
2	2	2	2	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	15							
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	16							
2	2	3/2	3/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	17							
2	2	5/3	5/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	18							
2	2	11/6	11/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	19							
2	2	2	2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	20							
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	21							
3	3	3	3	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	22							
3	3	7/2	7/2	1.0	1/8	1/8	Chord	3/8	1	1	1/4		1/4	1	23							
3	3	3	3	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	24							
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	25							
3	3	4	4	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	26							
4	4	9/2	9/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	27							
4	4	19/4	19/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	28							
4	4	5	5	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	29							
4	4	21/4	21/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	30							
4	4	11/2	11/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	31							
4	4	23/4	23/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	32							
4	4	9/2	9/2	1.0	0	0	Chord	3/8	1	2	1/4		1/4	1	33							
4	4	9/2	9/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	34							
5	5	6	6	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	35							
5	5	13/2	13/2	1.0	1/8	1/8	Chord	3/8	1	1	1/4		1/4	1	36							
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	37							
5	5	7	7	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	38							
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	39							
5	5	7	7	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	40							
5	5	6	6	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	41							
6	6	15/2	15/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	42							
6	6	31/4	31/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	43							
6	6	8	8	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	44							
6	6	33/4	33/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	45							
6	6	17/2	17/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	46							
6	6	35/4	35/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	47							
6	6	15/2	15/2	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	48							
6	6	15/2	15/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	49							
6	6	8	8	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	50							
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	51							
7	7	9	9	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	52							
7	7	19/2	19/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	53							
7	7	10	10	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	54							
7	7	9	9	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	55							
7	7	10	10	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	56							
8	8	21/2	21/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	57							
8	8	11	11	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	58							
8	8	21/2	21/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	59							
8	8	11	11	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	60							
8	8	45/4	45/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	61							
8	8	23/2	23/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	62							
8	8	47/4	47/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	63							
9	9	12	12	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	64							
9	9	12	12	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	65							
9	9	73/6	73/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	66							
9	9	37/3	37/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	67							
9	9	25/2	25/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	68							
9	9	13	13	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	69							
10	10	27/2	27/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	70							
10	10	27/2	27/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	71							
10	10	41/3	41/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	72							
10	10	83/6	83/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	73							
