mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=138	138.0	𝅘𝅥	138.0	0.0		
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0								0	
1	1	1	1	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	1									
1	1	4/3	4/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	2									
1	1	5/3	5/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	3									
1	1	2	2	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	4									
1	1	7/3	7/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	5									
1	1	8/3	8/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	6									
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	7									
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	8									
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	9									
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	10								1	
2	2	4	4	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	11									
2	2	13/3	13/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	12									
2	2	14/3	14/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	13									
2	2	5	5	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	14									
2	2	16/3	16/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	15									
2	2	17/3	17/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	16									
2	2	3	3	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	17									
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	18									
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	19									
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	20		ornamentTrill							
3	3	7	7	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	21									
3	3	22/3	22/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	22									
3	3	23/3	23/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	23									
3	3	8	8	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	24									
3	3	25/3	25/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	25									
3	3	26/3	26/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	26									
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	27									
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	28									
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	29									
4	4	9	9	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	30		ornamentTrill						2	
4	4	39/4	39/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	31								2	
4	4	79/8	79/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	32									
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	33									
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	34									
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	35									
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	36									
5	5	13	13	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	37									
5	5	40/3	40/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	38									
5	5	41/3	41/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	39									
5	5	14	14	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	40									
5	5	43/3	43/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	41									
5	5	44/3	44/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	42									
5	5	12	12	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	43									
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	44									
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	45									
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	46									
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	47									
6	6	16	16	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	48									
6	6	49/3	49/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	49									
6	6	50/3	50/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	50									
6	6	17	17	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	51									
6	6	52/3	52/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	52									
6	6	53/3	53/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	53									
6	6	15	15	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	54									
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	55									
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	56									
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	57									
7	7	18	18	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	58									
7	7	55/3	55/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	59									
7	7	56/3	56/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	60									
7	7	19	19	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	61									
7	7	58/3	58/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	62									
7	7	59/3	59/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	63									
7	7	20	20	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	64									
7	7	61/3	61/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	65									
7	7	62/3	62/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	66									
7	7	18	18	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	67									
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	68									
