mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								Allegretto	100.0	1.0	
1	1	0	0	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	0							
1	1	1	1	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	1		ornamentTrill					
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	2							
1	1	0	0	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	3							
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	4							
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	5							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	6							
2	2	2	2	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	7							
2	2	2	2	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	8							
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	9							
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	10							
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	11							
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	12							
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	13							
3	3	4	4	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	14		ornamentTrill					
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	15							
3	3	5	5	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	16							
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	17							
3	3	4	4	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	18							
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	19							
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	20							
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	21							
4	4	6	6	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	22							
4	4	6	6	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	23							0
4	4	7	7	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	24							
4	4	6	6	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	25							
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	26							
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	27							
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	28							
5	5	8	8	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	29							
5	5	8	8	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	30							
5	5	9	9	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	31							
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	32							
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	33							
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	34							
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	35							
6	6	10	10	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	36							1
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	37		ornamentTrill					
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	38							
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	39							
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	40							
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	41							
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	42							
7	7	12	12	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	43							
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	44							
7	7	25/2	25/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	45							
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	46							
7	7	25/2	25/2	1.0	1/8	1/8	Chord	2/4	1	2	1/4		1/4	1	47							
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	48							
7	7	12	12	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	49							
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	50							
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	51							
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	52							
7	7	12	12	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	53							
8	8	14	14	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	54							
8	8	14	14	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	55							
