mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								Minuetto	110.0	1.0	
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0							
1	1	2	2	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	1							
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	2							
1	1	5/2	5/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	3							
1	1	11/4	11/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	4							
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	5							
2	2	3	3	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	6							
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	7							
2	2	4	4	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	8							
2	2	19/4	19/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	9							
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	10							
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	11							
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	12							
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	13							
3	3	6	6	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	14							
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	15							
3	3	7	7	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	16							
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	17							
3	3	8	8	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	18							
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	19							
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	20							
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	21							
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	22							
4	4	9	9	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	23							
4	4	9	9	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	24		ornamentTrill					
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	25							
4	4	10	10	0.0	1/4	1/4	Chord	3/4	1	1	0	grace4	1/4	1	26							
4	4	10	10	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	27							
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	28							
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	29							
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	30							
5	5	12	12	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	31							
5	5	27/2	27/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	32							
5	5	55/4	55/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	33							
5	5	14	14	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	34							
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	35							
5	5	29/2	29/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	36							
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	37							
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	38							
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	39							
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	40							
6	6	15	15	0.0	0	0	Chord	3/4	1	1	0	grace4	1/4	1	41							
6	6	15	15	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	42		ornamentTrill					
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	43							
6	6	15	15	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	44							
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	45							
7	7	18	18	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	46							
7	7	73/4	73/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	47							
7	7	37/2	37/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	48							
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	49							
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	50							
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	51							
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	52							
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	53							
7	7	18	18	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	54							
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	55							
8	8	21	21	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	56							
8	8	21	21	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	57							
8	8	87/4	87/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	58							
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	59							
8	8	21	21	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	60							
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	61							
8	8	23	23	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	62							
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	63							
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0					p						
9	9	24	24	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	64							
9	9	97/4	97/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	65							
9	9	49/2	49/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	66							
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	67							
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	68							
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	69							
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	70							
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	71							
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	72							
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	73							
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	74							
10	10	27	27	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	75							
10	10	109/4	109/4	0.75	1/16	1/16	Chord	3/4	1	1	3/16		1/8	3/2	76							
10	10	28	28	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	77							
10	10	113/4	113/4	0.75	5/16	5/16	Chord	3/4	1	1	3/16		1/8	3/2	78							
10	10	29	29	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	79							
10	10	117/4	117/4	0.75	9/16	9/16	Chord	3/4	1	1	3/16		1/8	3/2	80							
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	81							
11	11	30	30	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	82							
11	11	121/4	121/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	83							
11	11	61/2	61/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	84							
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	85							
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	86							
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	87							
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	88							
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	89							
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	90							
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	91							
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	92							
12	12	33	33	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	93							
12	12	133/4	133/4	0.75	1/16	1/16	Chord	3/4	1	1	3/16		1/8	3/2	94							
12	12	34	34	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	95							
12	12	137/4	137/4	0.75	5/16	5/16	Chord	3/4	1	1	3/16		1/8	3/2	96							
12	12	35	35	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	97							
12	12	141/4	141/4	0.75	9/16	9/16	Chord	3/4	1	1	3/16		1/8	3/2	98							
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	99							
13	13	36	36	0.0	0	0	Dynamic	3/4	1	1	0					f						
13	13	36	36	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	100							
13	13	147/4	147/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	101							
13	13	295/8	295/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	102							
13	13	37	37	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	103							
13	13	36	36	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	104							
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	105							
13	13	38	38	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	106							
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	107							
14	14	39	39	0.0	0	0	Dynamic	3/4	1	1	0					p						
14	14	39	39	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	108							
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	109							
14	14	40	40	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	110							
14	14	163/4	163/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	111							
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	112							
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	113							
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	114							
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	115							
15	15	42	42	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	116							
15	15	171/4	171/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	117							
15	15	343/8	343/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	118							
15	15	43	43	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	119							
15	15	42	42	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	120							
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	121							
15	15	44	44	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	122							
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	123							
16	16	45	45	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	124							
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	125							
16	16	46	46	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	126							
16	16	187/4	187/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	127							
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	128							
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	129							
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	130							
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	131							
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	132							
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	133							
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	134							
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	135							
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	136							
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	137							
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	138							
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	139							
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	140							
18	18	51	51	0.0	0	0	Chord	3/4	1	1	0	grace4	1/4	1	141							
18	18	51	51	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	142							
18	18	51	51	0.0	0	0	Chord	3/4	2	1	0	grace4	1/4	1	143							
18	18	51	51	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	144							
19	1	54	54	0.0	0	0	StaffText	3/4	1	1	0							<b>Var. 1</b>				
19	1	54	54	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	145							
19	1	163/3	163/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	146							
19	1	164/3	164/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	147							
19	1	55	55	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	148							
19	1	166/3	166/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	149							
19	1	167/3	167/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	150							
19	1	56	56	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	151							
19	1	169/3	169/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	152							
19	1	170/3	170/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	153							
19	1	54	54	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	154							
20	2	57	57	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	155							
20	2	172/3	172/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	156							
20	2	173/3	173/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	157							
20	2	58	58	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	158							
20	2	175/3	175/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	159							
20	2	176/3	176/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	160							
20	2	59	59	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	161							
20	2	178/3	178/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	162							
20	2	179/3	179/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	163							
20	2	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	164							
20	2	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	165							
20	2	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	166							
21	3	60	60	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	167							
21	3	181/3	181/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	168							
21	3	182/3	182/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	169							
21	3	61	61	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	170							
21	3	184/3	184/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	171							
21	3	185/3	185/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	172							
21	3	62	62	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	173							
21	3	187/3	187/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	174							
21	3	188/3	188/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	175							
21	3	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	176							
21	3	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	177							
21	3	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	178							
22	4	63	63	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	179							
22	4	190/3	190/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	180							
22	4	191/3	191/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	181							
22	4	64	64	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	182							
22	4	193/3	193/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	183							
22	4	194/3	194/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	184							
22	4	65	65	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	185							
22	4	196/3	196/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	186							
22	4	197/3	197/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	187							
22	4	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	188							
22	4	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	189							
22	4	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	190							
23	5	66	66	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	191							
23	5	199/3	199/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	192							
23	5	200/3	200/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	193							
23	5	67	67	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	194							
23	5	202/3	202/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	195							
