mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Vibrato:guitarVibratoWide
6	6	15	15	0.0	0	0	Chord	3/4	1	1	0	appoggiatura	1/8	1	80									
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	81									
6	6	31/2	31/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	82									
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	83									
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	84									
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	85	ornamentTrill								
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	86									
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	87									
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	88									
6	6	15	15	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	89									
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	90									
6	6	65/4	65/4	0.25	5/16	5/16	Chord	3/4	2	2	1/16		1/16	1	91									
6	6	33/2	33/2	0.25	3/8	3/8	Chord	3/4	2	2	1/16		1/16	1	92									
6	6	67/4	67/4	0.25	7/16	7/16	Chord	3/4	2	2	1/16		1/16	1	93									
6	6	69/4	69/4	0.25	9/16	9/16	Chord	3/4	2	2	1/16		1/16	1	94									
6	6	35/2	35/2	0.25	5/8	5/8	Chord	3/4	2	2	1/16		1/16	1	95									
6	6	71/4	71/4	0.25	11/16	11/16	Chord	3/4	2	2	1/16		1/16	1	96									
7	7	18	18	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	97									
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	98									
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	99									
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	100									
7	7	73/4	73/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	101									
7	7	37/2	37/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	102									
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	103									
