mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Vibrato:guitarVibratoWide
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	279									
16	16	45	45	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	280									
16	16	181/4	181/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	281									
16	16	91/2	91/2	0.0	1/8	1/8	Chord	3/4	1	1	0	grace16	1/16	1	282									
16	16	91/2	91/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	283									
16	16	183/4	183/4	0.0	3/16	3/16	Chord	3/4	1	1	0	grace16	1/16	1	284									
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	285									
16	16	46	46	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	286									
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	287									
16	16	45	45	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	288									
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	289									
16	16	46	46	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	290									
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	291									
16	16	47	47	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	292									
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	293									
16	16	45	45	0.75	0	0	Chord	3/4	2	2	3/16		1/8	3/2	294									
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	2	2	1/16		1/16	1	295									
16	16	46	46	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	296									
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	297									
16	16	47	47	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	298									
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	299									
17	17	48	48	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	300									
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	301									
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	302									
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	303									
17	17	193/4	193/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	304									
17	17	97/2	97/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	305									
17	17	195/4	195/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	306									
17	17	49	49	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	307									
17	17	197/4	197/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	308									
17	17	99/2	99/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	309									
17	17	199/4	199/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	310									
17	17	50	50	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	311									
17	17	201/4	201/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	312									
17	17	101/2	101/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	313									
17	17	203/4	203/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	314									
17	17	48	48	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	315									
18	18	51	51	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	316									
18	18	207/4	207/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	317									
18	18	52	52	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	318									
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	319									
