mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=126	126.0	𝅘𝅥	126.0	0.0
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0		ornamentTrill						
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1								
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	2								
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	3								
1	1	0	0	0.0	0	0	Dynamic	3/4	2	1	0					p							
1	1	0	0	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	4								
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	5								
1	1	1	1	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	6								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	7								
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	8								
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	9		articStaccatoAbove						
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	10		articStaccatoAbove						
2	2	4	4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	11		articStaccatoAbove						
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	12		articStaccatoAbove						
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	13		articStaccatoAbove						
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	14		articStaccatoAbove						
2	2	3	3	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	15								
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	16								
2	2	4	4	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	17								
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	18								
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	19								
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	20								
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	21		ornamentTrill						
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	22								
3	3	6	6	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	23								
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	24								
3	3	6	6	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	25								
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	26								
3	3	7	7	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	27								
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	28								
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	29								
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	30								
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	31								
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	32								
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	33								
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	34								
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	35								
4	4	9	9	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	36								
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	37								
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	38								
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	39								
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	40								
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	41								
5	5	12	12	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	42		articStaccatissimoAbove						
5	5	37/3	37/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	43		articStaccatissimoAbove						
5	5	38/3	38/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	44		articStaccatissimoAbove						
5	5	13	13	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	45								
5	5	40/3	40/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	46								
5	5	41/3	41/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	47								
5	5	14	14	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	48								
5	5	43/3	43/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	49								
5	5	44/3	44/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	50								
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	51								
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	52								
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	53								
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	54								
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	55								
6	6	15	15	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	56								
6	6	46/3	46/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	57								
6	6	47/3	47/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	58								
6	6	16	16	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	59								
6	6	49/3	49/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	60								
6	6	50/3	50/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	61								
6	6	17	17	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	62								
6	6	52/3	52/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	63								
6	6	53/3	53/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	64								
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	65								
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	66								
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	67								
6	6	15	15	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	68								
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	69								
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	70								
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	71								
7	7	37/2	37/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	72								
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	73								
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	74								
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	75		ornamentTrill						
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	76								
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	77								
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	78								
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	79								
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	80								
8	8	21	21	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	81								
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	82								
8	8	22	22	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	83								
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	84								
8	8	23	23	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	85								
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	86								
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	87								
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	88								
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	89								
9	9	24	24	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	90								
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	91								
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	92								
9	9	24	24	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	93								
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	94								
9	9	25	25	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	95								
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	96								
9	9	26	26	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	97								
