mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0						𝅘𝅥.=66	99.0	𝅘𝅥.	66.0	0.0
1	1	1/6	1/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	0						
1	1	1/3	1/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	1						
1	1	2/3	2/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	2						
1	1	5/6	5/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	3						
1	1	7/6	7/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	4						
1	1	4/3	4/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	5						
1	1	0	0	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	6						
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	7						
1	1	1	1	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	8						
2	2	5/3	5/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	9						
2	2	11/6	11/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	10						
2	2	13/6	13/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	11						
2	2	7/3	7/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	12						
2	2	8/3	8/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	13						
2	2	17/6	17/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	14						
2	2	3/2	3/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	15						
2	2	2	2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	16						
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	17						
3	3	19/6	19/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	18						
3	3	10/3	10/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	19						
3	3	11/3	11/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	20						
3	3	23/6	23/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	21						
3	3	25/6	25/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	22						
3	3	13/3	13/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	23						
3	3	3	3	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	24						
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	25						
3	3	4	4	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	26						
4	4	14/3	14/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	27						
4	4	29/6	29/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	28						
4	4	31/6	31/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	29						
4	4	16/3	16/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	30						
4	4	17/3	17/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	31						
4	4	35/6	35/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	32						
4	4	9/2	9/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	33						
4	4	5	5	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	34						
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	35						
5	5	6	6	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	36						
5	5	13/2	13/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	37						
5	5	20/3	20/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	38						
5	5	41/6	41/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	39						
5	5	7	7	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	40						
5	5	43/6	43/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	41						
5	5	22/3	22/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	42						
5	5	6	6	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	43						
5	5	37/6	37/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	44						
5	5	19/3	19/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	45						
5	5	13/2	13/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	46						
6	6	15/2	15/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	47						
6	6	8	8	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	48						
6	6	49/6	49/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	49						
6	6	25/3	25/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	50						
6	6	17/2	17/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	51						
6	6	26/3	26/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	52						
6	6	53/6	53/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	53						
6	6	15/2	15/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	54						
6	6	23/3	23/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	55						
6	6	47/6	47/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	56						
6	6	8	8	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	57						
7	7	9	9	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	58						
7	7	55/6	55/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	59						
7	7	28/3	28/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	60						
7	7	19/2	19/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	61						
7	7	29/3	29/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	62						
7	7	59/6	59/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	63						
7	7	10	10	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	64						
7	7	61/6	61/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	65						
