piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	P86 (composer)	extension	originalFormat	musicbrainz	viaf	imslp	pdf	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
wa01op05no1a_Allegretto	1: 2/4	1: -2	84	82	164.0	168	164	328.0		313.0	896	638	0	0	120	Bb	2.3.0	Adrian Nagel (2.1.1.), Ehsan Mohagheghi Fard (2.3.0)	AN, EF	..	1765	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian) (lists only publication date)	Johann Christian Bach	Keyboard Sonata in B-flat major, W.A 1	1	Allegretto	op.5					2020-04-22	3.02	Microsoft Windows			Keyboard Sonata in B-flat major, W.A 1	1. Allegretto	Johann Christian Bach	3.6.2	2.5.3	MS3	MS3/wa01op05no1a_Allegretto.mscx	False	39-86 (Eb2-D6)	Q106641		musicxml	https://musicbrainz.org/work/89edcc1a-3519-40d1-a49d-42b82435fff5	https://viaf.org/viaf/177812565/	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian)	https://imslp.org/wiki/Special:ReverseLookup/284471	59-86 (B3-D6)	Piano	39-69 (Eb2-A4)	Piano
wa01op05no1b_Tempo_di_Minuetto	1: 3/4	1: -2	74	74	222.0	148	148	444.0		445.33	694	464	0	0	149	Bb	2.3.0	Adrian Nagel (2.1.1), Ehsan Mohagheghi Fard (2.3.0)	AN, EF	..	1765	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian) (lists only publication date)	Johann Christian Bach	Keyboard Sonata in B-flat major, W.A 1	2	Tempo di minuetto	op.5					2020-04-22	3.02	Microsoft Windows			Keyboard Sonata in B-flat major, W.A 1	2. Tempo di minuetto	Johann Christian Bach	3.6.2	2.5.3	MS3	MS3/wa01op05no1b_Tempo_di_Minuetto.mscx	False	38-86 (D2-D6)	Q106641			https://musicbrainz.org/work/52888da6-abdd-4696-bb8a-37d38a113d37	https://viaf.org/viaf/177812565/	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian)	https://imslp.org/wiki/Special:ReverseLookup/284471	48-86 (C3-D6)	Piano	38-72 (D2-C5)	Piano
wa02op05no2a_Allegro_di_molto	1: 4/4	1: 2	111	111	444.0	222	222	888.0		1043.0	1799	1048	0	0	262	D	2.3.0	Adrian Nagel (2.1.1), Amelia Brey (2.3.0)	AB, AN	..	1765	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian) (lists only publication date)	Johann Christian Bach	Keyboard Sonata in D major, W.A 2	1	Allegro di molto	op.5					2020-04-22	3.02	Microsoft Windows			Keyboard Sonata in D major, W.A 2	1. Allegro di molto	Johann Christian Bach	3.6.2	2.5.3	MS3	MS3/wa02op05no2a_Allegro_di_molto.mscx	False	35-88 (B1-E6)	Q106641			https://musicbrainz.org/work/8b4b4a8c-8463-3ce6-8851-db10cf0501a2	https://viaf.org/viaf/177812565/	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian)	https://imslp.org/wiki/Special:ReverseLookup/284471	54-88 (F#3-E6)	Piano	35-71 (B1-B4)	Piano
wa02op05no2b_Andante_di_molto	1: 2/4	1: 1	52	50	100.0	104	100	200.0		226.0	646	398	0	0	118	G	2.3.0	Adrian Nagel (2.1.1), Ehsan Mohagheghi Fard (2.3.0)	AN, EF	..	1765	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian) (lists only publication date)	Johann Christian Bach	Keyboard Sonata in D major, W.A 2	2	Andante di molto	op.5					2020-04-29	3.02	Microsoft Windows			Keyboard Sonata in D major, W.A 2	2. Andante di molto	Johann Christian Bach	3.6.2	2.5.3	MS3	MS3/wa02op05no2b_Andante_di_molto.mscx	False	33-86 (A1-D6)	Q106641			https://musicbrainz.org/work/abeecfd0-129a-3889-89f3-9049e646d59c	https://viaf.org/viaf/177812565/	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian)	https://imslp.org/wiki/Special:ReverseLookup/284471	62-86 (D4-D6)	Piano	33-69 (A1-A4)	Piano
wa02op05no2c_Minuetto	1: 3/4	1: 2	28	28	84.0	56	56	168.0		201.25	270	151	0	0	59	D	2.3.0	Adrian Nagel (2.1.1.), Ehsan Mohagheghi Fard (2.3.0)	AN, EF	..	1765	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian) (lists only publication date)	Johann Christian Bach	Keyboard Sonata in D major, W.A 2	3	Minuetto	op.5					2020-04-29	3.02	Microsoft Windows			Keyboard Sonata in D major, W.A 2	3. Minuetto	Johann Christian Bach	3.6.2	2.5.3	MS3	MS3/wa02op05no2c_Minuetto.mscx	False	38-83 (D2-B5)	Q106641			https://musicbrainz.org/work/bd70cb27-30a6-3edf-a03c-2fbbae96d85f	https://viaf.org/viaf/177812565/	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian)	https://imslp.org/wiki/Special:ReverseLookup/284471	57-83 (A3-B5)	Piano	38-62 (D2-D4)	Piano
wa02op05no2d_Minore	1: 3/4	1: -1	24	24	72.0	48	48	144.0		164.0	255	154	0	0	39	d	2.3.0	Adrian Nagel (2.1.1), Ehsan Mohagheghi Fard (2.3.0)	AN, EF	..	1765	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian) (lists only publication date)	Johann Christian Bach	Keyboard Sonata in D major, W.A 2	3	Minuetto	op.5					2020-04-29	3.02	Microsoft Windows			Keyboard Sonata in D major, W.A 2	3. Minuetto: Minore	Johann Christian Bach	3.6.2	2.5.3	MS3	MS3/wa02op05no2d_Minore.mscx	False	38-84 (D2-C6)	Q106641			https://musicbrainz.org/work/bd70cb27-30a6-3edf-a03c-2fbbae96d85f	https://viaf.org/viaf/177812565/	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian)	https://imslp.org/wiki/Special:ReverseLookup/284471	61-84 (C#4-C6)	Piano	38-62 (D2-D4)	Piano
wa03op05no3a_Allegro	1: 4/4	1: 1	83	81	325.0	166	162	650.0		605.5	1371	1018	0	0	191	G	2.3.0	Adrian Nagel (2.1.1), Davor Krkljus (2.3.0)	DK, AN	..	1765	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian) (lists only publication date)	Johann Christian Bach	Keyboard Sonata in G major, W.A 3	1	Allegro	op.5					2020-04-29	3.02	Microsoft Windows			Keyboard Sonata in G major, W.A 3	1. Allegro	Johann Christian Bach	3.6.2	2.5.3	MS3	MS3/wa03op05no3a_Allegro.mscx	False	35-88 (B1-E6)	Q106641			https://musicbrainz.org/work/5c32db9e-a26a-3672-af0a-3af943fa09a6	https://viaf.org/viaf/177812565/	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian)	https://imslp.org/wiki/Special:ReverseLookup/284471	54-88 (F#3-E6)	Piano	35-78 (B1-F#5)	Piano
wa03op05no3b_Allegretto	1: 2/4	1: 1	80	80	160.0	160	160	320.0		317.58	1033	731	0	0	127	G	2.3.0	Adrian Nagel (2.1.1), Ehsan Mohagheghi Fard (2.3.0)	AN, EF	..	1765	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian) (lists only publication date)	Johann Christian Bach	Keyboard Sonata in G major, W.A 3	2	Allegretto	op.5					2020-04-30	3.02	Microsoft Windows			Keyboard Sonata in G major, W.A 3	2. Allegretto	Johann Christian Bach	3.6.2	2.5.3	MS3	MS3/wa03op05no3b_Allegretto.mscx	False	36-84 (C2-C6)	Q106641			https://musicbrainz.org/work/c6c3f763-9340-3628-8c7e-cea508c78317	https://viaf.org/viaf/177812565/	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian)	https://imslp.org/wiki/Special:ReverseLookup/284471	55-84 (G3-C6)	Piano	36-62 (C2-D4)	Piano
wa04op05no4a_Allegro	1: 4/4	1: -3	117	117	468.0	234	234	936.0		968.0	1727	1232	0	0	197	Eb	2.3.0	Adrian Nagel (2.1.1), Davor Krkljus (2.3.0)	DK, AN	..	1765	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian) (lists only publication date)	Johann Christian Bach	Keyboard Sonata in E-flat major, W.A 4	1	Allegro	op.5					2020-04-30	3.02	Microsoft Windows			Keyboard Sonata in E-flat major, W.A 4	1. Allegro	Johann Christian Bach	3.6.2	2.5.3	MS3	MS3/wa04op05no4a_Allegro.mscx	False	32-87 (Ab1-Eb6)	Q106641			https://musicbrainz.org/work/c30f0740-f172-3338-b1bc-6efbdcc09b39	https://viaf.org/viaf/177812565/	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian)	https://imslp.org/wiki/Special:ReverseLookup/284471	50-87 (D3-Eb6)	Piano	32-80 (Ab1-Ab5)	Piano
wa04op05no4b_Rondeaux	1: 3/4	1: -3	69	69	207.0	138	138	414.0		419.25	811	589	0	0	114	Eb	2.3.0	Adrian Nagel (2.1.1), Davor Krkljus (2.3.0)	DK, AN	..	1765	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian) (lists only publication date)	Johann Christian Bach	Keyboard Sonata in E-flat major, W.A 4	2	Rondeaux	op.5					2020-04-30	3.02	Microsoft Windows			Keyboard Sonata in E-flat major, W.A 4	2. Rondeaux	Johann Christian Bach	3.6.2	2.5.3	MS3	MS3/wa04op05no4b_Rondeaux.mscx	False	38-87 (D2-Eb6)	Q106641			https://musicbrainz.org/work/341b752e-a999-3346-ba0d-88aeb6812234	https://viaf.org/viaf/177812565/	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian)	https://imslp.org/wiki/Special:ReverseLookup/284471	58-87 (Bb3-Eb6)	Piano	38-84 (D2-C6)	Piano
