mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0.0	3/4	2	1		c.i{	c	i		i		i						{	m	1	1	0, -3, 1		0	0
2	2	0	0.0	3/4	2	1		#viio65(2)	c	i		#viio65(2)		#vii	o	65	2				o7	1	1	2, -1, -4, 0		5	2
2	2	1/4	0.25	3/4	2	1		#viio65	c	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
3	3	0	0.0	3/4	2	1		i6(9)	c	i		i6(9)		i		6	9				m	1	1	-3, 1, 0	2	0	-3
3	3	1/4	0.25	3/4	2	1		i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	4	0	0.0	3/4	2	1		iio6(2)	c	i		iio6(2)		ii	o	6	2				o	1	1	-1, -4, -3		2	-1
4	4	1/8	0.125	3/4	2	1		iio6	c	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
5	5	0	0.0	3/4	2	1		V(11)	c	i		V(11)		V			11				M	1	1	1, 5, 2	0	1	1
5	5	1/4	0.25	3/4	2	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	1/2	0.5	3/4	2	1		VI|DC	c	i		VI		VI					DC		M	1	1	-4, 0, -3		-4	-4
5	5	5/8	0.625	3/4	2	1		i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
6	6	0	0.0	3/4	2	1		iv	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
6	6	1/8	0.125	3/4	2	1		iio6	c	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
6	6	1/4	0.25	3/4	2	1		V(64)	c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
6	6	1/2	0.5	3/4	2	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	7	0	0.0	3/4	2	1		i|PAC}{	c	i		i		i					PAC	}{	m	1	1	0, -3, 1		0	0
8	8	0	0.0	3/4	2	1		III.V6(9)	c	III		V6(9)		V		6	9				M	1	0	5, 2, 1	3	1	5
8	8	1/4	0.25	3/4	2	1		V6	c	III		V6		V		6					M	1	0	5, 2, 1		1	5
8	8	1/2	0.5	3/4	2	1		V7	c	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
9	9	0	0.0	3/4	2	1		I(119)	c	III		I(119)		I			119				M	1	0	0, 4, 1	-1, 2	0	0
9	9	1/8	0.125	3/4	2	1		I	c	III		I		I							M	1	0	0, 4, 1		0	0
9	9	1/2	0.5	3/4	2	1		V/IV	c	III		V/IV		V				IV			M	1	0	0, 4, 1		0	0
10	10	0	0.0	3/4	2	1		IV(^9^7)	c	III		IV(^9^7)		IV			^9^7				M	1	0	-1, 3, 0	1, 4	-1	-1
10	10	1/8	0.125	3/4	2	1		IV	c	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
11	11	0	0.0	3/4	2	1		I(1311)}	c	III		I(1311)		I			1311			}	M	1	0	0, 4, 1	3, -1	0	0
11	11	1/4	0.25	3/4	2	1		I|PC	c	III		I		I					PC		M	1	0	0, 4, 1		0	0
11	11	5/8	0.625	3/4	2	1		{	c	III										{		1	0				
12	12	0	0.0	3/4	2	1		ii6(2)	c	III		ii6(2)		ii		6	2				m	1	0	-1, 3, 4		2	-1
12	12	1/4	0.25	3/4	2	1		ii6	c	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
13	13	0	0.0	3/4	2	1		I6(2)	c	III		I6(2)		I		6	2				M	1	0	4, 1, 2		0	4
13	13	1/4	0.25	3/4	2	1		I6	c	III		I6		I		6					M	1	0	4, 1, 0		0	4
14	14	0	0.0	3/4	2	1		ii(^7)	c	III		ii(^7)		ii			^7				m	1	0	2, -1, 3	0	2	2
14	14	1/4	0.25	3/4	2	1		ii	c	III		ii		ii							m	1	0	2, -1, 3		2	2
14	14	1/2	0.5	3/4	2	1		viio64	c	III		viio64		vii	o	64					o	1	0	-1, 5, 2		5	-1
14	14	5/8	0.625	3/4	2	1		I6	c	III		I6		I		6					M	1	0	4, 1, 0		0	4
15	15	0	0.0	3/4	2	1		ii7(4)	c	III		ii7(4)		ii		7	4				mm7	1	0	2, 1, 3, 0		2	2
15	15	1/4	0.25	3/4	2	1		V7	c	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
15	15	1/2	0.5	3/4	2	1		I	c	III		I		I							M	1	0	0, 4, 1		0	0
15	15	5/8	0.625	3/4	2	1		V65/VI	c	III		V65/VI		V		65		VI			Mm7	1	0	8, 5, 2, 4		4	8
16	16	0	0.0	3/4	2	1		IVM7	c	III		IVM7		IV	M	7					MM7	1	0	-1, 3, 0, 4		-1	-1
16	16	1/8	0.125	3/4	2	1		ii6	c	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
16	16	1/4	0.25	3/4	2	1		V(64)	c	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
16	16	1/2	0.5	3/4	2	1		V	c	III		V		V							M	1	0	1, 5, 2		1	1
17	17	0	0.0	3/4	2	1		I|PAC}{	c	III		I		I					PAC	}{	M	1	0	0, 4, 1		0	0
17	17	1/2	0.5	3/4	2	1		V7	c	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
18	18	0	0.0	3/4	2	1		I	c	III		I		I							M	1	0	0, 4, 1		0	0
18	18	1/2	0.5	3/4	2	1		V7	c	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
19	19	0	0.0	3/4	2	1		I	c	III		I		I							M	1	0	0, 4, 1		0	0
19	19	1/2	0.5	3/4	2	1		#viio7/ii	c	III		#viio7/ii		#vii	o	7		ii			o7	1	0	7, 4, 1, -2		7	7
20	20	0	0.0	3/4	2	1		ii	c	III		ii		ii							m	1	0	2, -1, 3		2	2
20	20	1/4	0.25	3/4	2	1		V(64)	c	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
20	20	1/2	0.5	3/4	2	1		V7	c	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
21	21	0	0.0	3/4	2	1		I|PAC}{	c	III		I		I					PAC	}{	M	1	0	0, 4, 1		0	0
21	21	1/2	0.5	3/4	2	1		V7	c	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
