mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/4	4/4	1	1		.G.V		G	I		V	V							M	0	0	1, 5, 2		1	1
2	1	0	0	4/4	1	1		I		G	I		I	I							M	0	0	0, 4, 1		0	0
3	2	0	0	4/4	1	1		IV64(11)		G	I		IV64(11)	IV		64	11				M	0	0	0, -1, 3	5	-1	0
3	2	1/2	1/2	4/4	1	1		IV64		G	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
4	3	0	0	4/4	1	1		V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
5	4	0	0	4/4	1	1		I(11)		G	I		I(11)	I			11				M	0	0	0, 4, 1	-1	0	0
5	4	1/2	1/2	4/4	1	1		I\\		G	I		I	I						\\	M	0	0	0, 4, 1		0	0
6	5	0	0	4/4	1	1		I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
7	6	0	0	4/4	1	1		IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
8	7	0	0	4/4	1	1		V(64)		G	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
8	7	1/2	1/2	4/4	1	1		V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	0	0	4/4	1	1		I\\		G	I		I	I						\\	M	0	0	0, 4, 1		0	0
9	8	3/4	3/4	4/4	1	1		V64		G	I		V64	V		64					M	0	0	2, 1, 5		1	2
10	9	0	0	4/4	1	1		I		G	I		I	I							M	0	0	0, 4, 1		0	0
11	10	0	0	4/4	1	1		IV64(11)		G	I		IV64(11)	IV		64	11				M	0	0	0, -1, 3	5	-1	0
11	10	1/2	1/2	4/4	1	1		IV64		G	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
12	11	0	0	4/4	1	1		V.V2		G	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
13	12	0	0	4/4	1	1		I6		G	V		I6	I		6					M	0	0	4, 1, 0		0	4
14	13	0	0	4/4	1	1		viio6/V		G	V		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
15	14	0	0	4/4	1	1		V65		G	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
15	14	1/2	1/2	4/4	1	1		I(11)		G	V		I(11)	I			11				M	0	0	0, 4, 1	-1	0	0
15	14	3/4	3/4	4/4	1	1		I		G	V		I	I							M	0	0	0, 4, 1		0	0
16	15	0	0	4/4	1	1		ii6		G	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
16	15	3/4	3/4	4/4	1	1		viio/V		G	V		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
17	16	0	0	4/4	1	1		V\\		G	V		V	V						\\	M	0	0	1, 5, 2		1	1
17	16	1/2	1/2	4/4	1	1		V64		G	V		V64	V		64					M	0	0	2, 1, 5		1	2
17	16	5/8	5/8	4/4	1	1		I		G	V		I	I							M	0	0	0, 4, 1		0	0
17	16	3/4	3/4	4/4	1	1		V6		G	V		V6	V		6					M	0	0	5, 2, 1		1	5
17	16	7/8	7/8	4/4	1	1		viio6(2)/V		G	V		viio6(2)/V	vii	o	6	2	V			o	0	0	3, 0, 1		6	3
18	17	0	0	4/4	1	1		V		G	V		V	V							M	0	0	1, 5, 2		1	1
18	17	3/4	3/4	4/4	1	1		V7		G	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	18	0	0	4/4	1	1		I		G	V		I	I							M	0	0	0, 4, 1		0	0
19	18	3/8	3/8	4/4	1	1		viio6(2)		G	V		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
