mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
44	42	165/2	0.5	0	0	2/4	2	1	IV6		G	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
44	42	83	0.5	1/8	1/8	2/4	2	1	I64		G	I		I64		I		64					M	0	0	1, 0, 4		0	1
44	42	167/2	0.5	1/4	1/4	2/4	2	1	IV		G	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
44	42	84	0.5	3/8	3/8	2/4	2	1	I6		G	I		I6		I		6					M	0	0	4, 1, 0		0	4
45	43	169/2	0.5	0	0	2/4	2	1	viio6		G	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
45	43	85	0.5	1/8	1/8	2/4	2	1	I		G	I		I		I							M	0	0	0, 4, 1		0	0
45	43	171/2	0.5	1/4	1/4	2/4	2	1	V6}		G	I		V6		V		6				}	M	0	0	5, 2, 1		1	5
45	43	86	0.5	3/8	3/8	2/4	2	1	V7		G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
45	43	345/4	0.0	7/16	7/16	2/4	2	1	{		G	I										{		0	0				
46	44	173/2	3.5	0	0	2/4	2	1	I		G	I		I		I							M	0	0	0, 4, 1		0	0
47	45	90	0.5	3/8	3/8	2/4	2	1	I6		G	I		I6		I		6					M	0	0	4, 1, 0		0	4
48	46	181/2	0.5	0	0	2/4	2	1	IV		G	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
48	46	91	0.5	1/8	1/8	2/4	2	1	ii		G	I		ii		ii							m	0	0	2, -1, 3		2	2
48	46	183/2	0.5	1/4	1/4	2/4	2	1	V(64)		G	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
48	46	92	0.5	3/8	3/8	2/4	2	1	V		G	I		V		V							M	0	0	1, 5, 2		1	1
49	47	185/2	3.5	0	0	2/4	2	1	I|IAC		G	I		I		I					IAC		M	0	0	0, 4, 1		0	0
50	48	96	0.5	3/8	3/8	2/4	2	1	I6		G	I		I6		I		6					M	0	0	4, 1, 0		0	4
51	49	193/2	1.0	0	0	2/4	2	1	IV		G	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
51	49	195/2	0.5	1/4	1/4	2/4	2	1	V(64)		G	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
51	49	98	0.5	3/8	3/8	2/4	2	1	V		G	I		V		V							M	0	0	1, 5, 2		1	1
52	50	197/2	1.5	0	0	2/4	2	1	I|PAC}		G	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
