mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	1	1		.G.I		G	I		I	I							M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	2/4	1	1		V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
2	2	0	0	2/4	1	1		IV6		G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
2	2	3/8	3/8	2/4	1	1		I64	iii6	G	I		I64	I		64					M	0	0	1, 0, 4		0	1
3	3	0	0	2/4	1	1		IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	3	1/4	1/4	2/4	1	1		I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	0	0	2/4	1	1		V43		G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	1/4	1/4	2/4	1	1		I\\		G	I		I	I						\\	M	0	0	0, 4, 1		0	0
5	5	0	0	2/4	1	1		ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
6	6	0	0	2/4	1	1		V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
6	6	1/4	1/4	2/4	1	1		viio6		G	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
6	6	3/8	3/8	2/4	1	1		vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
7	7	0	0	2/4	1	1		V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
7	7	1/8	1/8	2/4	1	1		V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	1/4	1/4	2/4	1	1		viio		G	I		viio	vii	o						o	0	0	5, 2, -1		5	5
7	7	3/8	3/8	2/4	1	1		I		G	I		I	I							M	0	0	0, 4, 1		0	0
8	8	0	0	2/4	1	1		V\\		G	I		V	V						\\	M	0	0	1, 5, 2		1	1
10	10	0	0	2/4	1	1		viio6(2)/V		G	I		viio6(2)/V	vii	o	6	2	V			o	0	0	3, 0, 1		6	3
10	10	1/4	1/4	2/4	1	1		viio6/V		G	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
11	11	0	0	2/4	1	1		V65		G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
