mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1		.E.I	E	I		I	I							M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	4/4	1	1		I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
1	1	1/2	1/2	4/4	1	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
2	2	1/4	1/4	4/4	1	1		I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	1/2	1/2	4/4	1	1		viio6	E	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
2	2	3/4	3/4	4/4	1	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
3	3	0	0	4/4	1	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
3	3	1/4	1/4	4/4	1	1		I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	1/2	1/2	4/4	1	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
4	4	1/4	1/4	4/4	1	1		I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	1/2	1/2	4/4	1	1		viio6	E	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
4	4	3/4	3/4	4/4	1	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
5	5	0	0	4/4	1	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
6	6	0	0	4/4	1	1		IV64	E	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
7	7	0	0	4/4	1	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
8	8	0	0	4/4	1	1		V43	E	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
8	8	1/8	1/8	4/4	1	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
8	8	1/4	1/4	4/4	1	1		viio	E	I		viio	vii	o						o	0	0	5, 2, -1		5	5
8	8	3/8	3/8	4/4	1	1		vi	E	I		vi	vi							m	0	0	3, 0, 4		3	3
8	8	1/2	1/2	4/4	1	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
8	8	5/8	5/8	4/4	1	1		IV	E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
8	8	3/4	3/4	4/4	1	1		iii	E	I		iii	iii							m	0	0	4, 1, 5		4	4
8	8	7/8	7/8	4/4	1	1		V43	E	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
9	9	0	0	4/4	1	1		I\\	E	I		I	I						\\	M	0	0	0, 4, 1		0	0
10	10	3/4	3/4	4/4	1	1		V(64)	E	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
11	11	0	0	4/4	1	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	1/2	1/2	4/4	1	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
12	12	1/2	1/2	4/4	1	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	3/4	3/4	4/4	1	1		V64	E	I		V64	V		64					M	0	0	2, 1, 5		1	2
13	13	0	0	4/4	1	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
13	13	1/4	1/4	4/4	1	1		I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
13	13	1/2	1/2	4/4	1	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
13	13	3/4	3/4	4/4	1	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	14	0	0	4/4	1	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
14	14	1/4	1/4	4/4	1	1		I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	14	1/2	1/2	4/4	1	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
14	14	3/4	3/4	4/4	1	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
