mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
2	1	0	0	12/8	2	1		c.i{	c	i		i		i						{	m	1	1	0, -3, 1		0	0
3	2	0	0	12/8	2	1		V43	c	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
4	3	0	0	12/8	2	1		i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	3	3/4	3/4	12/8	2	1		iio6	c	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
4	3	9/8	9/8	12/8	2	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	4	0	0	12/8	2	1		i[i|PAC}	c	i	i	i		i					PAC	}	m	1	1	0, -3, 1		0	0
5	4	9/8	9/8	12/8	2	1		{	c	i	i									{		1	1				
6	5	0	0	12/8	2	1		iv	c	i	i	iv		iv							m	1	1	-1, -4, 0		-1	-1
6	5	9/8	9/8	12/8	2	1		#viio	c	i	i	#viio		#vii	o						o	1	1	5, 2, -1		5	5
7	6	0	0	12/8	2	1		i	c	i	i	i		i							m	1	1	0, -3, 1		0	0
8	7	0	0	12/8	2	1		iv	c	i	i	iv		iv							m	1	1	-1, -4, 0		-1	-1
8	7	9/8	9/8	12/8	2	1		#viio	c	i	i	#viio		#vii	o						o	1	1	5, 2, -1		5	5
9	8	0	0	12/8	2	1		i]}	c	i	i	i		i						}	m	1	1	0, -3, 1		0	0
9	8	9/8	9/8	12/8	2	1		{	c	i										{		1	1				
10	9	0	0	12/8	2	1		V6	c	i		V6		V		6					M	1	1	5, 2, 1		1	5
10	9	3/8	3/8	12/8	2	1		v6	c	i		v6		v		6					m	1	1	-2, 2, 1		1	-2
10	9	3/4	3/4	12/8	2	1		IV6	c	i		IV6		IV		6					M	1	1	3, 0, -1		-1	3
10	9	9/8	9/8	12/8	2	1		It6	c	i		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4
11	10	0	0	12/8	2	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
11	10	3/4	3/4	12/8	2	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
12	11	0	0	12/8	2	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
12	11	3/4	3/4	12/8	2	1		i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
13	12	0	0	12/8	2	1		V65	c	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
13	12	9/8	9/8	12/8	2	1		viio7/V	c	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
14	13	0	0	12/8	2	1		V|HC}	c	i		V		V					HC	}	M	1	1	1, 5, 2		1	1
15	14	0	0	12/8	2	1		III.I{	c	III		I		I						{	M	1	0	0, 4, 1		0	0
17	16	0	0	12/8	2	1		V7	c	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
19	18	0	0	12/8	2	1		I	c	III		I		I							M	1	0	0, 4, 1		0	0
19	18	3/4	3/4	12/8	2	1		viio6	c	III		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
20	19	0	0	12/8	2	1		I6	c	III		I6		I		6					M	1	0	4, 1, 0		0	4
20	19	3/4	3/4	12/8	2	1		V65	c	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
21	20	0	0	12/8	2	1		I	c	III		I		I							M	1	0	0, 4, 1		0	0
21	20	3/4	3/4	12/8	2	1		viio6	c	III		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
22	21	0	0	12/8	2	1		I6	c	III		I6		I		6					M	1	0	4, 1, 0		0	4
22	21	3/4	3/4	12/8	2	1		V65	c	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
