mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	1	1		.Eb.I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	3/4	1	1		V64		Eb	I		V64		V		64					M	0	0	2, 1, 5		1	2
1	1	1/2	1/2	3/4	1	1		I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	2	0	0	3/4	1	1		IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
2	2	1/4	1/4	3/4	1	1		IV6		Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
2	2	1/2	1/2	3/4	1	1		IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
2	2	11/16	11/16	3/4	1	1		I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	0	0	3/4	1	1		ii		Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
3	3	1/4	1/4	3/4	1	1		vi64		Eb	I		vi64		vi		64					m	0	0	4, 3, 0		3	4
3	3	1/2	1/2	3/4	1	1		ii6		Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
4	4	0	0	3/4	1	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	1/4	1/4	3/4	1	1		viio		Eb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
4	4	1/2	1/2	3/4	1	1		V(64)		Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
4	4	11/16	11/16	3/4	1	1		viio64		Eb	I		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
5	5	0	0	3/4	1	1		I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	1/4	1/4	3/4	1	1		IVM7		Eb	I		IVM7		IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
5	5	1/2	1/2	3/4	1	1		I64		Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
6	6	0	0	3/4	1	1		vi	IV6	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
