mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	2/2	1	1		.c.i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
1	0	1/4	3/4	2/2	1	1		i	c	i		i	i							m	1	1	0, -3, 1		0	0
2	1	1/4	1/4	2/2	1	1		#viio64/iv	c	i		#viio64/iv	#vii	o	64		iv			o	1	1	-2, 4, 1		4	-2
2	1	1/2	1/2	2/2	1	1		iv6	c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
2	1	3/4	3/4	2/2	1	1		V7/iv	c	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
3	2	0	0	2/2	1	1		iv(9#7)	c	i		iv(9#7)	iv			9#7				m	1	1	-1, -4, 0	1, 4	-1	-1
3	2	1/4	1/4	2/2	1	1		iv	c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	2	3/4	3/4	2/2	1	1		V65	c	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
4	3	0	0	2/2	1	1		i	c	i		i	i							m	1	1	0, -3, 1		0	0
4	3	1/4	1/4	2/2	1	1		i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	1/2	1/2	2/2	1	1		iio6	c	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
4	3	3/4	3/4	2/2	1	1		i	c	i		i	i							m	1	1	0, -3, 1		0	0
5	4	0	0	2/2	1	1		V(64)	c	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
5	4	1/4	1/4	2/2	1	1		V\\	c	i		V	V						\\	M	1	1	1, 5, 2		1	1
5	4	1/2	1/2	2/2	1	1		i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	4	3/4	3/4	2/2	1	1		i	c	i		i	i							m	1	1	0, -3, 1		0	0
6	5	1/4	1/4	2/2	1	1		#viio64/iv	c	i		#viio64/iv	#vii	o	64		iv			o	1	1	-2, 4, 1		4	-2
6	5	1/2	1/2	2/2	1	1		iv6	c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
6	5	3/4	3/4	2/2	1	1		V7/iv	c	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
7	6	0	0	2/2	1	1		iv(9#7)	c	i		iv(9#7)	iv			9#7				m	1	1	-1, -4, 0	1, 4	-1	-1
7	6	1/4	1/4	2/2	1	1		iv	c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
7	6	1/2	1/2	2/2	1	1		#viio	c	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
8	7	0	0	2/2	1	1		i	c	i		i	i							m	1	1	0, -3, 1		0	0
8	7	1/4	1/4	2/2	1	1		iio6	c	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
8	7	1/2	1/2	2/2	1	1		V(64)	c	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
8	7	3/4	3/4	2/2	1	1		V	c	i		V	V							M	1	1	1, 5, 2		1	1
9	8	0	0	2/2	1	1		i\\	c	i		i	i						\\	m	1	1	0, -3, 1		0	0
10	8	1/4	3/4	2/2	1	1		III.V6	c	III		V6	V		6					M	1	0	5, 2, 1		1	5
11	9	0	0	2/2	1	1		I	c	III		I	I							M	1	0	0, 4, 1		0	0
11	9	1/2	1/2	2/2	1	1		I6	c	III		I6	I		6					M	1	0	4, 1, 0		0	4
11	9	3/4	3/4	2/2	1	1		ii6	c	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
12	10	0	0	2/2	1	1		V(64)	c	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
12	10	1/4	1/4	2/2	1	1		V	c	III		V	V							M	1	0	1, 5, 2		1	1
12	10	1/2	1/2	2/2	1	1		IV6	c	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
12	10	3/4	3/4	2/2	1	1		iii6	c	III		iii6	iii		6					m	1	0	1, 5, 4		4	1
