mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	4.0	0	1/4	2/4	2	1	E.I{	E	I		I	I						{	M	0	0	0, 4, 1		0	0
3	2	4	4	1.0	1/4	1/4	2/4	2	1	viio6	E	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
4	3	5	5	1.0	0	0	2/4	2	1	I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	3	6	6	1.0	1/4	1/4	2/4	2	1	ii65	E	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
5	4	7	7	1.0	0	0	2/4	2	1	V|HC}	E	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
5	4	8	8	4.0	1/4	1/4	2/4	2	1	I{	E	I		I	I						{	M	0	0	0, 4, 1		0	0
7	6	12	12	1.0	1/4	1/4	2/4	2	1	viio6	E	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
8	7	13	13	0.5	0	0	2/4	2	1	I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	7	27/2	27/2	0.5	1/8	1/8	2/4	2	1	ii6	E	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
8	7	14	14	0.5	1/4	1/4	2/4	2	1	V(64)	E	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
8	7	29/2	29/2	0.5	3/8	3/8	2/4	2	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
9	8	15	15	1.0	0	0	2/4	2	1	I|PAC}	E	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
10	8	16	16	1.0	0	1/4	2/4	2	1	V.IV{	E	V		IV	IV						{	M	0	0	-1, 3, 0		-1	-1
11	9	17	17	1.0	0	0	2/4	2	1	I	E	V		I	I							M	0	0	0, 4, 1		0	0
11	9	18	18	1.0	1/4	1/4	2/4	2	1	V7	E	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	10	19	19	0.5	0	0	2/4	2	1	I(94)	E	V		I(94)	I			94				M	0	0	0, -1, 1	2	0	0
12	10	39/2	39/2	0.5	1/8	1/8	2/4	2	1	I	E	V		I	I							M	0	0	0, 4, 1		0	0
12	10	20	20	1.0	1/4	1/4	2/4	2	1	IV	E	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
13	11	21	21	1.0	0	0	2/4	2	1	I	E	V		I	I							M	0	0	0, 4, 1		0	0
13	11	22	22	1.0	1/4	1/4	2/4	2	1	V7	E	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
