mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	3.0	0	0	3/4	2	1	Eb.I{		Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
2	2	3	3.0	0	0	3/4	2	1	IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
3	3	6	3.0	0	0	3/4	2	1	ii		Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
4	4	9	3.0	0	0	3/4	2	1	V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	12	3.0	0	0	3/4	2	1	I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	15	3.0	0	0	3/4	2	1	IV6		Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
7	7	18	1.0	0	0	3/4	2	1	I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	19	1.0	1/4	1/4	3/4	2	1	V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
7	7	20	1.0	1/2	1/2	3/4	2	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
8	8	21	1.0	0	0	3/4	2	1	V(64)}		Eb	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
8	8	22	2.0	1/4	1/4	3/4	2	1	V|HC		Eb	I		V		V					HC		M	0	0	1, 5, 2		1	1
9	9	24	3.0	0	0	3/4	2	1	I{		Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
10	10	27	3.0	0	0	3/4	2	1	IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
11	11	30	3.0	0	0	3/4	2	1	ii		Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
12	12	33	3.0	0	0	3/4	2	1	V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	36	3.0	0	0	3/4	2	1	I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
