mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
2	1	0	0	12/8	2	1	Bb.I{	Bb	I		I		I						{	M	0	0	0, 4, 1		0	0
3	2	3/4	3/4	12/8	2	1	V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	3	0	0	12/8	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
5	4	3/4	3/4	12/8	2	1	V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
6	5	0	0	12/8	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
6	5	3/4	3/4	12/8	2	1	IV	Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
7	6	0	0	12/8	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
7	6	3/4	3/4	12/8	2	1	ii64	Bb	I		ii64		ii		64					m	0	0	3, 2, -1		2	3
7	6	9/8	9/8	12/8	2	1	vii%7	Bb	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
8	7	0	0	12/8	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
8	7	3/4	3/4	12/8	2	1	IV	Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
9	8	0	0	12/8	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
9	8	3/4	3/4	12/8	2	1	ii	Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
9	8	9/8	9/8	12/8	2	1	vii%7	Bb	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
10	9	0	0	12/8	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
10	9	3/8	3/8	12/8	2	1	viio	Bb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
10	9	3/4	3/4	12/8	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
10	9	9/8	9/8	12/8	2	1	viio7/vi	Bb	I		viio7/vi		vii	o	7		vi			o7	0	0	1, -2, -5, -8		1	1
