mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/4	4/4	2	1		G.I[I{		G	I	I	I	I							{	M	0	0	0, 4, 1		0	0
4	3	0	0	4/4	2	1		IV(#2)		G	I		IV(#2)	IV			#2					M	0	0	-1, 8, 0		-1	-1
4	3	1/4	1/4	4/4	2	1		IV		G	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
5	4	0	0	4/4	2	1		I(6)		G	I		I(6)	I			6					M	0	0	0, 4, 3		0	0
5	4	1/4	1/4	4/4	2	1		I		G	I		I	I								M	0	0	0, 4, 1		0	0
6	5	0	0	4/4	2	1		V(64)		G	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
6	5	1/2	1/2	4/4	2	1		V		G	I		V	V								M	0	0	1, 5, 2		1	1
7	6	0	0	4/4	2	1		I|PAC}		G	I		I	I						PAC	}	M	0	0	0, 4, 1		0	0
8	7	0	0	4/4	2	1		{		G	I										{		0	0				
10	9	0	0	4/4	2	1		IV(#2)		G	I		IV(#2)	IV			#2					M	0	0	-1, 8, 0		-1	-1
10	9	1/4	1/4	4/4	2	1		IV		G	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
11	10	0	0	4/4	2	1		I(6)		G	I		I(6)	I			6					M	0	0	0, 4, 3		0	0
11	10	1/4	1/4	4/4	2	1		I]		G	I		I	I					]			M	0	0	0, 4, 1		0	0
12	11	0	0	4/4	2	1		ii		G	I		ii	ii								m	0	0	2, -1, 3		2	2
12	11	1/4	1/4	4/4	2	1		V65	viio	G	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
12	11	1/2	1/2	4/4	2	1		I		G	I		I	I								M	0	0	0, 4, 1		0	0
12	11	3/4	3/4	4/4	2	1		vii%7/V		G	I		vii%7/V	vii	%	7		V				%7	0	0	6, 3, 0, 4		6	6
13	12	0	0	4/4	2	1		V(64)		G	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
13	12	1/4	1/4	4/4	2	1		V		G	I		V	V								M	0	0	1, 5, 2		1	1
13	12	1/2	1/2	4/4	2	1		I6		G	I		I6	I		6						M	0	0	4, 1, 0		0	4
14	13	0	0	4/4	2	1		ii		G	I		ii	ii								m	0	0	2, -1, 3		2	2
14	13	1/4	1/4	4/4	2	1		V65		G	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
14	13	1/2	1/2	4/4	2	1		I		G	I		I	I								M	0	0	0, 4, 1		0	0
14	13	3/4	3/4	4/4	2	1		vii%7/V		G	I		vii%7/V	vii	%	7		V				%7	0	0	6, 3, 0, 4		6	6
15	14	0	0	4/4	2	1		V(64)}		G	I		V(64)	V			64				}	M	0	0	1, 0, 4		1	1
15	14	1/4	1/4	4/4	2	1		V|HC		G	I		V	V						HC		M	0	0	1, 5, 2		1	1
16	15	0	0	4/4	2	1		V.V{		G	V		V	V							{	M	0	0	1, 5, 2		1	1
17	16	0	0	4/4	2	1		I6		G	V		I6	I		6						M	0	0	4, 1, 0		0	4
17	16	1/4	1/4	4/4	2	1		V6		G	V		V6	V		6						M	0	0	5, 2, 1		1	5
17	16	1/2	1/2	4/4	2	1		I		G	V		I	I								M	0	0	0, 4, 1		0	0
17	16	3/4	3/4	4/4	2	1		IV6		G	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
18	17	0	0	4/4	2	1		V		G	V		V	V								M	0	0	1, 5, 2		1	1
19	18	0	0	4/4	2	1		I6		G	V		I6	I		6						M	0	0	4, 1, 0		0	4
19	18	1/4	1/4	4/4	2	1		V6		G	V		V6	V		6						M	0	0	5, 2, 1		1	5
19	18	1/2	1/2	4/4	2	1		I		G	V		I	I								M	0	0	0, 4, 1		0	0
19	18	3/4	3/4	4/4	2	1		IV6		G	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
20	19	0	0	4/4	2	1		V[V		G	V	V	V	V								M	0	0	1, 5, 2		1	1
20	19	1/4	1/4	4/4	2	1		I6		G	V		I6	I		6						M	0	0	4, 1, 0		0	4
20	19	1/2	1/2	4/4	2	1		IV		G	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
20	19	3/4	3/4	4/4	2	1		ii		G	V		ii	ii								m	0	0	2, -1, 3		2	2
21	20	0	0	4/4	2	1		V6		G	V		V6	V		6						M	0	0	5, 2, 1		1	5
21	20	1/4	1/4	4/4	2	1		I		G	V		I	I								M	0	0	0, 4, 1		0	0
21	20	1/2	1/2	4/4	2	1		IV6		G	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
21	20	3/4	3/4	4/4	2	1		V7]		G	V		V7	V		7			]			Mm7	0	0	1, 5, 2, -1		1	1
22	21	0	0	4/4	2	1		I|IAC}{		G	V		I	I						IAC	}{	M	0	0	0, 4, 1		0	0
22	21	1/4	1/4	4/4	2	1		IV6		G	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
22	21	1/2	1/2	4/4	2	1		iii6(+6)		G	V		iii6(+6)	iii		6	+6					m	0	0	1, 5, 4	0	4	1
22	21	3/4	3/4	4/4	2	1		ii6(+7)	IV	G	V		ii6(+7)	ii		6	+7					m	0	0	-1, 3, 2	0	2	-1
23	22	0	0	4/4	2	1		I6		G	V		I6	I		6						M	0	0	4, 1, 0		0	4
23	22	1/4	1/4	4/4	2	1		IV6		G	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
23	22	1/2	1/2	4/4	2	1		iii6(6)	I64	G	V		iii6(6)	iii		6	6					m	0	0	1, 0, 4		4	1
23	22	3/4	3/4	4/4	2	1		ii6(+7)		G	V		ii6(+7)	ii		6	+7					m	0	0	-1, 3, 2	0	2	-1
24	23	0	0	4/4	2	1		I6		G	V		I6	I		6						M	0	0	4, 1, 0		0	4
24	23	1/4	1/4	4/4	2	1		IV6		G	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
24	23	1/2	1/2	4/4	2	1		iii6(+6)		G	V		iii6(+6)	iii		6	+6					m	0	0	1, 5, 4	0	4	1
24	23	3/4	3/4	4/4	2	1		ii6(+7)	IV	G	V		ii6(+7)	ii		6	+7					m	0	0	-1, 3, 2	0	2	-1
25	24	0	0	4/4	2	1		I6		G	V		I6	I		6						M	0	0	4, 1, 0		0	4
25	24	1/4	1/4	4/4	2	1		IV6		G	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
25	24	1/2	1/2	4/4	2	1		iii6(6)	I64	G	V		iii6(6)	iii		6	6					m	0	0	1, 0, 4		4	1
25	24	3/4	3/4	4/4	2	1		ii6(+7)		G	V		ii6(+7)	ii		6	+7					m	0	0	-1, 3, 2	0	2	-1
26	25	0	0	4/4	2	1		I6}{		G	V		I6	I		6					}{	M	0	0	4, 1, 0		0	4
27	26	0	0	4/4	2	1		IV		G	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
27	26	3/4	3/4	4/4	2	1		V2	viio64	G	V		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
28	27	0	0	4/4	2	1		I6		G	V		I6	I		6						M	0	0	4, 1, 0		0	4
28	27	1/4	1/4	4/4	2	1		vi		G	V		vi	vi								m	0	0	3, 0, 4		3	3
28	27	1/2	1/2	4/4	2	1		ii65		G	V		ii65	ii		65						mm7	0	0	-1, 3, 0, 2		2	-1
28	27	3/4	3/4	4/4	2	1		V		G	V		V	V								M	0	0	1, 5, 2		1	1
29	28	0	0	4/4	2	1		I6|EC}		G	V		I6	I		6				EC	}	M	0	0	4, 1, 0		0	4
29	28	1/2	1/2	4/4	2	1		I		G	V		I	I								M	0	0	0, 4, 1		0	0
29	28	5/8	5/8	4/4	2	1		{		G	V										{		0	0				
30	29	0	0	4/4	2	1		ii		G	V		ii	ii								m	0	0	2, -1, 3		2	2
30	29	1/2	1/2	4/4	2	1		V		G	V		V	V								M	0	0	1, 5, 2		1	1
31	30	0	0	4/4	2	1		I		G	V		I	I								M	0	0	0, 4, 1		0	0
32	31	0	0	4/4	2	1		ii6		G	V		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
32	31	1/4	1/4	4/4	2	1		ii		G	V		ii	ii								m	0	0	2, -1, 3		2	2
32	31	1/2	1/2	4/4	2	1		V(64)		G	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
32	31	3/4	3/4	4/4	2	1		V7		G	V		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
33	32	0	0	4/4	2	1		I(4)}		G	V		I(4)	I			4				}	M	0	0	0, -1, 1		0	0
33	32	1/2	1/2	4/4	2	1		I|PAC		G	V		I	I						PAC		M	0	0	0, 4, 1		0	0
33	32	5/8	5/8	4/4	2	1		{		G	V										{		0	0				
34	33	0	0	4/4	2	1		ii		G	V		ii	ii								m	0	0	2, -1, 3		2	2
34	33	1/2	1/2	4/4	2	1		V		G	V		V	V								M	0	0	1, 5, 2		1	1
35	34	0	0	4/4	2	1		I		G	V		I	I								M	0	0	0, 4, 1		0	0
36	35	0	0	4/4	2	1		ii6		G	V		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
36	35	1/2	1/2	4/4	2	1		V(64)		G	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
36	35	3/4	3/4	4/4	2	1		V		G	V		V	V								M	0	0	1, 5, 2		1	1
37	36	0	0	4/4	2	1		I|PAC}{		G	V		I	I						PAC	}{	M	0	0	0, 4, 1		0	0
37	36	1/4	1/4	4/4	2	1		I6		G	V		I6	I		6						M	0	0	4, 1, 0		0	4
37	36	1/2	1/2	4/4	2	1		IV		G	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
37	36	3/4	3/4	4/4	2	1		V(64)		G	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
37	36	7/8	7/8	4/4	2	1		V		G	V		V	V								M	0	0	1, 5, 2		1	1
38	37	0	0	4/4	2	1		vi|DC		G	V		vi	vi						DC		m	0	0	3, 0, 4		3	3
38	37	1/4	1/4	4/4	2	1		I6		G	V		I6	I		6						M	0	0	4, 1, 0		0	4
38	37	1/2	1/2	4/4	2	1		IV		G	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
38	37	3/4	3/4	4/4	2	1		V(64)		G	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
38	37	7/8	7/8	4/4	2	1		V		G	V		V	V								M	0	0	1, 5, 2		1	1
39	38	0	0	4/4	2	1		I|PAC}		G	V		I	I						PAC	}	M	0	0	0, 4, 1		0	0
40	38	0	3/4	4/4	2	1		I[I{		G	V	I	I	I							{	M	0	0	0, 4, 1		0	0
43	41	0	0	4/4	2	1		IV(#2)		G	V		IV(#2)	IV			#2					M	0	0	-1, 8, 0		-1	-1
43	41	1/4	1/4	4/4	2	1		IV		G	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
44	42	0	0	4/4	2	1		I(6)		G	V		I(6)	I			6					M	0	0	0, 4, 3		0	0
44	42	1/4	1/4	4/4	2	1		I]		G	V		I	I					]			M	0	0	0, 4, 1		0	0
45	43	0	0	4/4	2	1		V(64)		G	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
45	43	1/2	1/2	4/4	2	1		V		G	V		V	V								M	0	0	1, 5, 2		1	1
46	44	0	0	4/4	2	1		I|PAC}		G	V		I	I						PAC	}	M	0	0	0, 4, 1		0	0
47	45	0	0	4/4	2	1		vi.iio/iv{		G	vi		iio/iv	ii	o			iv			{	o	0	1	1, -2, -5		1	1
48	46	0	0	4/4	2	1		V65/iv		G	vi		V65/iv	V		65		iv				Mm7	0	1	4, 1, -2, 0		0	4
49	47	0	0	4/4	2	1		i/iv	ii/III	G	vi		i/iv	i				iv				m	0	1	-1, -4, 0		-1	-1
50	48	0	0	4/4	2	1		V65/III		G	vi		V65/III	V		65		III				Mm7	0	1	2, -1, -4, -2		-2	2
51	49	0	0	4/4	2	1		I/III}{		G	vi		I/III	I				III			}{	M	0	1	-3, 1, -2		-3	-3
51	49	1/2	1/2	4/4	2	1		V43		G	vi		V43	V		43						Mm7	0	1	2, -1, 1, 5		1	2
51	49	3/4	3/4	4/4	2	1		V6	V65	G	vi		V6	V		6						M	0	1	5, 2, 1		1	5
52	50	0	0	4/4	2	1		i		G	vi		i	i								m	0	1	0, -3, 1		0	0
52	50	1/4	1/4	4/4	2	1		VI		G	vi		VI	VI								M	0	1	-4, 0, -3		-4	-4
52	50	1/2	1/2	4/4	2	1		i64		G	vi		i64	i		64						m	0	1	1, 0, -3		0	1
52	50	3/4	3/4	4/4	2	1		viio7/V		G	vi		viio7/V	vii	o	7		V				o7	0	1	6, 3, 0, -3		6	6
53	51	0	0	4/4	2	1		V		G	vi		V	V								M	0	1	1, 5, 2		1	1
53	51	1/4	1/4	4/4	2	1		i6		G	vi		i6	i		6						m	0	1	-3, 1, 0		0	-3
53	51	1/2	1/2	4/4	2	1		V43		G	vi		V43	V		43						Mm7	0	1	2, -1, 1, 5		1	2
53	51	3/4	3/4	4/4	2	1		V6	V65	G	vi		V6	V		6						M	0	1	5, 2, 1		1	5
54	52	0	0	4/4	2	1		i		G	vi		i	i								m	0	1	0, -3, 1		0	0
54	52	1/4	1/4	4/4	2	1		VI		G	vi		VI	VI								M	0	1	-4, 0, -3		-4	-4
54	52	1/2	1/2	4/4	2	1		i64		G	vi		i64	i		64						m	0	1	1, 0, -3		0	1
54	52	3/4	3/4	4/4	2	1		viio7/V		G	vi		viio7/V	vii	o	7		V				o7	0	1	6, 3, 0, -3		6	6
55	53	0	0	4/4	2	1		V|HC}{		G	vi		V	V						HC	}{	M	0	1	1, 5, 2		1	1
55	53	1/2	1/2	4/4	2	1		i6		G	vi		i6	i		6						m	0	1	-3, 1, 0		0	-3
56	54	0	0	4/4	2	1		V65		G	vi		V65	V		65						Mm7	0	1	5, 2, -1, 1		1	5
56	54	1/2	1/2	4/4	2	1		i		G	vi		i	i								m	0	1	0, -3, 1		0	0
57	55	0	0	4/4	2	1		bII6		G	vi		bII6	bII		6						M	0	1	-1, -4, -5		-5	-1
58	56	0	0	4/4	2	1		i6		G	vi		i6	i		6						m	0	1	-3, 1, 0		0	-3
59	57	0	0	4/4	2	1		IV		G	vi		IV	IV								M	0	1	-1, 3, 0		-1	-1
59	57	1/4	1/4	4/4	2	1		ii		G	vi		ii	ii								m	0	1	2, -1, 3		2	2
59	57	1/2	1/2	4/4	2	1		V(4)	V(64)	G	vi		V(4)	V			4					M	0	1	1, 0, 2		1	1
59	57	3/4	3/4	4/4	2	1		V		G	vi		V	V								M	0	1	1, 5, 2		1	1
60	58	0	0	4/4	2	1		i|EC}{		G	vi		i	i						EC	}{	m	0	1	0, -3, 1		0	0
61	59	0	0	4/4	2	1		bII6		G	vi		bII6	bII		6						M	0	1	-1, -4, -5		-5	-1
62	60	0	0	4/4	2	1		i6		G	vi		i6	i		6						m	0	1	-3, 1, 0		0	-3
63	61	0	0	4/4	2	1		IV		G	vi		IV	IV								M	0	1	-1, 3, 0		-1	-1
63	61	1/4	1/4	4/4	2	1		ii		G	vi		ii	ii								m	0	1	2, -1, 3		2	2
63	61	1/2	1/2	4/4	2	1		V(4)	V(64)	G	vi		V(4)	V			4					M	0	1	1, 0, 2		1	1
63	61	3/4	3/4	4/4	2	1		V		G	vi		V	V								M	0	1	1, 5, 2		1	1
64	62	0	0	4/4	2	1		i|PAC}{		G	vi		i	i						PAC	}{	m	0	1	0, -3, 1		0	0
64	62	1/2	1/2	4/4	2	1		I.iv64/v		G	I		iv64/v	iv		64		v				m	0	0	1, 0, -3		0	1
64	62	3/4	3/4	4/4	2	1		#viio/v		G	I		#viio/v	#vii	o			v				o	0	0	6, 3, 0		6	6
65	63	0	0	4/4	2	1		i6/v		G	I		i6/v	i		6		v				m	0	0	-2, 2, 1		1	-2
65	63	1/2	1/2	4/4	2	1		IV64/IV		G	I		IV64/IV	IV		64		IV				M	0	0	-1, -2, 2		-2	-1
65	63	3/4	3/4	4/4	2	1		viio/IV		G	I		viio/IV	vii	o			IV				o	0	0	4, 1, -2		4	4
66	64	0	0	4/4	2	1		IV6		G	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
66	64	1/2	1/2	4/4	2	1		ii		G	I		ii	ii								m	0	0	2, -1, 3		2	2
67	65	0	0	4/4	2	1		V[V}{		G	I	V	V	V							}{	M	0	0	1, 5, 2		1	1
67	65	1/4	1/4	4/4	2	1		V6		G	I		V6	V		6						M	0	0	5, 2, 1		1	5
67	65	1/2	1/2	4/4	2	1		I		G	I		I	I								M	0	0	0, 4, 1		0	0
