mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4.0	0	0	4/4	2	1	Eb.I{	Eb	I		I	I						{	M	0	0	0, 4, 1		0	0
2	2	4	4	1.0	0	0	4/4	2	1	ii	Eb	I		ii	ii							m	0	0	2, -1, 3		2	2
2	2	5	5	1.0	1/4	1/4	4/4	2	1	ii(+4)	Eb	I		ii(+4)	ii			+4				m	0	0	2, -1, 3	1	2	2
2	2	6	6	2.0	1/2	1/2	4/4	2	1	V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	3	8	8	2.0	0	0	4/4	2	1	vi	Eb	I		vi	vi							m	0	0	3, 0, 4		3	3
3	3	10	10	2.0	1/2	1/2	4/4	2	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	12	12	1.0	0	0	4/4	2	1	ii6	Eb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	13	13	1.0	1/4	1/4	4/4	2	1	ii6(+7)	Eb	I		ii6(+7)	ii		6	+7				m	0	0	-1, 3, 2	0	2	-1
4	4	14	14	1.0	1/2	1/2	4/4	2	2	V(64)	Eb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
4	4	15	15	1.0	3/4	3/4	4/4	2	1	V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	16	16	2.0	0	0	4/4	2	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
5	5	18	18	2.0	1/2	1/2	4/4	2	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	20	20	1.0	0	0	4/4	2	1	ii6	Eb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
6	6	21	21	1.0	1/4	1/4	4/4	2	1	ii6(+7)	Eb	I		ii6(+7)	ii		6	+7				m	0	0	-1, 3, 2	0	2	-1
6	6	22	22	1.0	1/2	1/2	4/4	2	2	V(64)	Eb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
6	6	23	23	1.0	3/4	3/4	4/4	2	1	V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	24	24	4.0	0	0	4/4	2	1	I|PAC}{	Eb	I		I	I					PAC	}{	M	0	0	0, 4, 1		0	0
8	8	28	28	1.0	0	0	4/4	2	1	IV64(^20)	Eb	I		IV64(^20)	IV		64	^20				M	0	0	0, -1, 1		-1	0
8	8	29	29	3.0	1/4	1/4	4/4	2	1	IV64	Eb	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
9	9	32	32	1.0	0	0	4/4	2	1	I(^4^2)	Eb	I		I(^4^2)	I			^4^2				M	0	0	0, 2, -1		0	0
9	9	33	33	3.0	1/4	1/4	4/4	2	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
10	10	36	36	1.0	0	0	4/4	2	1	ii	Eb	I		ii	ii							m	0	0	2, -1, 3		2	2
10	10	37	37	1.0	1/4	1/4	4/4	2	1	V65	Eb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
10	10	38	38	2.0	1/2	1/2	4/4	2	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
11	11	40	40	1.0	0	0	4/4	2	1	V(64)	Eb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
11	11	41	41	3.0	1/4	1/4	4/4	2	1	V|HC}	Eb	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
12	12	44	44	4.0	0	0	4/4	2	1	V.I{	Eb	V		I	I						{	M	0	0	0, 4, 1		0	0
13	13	48	48	1.0	0	0	4/4	2	1	V43(4)	Eb	V		V43(4)	V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
13	13	49	49	1.0	1/4	1/4	4/4	2	1	V43	Eb	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
13	13	50	50	2.0	1/2	1/2	4/4	2	1	V65	Eb	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
14	14	52	52	2.0	0	0	4/4	2	1	I	Eb	V		I	I							M	0	0	0, 4, 1		0	0
14	14	54	54	2.0	1/2	1/2	4/4	2	1	I6	Eb	V		I6	I		6					M	0	0	4, 1, 0		0	4
15	15	56	56	1.0	0	0	4/4	2	1	V2	Eb	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
