mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.A.I	A	I		I	I						M	0	0	0, 4, 1		0	0
2	2	0	V43	A	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
2	2	1/4	V65	A	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
3	3	0	I	A	I		I	I						M	0	0	0, 4, 1		0	0
3	3	1/2	IV64	A	I		IV64	IV		64				M	0	0	0, -1, 3		-1	0
4	4	0	V65	A	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
4	4	1/4	I\\	A	I		I	I					\\	M	0	0	0, 4, 1		0	0
4	4	1/2	I6	A	I		I6	I		6				M	0	0	4, 1, 0		0	4
5	5	0	ii6(9)	A	I		ii6(9)	ii		6	9			m	0	0	-1, 3, 2	4	2	-1
5	5	1/4	ii6	A	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
5	5	1/2	V7	A	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
6	6	0	vi(9)	A	I		vi(9)	vi			9			m	0	0	3, 0, 4	5	3	3
6	6	1/4	vi	A	I		vi	vi						m	0	0	3, 0, 4		3	3
7	7	0	ii6	A	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
7	7	1/4	V(64)	A	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
7	7	1/2	V7	A	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
8	8	0	I\\	A	I		I	I					\\	M	0	0	0, 4, 1		0	0
9	9	0	IV64	A	I		IV64	IV		64				M	0	0	0, -1, 3		-1	0
10	10	1/4	I	A	I		I	I						M	0	0	0, 4, 1		0	0
11	11	0	V65	A	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
11	11	1/4	I	A	I		I	I						M	0	0	0, 4, 1		0	0
12	12	0	V(64)	A	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
12	12	1/4	V\\	A	I		V	V					\\	M	0	0	1, 5, 2		1	1
13	13	0	V.I	A	V		I	I						M	0	0	0, 4, 1		0	0
14	14	0	V7	A	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
