mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/8	2	1		A.I{		A	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1/8	1/8	3/8	2	1		V6		A	I		V6	V		6					M	0	0	5, 2, 1		1	5
1	1	1/4	1/4	3/8	2	1		IV6(+2)		A	I		IV6(+2)	IV		6	+2				M	0	0	3, 0, -1	1	-1	3
2	2	0	0	3/8	2	1		iii6		A	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
2	2	1/8	1/8	3/8	2	1		ii6(+4)		A	I		ii6(+4)	ii		6	+4				m	0	0	-1, 3, 2	1	2	-1
2	2	1/4	1/4	3/8	2	1		I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	0	0	3/8	2	1		IV6		A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
3	3	1/8	1/8	3/8	2	1		iii6(+6)		A	I		iii6(+6)	iii		6	+6				m	0	0	1, 5, 4	0	4	1
3	3	1/4	1/4	3/8	2	1		ii6(+7)	IV	A	I		ii6(+7)	ii		6	+7				m	0	0	-1, 3, 2	0	2	-1
4	4	0	0	3/8	2	1		I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	1/8	1/8	3/8	2	1		viio6		A	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
4	4	1/4	1/4	3/8	2	1		I		A	I		I	I							M	0	0	0, 4, 1		0	0
5	5	0	0	3/8	2	1		IV		A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	6	0	0	3/8	2	1		I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
7	7	0	0	3/8	2	1		ii		A	I		ii	ii							m	0	0	2, -1, 3		2	2
7	7	1/8	1/8	3/8	2	1		viio		A	I		viio	vii	o						o	0	0	5, 2, -1		5	5
7	7	1/4	1/4	3/8	2	1		I		A	I		I	I							M	0	0	0, 4, 1		0	0
8	8	0	0	3/8	2	1		V|HC}		A	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
8	8	1/4	1/4	3/8	2	1		V65	viio	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
9	9	0	0	3/8	2	1		I{		A	I		I	I						{	M	0	0	0, 4, 1		0	0
9	9	1/8	1/8	3/8	2	1		V6		A	I		V6	V		6					M	0	0	5, 2, 1		1	5
9	9	1/4	1/4	3/8	2	1		IV6(+2)		A	I		IV6(+2)	IV		6	+2				M	0	0	3, 0, -1	1	-1	3
10	10	0	0	3/8	2	1		iii6		A	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
10	10	1/8	1/8	3/8	2	1		ii6(+4)		A	I		ii6(+4)	ii		6	+4				m	0	0	-1, 3, 2	1	2	-1
10	10	1/4	1/4	3/8	2	1		I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	11	0	0	3/8	2	1		IV6		A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
11	11	1/8	1/8	3/8	2	1		iii6(+6)		A	I		iii6(+6)	iii		6	+6				m	0	0	1, 5, 4	0	4	1
11	11	1/4	1/4	3/8	2	1		ii6(+7)	IV	A	I		ii6(+7)	ii		6	+7				m	0	0	-1, 3, 2	0	2	-1
12	12	0	0	3/8	2	1		I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
12	12	1/8	1/8	3/8	2	1		viio6		A	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
12	12	1/4	1/4	3/8	2	1		I		A	I		I	I							M	0	0	0, 4, 1		0	0
13	13	0	0	3/8	2	1		IV		A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
14	14	0	0	3/8	2	1		I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	15	0	0	3/8	2	1		ii		A	I		ii	ii							m	0	0	2, -1, 3		2	2
15	15	1/8	1/8	3/8	2	1		viio		A	I		viio	vii	o						o	0	0	5, 2, -1		5	5
15	15	1/4	1/4	3/8	2	1		I		A	I		I	I							M	0	0	0, 4, 1		0	0
16	16	0	0	3/8	2	1		V|HC}		A	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
