mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	9.0	0	3/4	4/4	2	1	G.I[I{		G	I	I	I	I							{	M	0	0	0, 4, 1		0	0
4	3	9	9	1.0	0	0	4/4	2	1	IV(#2)		G	I		IV(#2)	IV			#2					M	0	0	-1, 8, 0		-1	-1
4	3	10	10	3.0	1/4	1/4	4/4	2	1	IV		G	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
5	4	13	13	1.0	0	0	4/4	2	1	I(6)		G	I		I(6)	I			6					M	0	0	0, 4, 3		0	0
5	4	14	14	3.0	1/4	1/4	4/4	2	1	I		G	I		I	I								M	0	0	0, 4, 1		0	0
6	5	17	17	2.0	0	0	4/4	2	1	V(64)		G	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
6	5	19	19	2.0	1/2	1/2	4/4	2	1	V		G	I		V	V								M	0	0	1, 5, 2		1	1
7	6	21	21	12.0	0	0	4/4	2	1	I|PAC}		G	I		I	I						PAC	}	M	0	0	0, 4, 1		0	0
8	7	25	25	0.0	0	0	4/4	2	1	{		G	I										{		0	0				
10	9	33	33	1.0	0	0	4/4	2	1	IV(#2)		G	I		IV(#2)	IV			#2					M	0	0	-1, 8, 0		-1	-1
10	9	34	34	3.0	1/4	1/4	4/4	2	1	IV		G	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
11	10	37	37	1.0	0	0	4/4	2	1	I(6)		G	I		I(6)	I			6					M	0	0	0, 4, 3		0	0
11	10	38	38	3.0	1/4	1/4	4/4	2	1	I]		G	I		I	I					]			M	0	0	0, 4, 1		0	0
12	11	41	41	1.0	0	0	4/4	2	1	ii		G	I		ii	ii								m	0	0	2, -1, 3		2	2
12	11	42	42	1.0	1/4	1/4	4/4	2	1	V65	viio	G	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
12	11	43	43	1.0	1/2	1/2	4/4	2	1	I		G	I		I	I								M	0	0	0, 4, 1		0	0
12	11	44	44	1.0	3/4	3/4	4/4	2	1	vii%7/V		G	I		vii%7/V	vii	%	7		V				%7	0	0	6, 3, 0, 4		6	6
