mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3.0	0	0	3/4	2	1	A.I{	A	I		I	I						{	M	0	0	0, 4, 1		0	0
2	2	3	3	1.0	0	0	3/4	2	1	V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
2	2	4	4	2.0	1/4	1/4	3/4	2	1	V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
3	3	6	6	2.0	0	0	3/4	2	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
3	3	8	8	1.0	1/2	1/2	3/4	2	1	IV64	A	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
4	4	9	9	1.0	0	0	3/4	2	1	V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	4	10	10	1.0	1/4	1/4	3/4	2	1	I\\	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
4	4	11	11	1.0	1/2	1/2	3/4	2	1	I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
5	5	12	12	1.0	0	0	3/4	2	1	ii6(9)	A	I		ii6(9)	ii		6	9				m	0	0	-1, 3, 2	4	2	-1
5	5	13	13	1.0	1/4	1/4	3/4	2	1	ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
5	5	14	14	1.0	1/2	1/2	3/4	2	1	V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	15	15	1.0	0	0	3/4	2	1	vi(^9)	A	I		vi(^9)	vi			^9				m	0	0	3, 0, 4	5	3	3
6	6	16	16	2.0	1/4	1/4	3/4	2	1	vi	A	I		vi	vi							m	0	0	3, 0, 4		3	3
7	7	18	18	1.0	0	0	3/4	2	1	ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	7	19	19	1.0	1/4	1/4	3/4	2	1	V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
7	7	20	20	1.0	1/2	1/2	3/4	2	1	V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	21	21	3.0	0	0	3/4	2	1	I|IAC}	A	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
9	9	24	24	4.0	0	0	3/4	2	1	IV64{	A	I		IV64	IV		64				{	M	0	0	0, -1, 3		-1	0
10	10	28	28	2.0	1/4	1/4	3/4	2	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
11	11	30	30	1.0	0	0	3/4	2	1	V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
11	11	31	31	2.0	1/4	1/4	3/4	2	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
12	12	33	33	1.0	0	0	3/4	2	1	V(64)}	A	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
12	12	34	34	2.0	1/4	1/4	3/4	2	1	V|HC	A	I		V	V					HC		M	0	0	1, 5, 2		1	1
13	13	36	36	3.0	0	0	3/4	2	1	V.I{	A	V		I	I						{	M	0	0	0, 4, 1		0	0
14	14	39	39	3.0	0	0	3/4	2	1	V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	42	42	0.6666666666666643	0	0	3/4	2	1	I	A	V		I	I							M	0	0	0, 4, 1		0	0
15	15	128/3	128/3	0.3333333333333357	1/6	1/6	3/4	2	1	I6	A	V		I6	I		6					M	0	0	4, 1, 0		0	4
15	15	43	43	0.6666666666666643	1/4	1/4	3/4	2	1	viio6	A	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
15	15	131/3	131/3	0.3333333333333357	5/12	5/12	3/4	2	1	vi6	A	V		vi6	vi		6					m	0	0	0, 4, 3		3	0
15	15	44	44	0.6666666666666643	1/2	1/2	3/4	2	1	V6	A	V		V6	V		6					M	0	0	5, 2, 1		1	5
15	15	134/3	134/3	0.3333333333333357	2/3	2/3	3/4	2	1	V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16	45	45	3.0	0	0	3/4	2	1	I	A	V		I	I							M	0	0	0, 4, 1		0	0
17	17	48	48	3.0	0	0	3/4	2	1	IV64	A	V		IV64	IV		64					M	0	0	0, -1, 3		-1	0
18	18	51	51	3.0	0	0	3/4	2	1	I	A	V		I	I							M	0	0	0, 4, 1		0	0
19	19	54	54	1.0	0	0	3/4	2	1	V	A	V		V	V							M	0	0	1, 5, 2		1	1
