mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1		c.i{		c	i		i		i						{	m	1	1	0, -3, 1		0	0
1	1	1/4	1/4	4/4	2	1		i6		c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
1	1	1/2	1/2	4/4	2	1		V		c	i		V		V							M	1	1	1, 5, 2		1	1
1	1	7/8	7/8	4/4	2	1		i		c	i		i		i							m	1	1	0, -3, 1		0	0
2	2	0	0	4/4	2	1		iv6		c	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
2	2	1/2	1/2	4/4	2	1		V		c	i		V		V							M	1	1	1, 5, 2		1	1
2	2	3/4	3/4	4/4	2	1		i		c	i		i		i							m	1	1	0, -3, 1		0	0
3	3	0	0	4/4	2	1		#viio(2)		c	i		#viio(2)		#vii	o		2				o	1	1	0, 2, -1		5	0
3	3	1/4	1/4	4/4	2	1		V6		c	i		V6		V		6					M	1	1	5, 2, 1		1	5
3	3	1/2	1/2	4/4	2	1		i|IAC}{		c	i		i		i					IAC	}{	m	1	1	0, -3, 1		0	0
3	3	3/4	3/4	4/4	2	1		v.i6		c	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	4	0	0	4/4	2	1		i		c	v		i		i							m	1	1	0, -3, 1		0	0
4	4	1/2	1/2	4/4	2	1		iv		c	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
5	5	0	0	4/4	2	1		i(4)		c	v		i(4)		i			4				m	1	1	0, -1, 1		0	0
5	5	1/8	1/8	4/4	2	1		i		c	v		i		i							m	1	1	0, -3, 1		0	0
5	5	1/4	1/4	4/4	2	1		i6		c	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
5	5	1/2	1/2	4/4	2	1		#viio64(2)		c	v		#viio64(2)		#vii	o	64	2				o	1	1	-1, 0, 2		5	-1
5	5	3/4	3/4	4/4	2	1		V		c	v		V		V							M	1	1	1, 5, 2		1	1
6	6	0	0	4/4	2	1		i6|EC}{		c	v		i6		i		6			EC	}{	m	1	1	-3, 1, 0		0	-3
6	6	1/4	1/4	4/4	2	1		i.v		c	i		v		v							m	1	1	1, -2, 2		1	1
6	6	1/2	1/2	4/4	2	1		V(64)		c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
6	6	3/4	3/4	4/4	2	1		#viio64		c	i		#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1
7	7	0	0	4/4	2	1		i6}{		c	i		i6		i		6				}{	m	1	1	-3, 1, 0		0	-3
7	7	1/2	1/2	4/4	2	1		i		c	i		i		i							m	1	1	0, -3, 1		0	0
8	8	0	0	4/4	2	1		iv		c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
8	8	1/2	1/2	4/4	2	1		i(4)		c	i		i(4)		i			4				m	1	1	0, -1, 1		0	0
8	8	5/8	5/8	4/4	2	1		i		c	i		i		i							m	1	1	0, -3, 1		0	0
8	8	3/4	3/4	4/4	2	1		i6		c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
9	9	0	0	4/4	2	1		#viio64(2)		c	i		#viio64(2)		#vii	o	64	2				o	1	1	-1, 0, 2		5	-1
9	9	1/4	1/4	4/4	2	1		V		c	i		V		V							M	1	1	1, 5, 2		1	1
9	9	1/2	1/2	4/4	2	1		i6|EC}		c	i		i6		i		6			EC	}	m	1	1	-3, 1, 0		0	-3
9	9	3/4	3/4	4/4	2	1		i{		c	i		i		i						{	m	1	1	0, -3, 1		0	0
10	10	0	0	4/4	2	1		#viio(2)		c	i		#viio(2)		#vii	o		2				o	1	1	0, 2, -1		5	0
10	10	1/4	1/4	4/4	2	1		V6		c	i		V6		V		6					M	1	1	5, 2, 1		1	5
10	10	1/2	1/2	4/4	2	1		i|IAC}{		c	i		i		i					IAC	}{	m	1	1	0, -3, 1		0	0
10	10	3/4	3/4	4/4	2	1		v.i6		c	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
11	11	0	0	4/4	2	1		#viio6(2)		c	v		#viio6(2)		#vii	o	6	2				o	1	1	2, -1, 0		5	2
11	11	1/4	1/4	4/4	2	1		V		c	v		V		V							M	1	1	1, 5, 2		1	1
11	11	1/2	1/2	4/4	2	1		i|PAC}{		c	v		i		i					PAC	}{	m	1	1	0, -3, 1		0	0
11	11	3/4	3/4	4/4	2	1		i6		c	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
12	12	0	0	4/4	2	1		V		c	v		V		V							M	1	1	1, 5, 2		1	1
12	12	3/8	3/8	4/4	2	1		i		c	v		i		i							m	1	1	0, -3, 1		0	0
12	12	1/2	1/2	4/4	2	1		iv6(2)		c	v		iv6(2)		iv		6	2				m	1	1	-4, 0, 1		-1	-4
12	12	3/4	3/4	4/4	2	1		iv6		c	v		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
13	13	0	0	4/4	2	1		V7		c	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
13	13	1/8	1/8	4/4	2	1		i(4)		c	v		i(4)		i			4				m	1	1	0, -1, 1		0	0
13	13	1/4	1/4	4/4	2	1		i		c	v		i		i							m	1	1	0, -3, 1		0	0
13	13	1/2	1/2	4/4	2	1		ii%2	#viio(2)	c	v		ii%2		ii	%	2					%7	1	1	0, 2, -1, -4		2	0
13	13	3/4	3/4	4/4	2	1		V6		c	v		V6		V		6					M	1	1	5, 2, 1		1	5
14	14	0	0	4/4	2	1		i|PAC}{		c	v		i		i					PAC	}{	m	1	1	0, -3, 1		0	0
14	14	1/2	1/2	4/4	2	1		iv7		c	v		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
14	14	3/4	3/4	4/4	2	1		III.V/V		c	III		V/V		V				V			M	1	0	2, 6, 3		2	2
15	15	0	0	4/4	2	1		V		c	III		V		V							M	1	0	1, 5, 2		1	1
15	15	1/4	1/4	4/4	2	1		I6		c	III		I6		I		6					M	1	0	4, 1, 0		0	4
15	15	1/2	1/2	4/4	2	1		ii7		c	III		ii7		ii		7					mm7	1	0	2, -1, 3, 0		2	2
15	15	3/4	3/4	4/4	2	1		V		c	III		V		V							M	1	0	1, 5, 2		1	1
16	16	0	0	4/4	2	1		I|PAC}{		c	III		I		I					PAC	}{	M	1	0	0, 4, 1		0	0
16	16	1/4	1/4	4/4	2	1		I6		c	III		I6		I		6					M	1	0	4, 1, 0		0	4
16	16	1/2	1/2	4/4	2	1		V(4)		c	III		V(4)		V			4				M	1	0	1, 0, 2		1	1
16	16	5/8	5/8	4/4	2	1		V		c	III		V		V							M	1	0	1, 5, 2		1	1
16	16	7/8	7/8	4/4	2	1		I		c	III		I		I							M	1	0	0, 4, 1		0	0
17	17	0	0	4/4	2	1		vi		c	III		vi		vi							m	1	0	3, 0, 4		3	3
17	17	1/4	1/4	4/4	2	1		IV6		c	III		IV6		IV		6					M	1	0	3, 0, -1		-1	3
17	17	1/2	1/2	4/4	2	1		V7		c	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
17	17	5/8	5/8	4/4	2	1		I(4)		c	III		I(4)		I			4				M	1	0	0, -1, 1		0	0
17	17	3/4	3/4	4/4	2	1		I6		c	III		I6		I		6					M	1	0	4, 1, 0		0	4
18	18	0	0	4/4	2	1		ii43		c	III		ii43		ii		43					mm7	1	0	3, 0, 2, -1		2	3
18	18	1/4	1/4	4/4	2	1		V		c	III		V		V							M	1	0	1, 5, 2		1	1
18	18	1/2	1/2	4/4	2	1		i6|EC}{		c	III		i6		i		6			EC	}{	m	1	0	-3, 1, 0		0	-3
18	18	3/4	3/4	4/4	2	1		IV		c	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
19	19	0	0	4/4	2	1		vii%65		c	III		vii%65		vii	%	65					%7	1	0	2, -1, 3, 5		5	2
19	19	1/4	1/4	4/4	2	1		iv.ii		c	iv		ii		ii							m	1	1	2, -1, 3		2	2
19	19	1/2	1/2	4/4	2	1		V65		c	iv		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
19	19	5/8	5/8	4/4	2	1		V7		c	iv		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
19	19	3/4	3/4	4/4	2	1		i		c	iv		i		i							m	1	1	0, -3, 1		0	0
20	20	0	0	4/4	2	1		IV6(2)		c	iv		IV6(2)		IV		6	2				M	1	1	3, 0, 1		-1	3
